报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2016-12-31,2016-03-31,2015-12-31,2014-12-31,2013-12-31,
货币资金(万元),16951,20295,26767,17630,22475,25829,18157,111218,12458,11877,6333,10674,12655,10079,4047,
结算备付金(万元),,,,,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,,,,
交易性金融资产(万元),74656,58912,53484,24176,,,,,,,,,,,,
衍生金融资产(万元),,,,,,,,,,,,,,,,
应收票据(万元),5476,5895,9801,11393,7746,13852,13069,12688,12826,14170,6090,4870,3524,2899,489,
应收账款(万元),65253,60963,60683,68914,72735,62314,55368,57070,52390,43907,43947,32792,34012,24568,12303,
预付款项(万元),1599,1001,864,1199,1911,952,1231,1131,1074,696,933,423,578,208,232,
应收保费(万元),,,,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,,,
应收利息(万元),383,214,162,383,,463,542,,3,3,2,,,,,
应收股利(万元),,,,,,,,,,,,,,,,
其他应收款(万元),,435,,331,1369,210,505,269,695,864,1617,937,1193,2345,857,
应收出口退税(万元),,,,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,,,,
存货(万元),27867,21481,23949,24245,24941,23836,23499,20536,21934,17845,19283,11083,10862,10010,6952,
待摊费用(万元),,,,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,,,,,
其他流动资产(万元),19813,26225,34695,62706,85031,75439,81171,3260,2803,2371,4159,9891,6230,2339,2454,
流动资产合计(万元),212336,195421,210749,210978,216207,202895,193542,206172,104183,91733,82363,70669,69053,52448,27334,
发放贷款及垫款(万元),,,,,,,,,,,,,,,,
可供出售金融资产(万元),,,,,,,,,,,,,,,,
持有至到期投资(万元),,,,,,,,,,,,,,,,
长期应收款(万元),,,,,,,,,,,,,,,,
长期股权投资(万元),,,,,,,,,,,,,,,,
其他长期投资(万元),,,,,,,,,,,,,,,,
投资性房地产(万元),,,,,,,,,,,,,,,,
固定资产原值(万元),,127635,,123860,,120487,,109684,106216,103020,82541,,63365,45784,,
累计折旧(万元),,38537,,33179,,30821,,26817,24414,22598,19752,,16684,12687,,
固定资产净值(万元),,89098,,90680,,89666,,82866,81802,80422,62789,,46681,33097,,
固定资产减值准备(万元),,,,,,,,,,,,,,,,
固定资产(万元),,89098,,90680,89959,89666,84341,82866,81802,80422,62789,48244,46681,33097,25421,
在建工程(万元),,4452,,3317,1485,195,208,83,225,1664,905,96,75,3192,3611,
工程物资(万元),,,,,,,,,,,,,,,,
固定资产清理(万元),,32,,17,,23,73,43,67,47,135,16,26,,,
生产性生物资产(万元),,,,,,,,,,,,,,,,
公益性生物资产(万元),,,,,,,,,,,,,,,,
油气资产(万元),,,,,,,,,,,,,,,,
无形资产(万元),2305,1279,1316,1111,1136,1027,1049,1071,1091,1103,893,723,614,383,392,
开发支出(万元),,,,,,,,,,,,,,,,
商誉(万元),,,,,,,,,,,,,,,,
长期待摊费用(万元),1253,1275,1330,1458,1682,1444,1146,1082,1057,992,958,961,929,534,222,
股权分置流通权(万元),,,,,,,,,,,,,,,,
递延所得税资产(万元),2628,1924,1867,2057,1361,1301,1047,1007,898,732,784,577,539,239,144,
其他非流动资产(万元),5971,9012,5688,2459,1384,864,1824,1148,904,1608,2628,2859,567,1942,1039,
非流动资产合计(万元),110984,107072,104344,101100,97006,94519,89687,87301,86043,86567,69091,53476,49431,39387,30829,
资产总计(万元),323320,302493,315093,312077,313214,297414,283230,293472,190227,178300,151454,124145,118485,91835,58164,
短期借款(万元),,,5000,5000,5000,9500,5000,8500,12000,15800,12950,6757,4213,,,
向中央银行借款(万元),,,,,,,,,,,,,,,,
吸收存款及同业存放(万元),,,,,,,,,,,,,,,,
拆入资金(万元),,,,,,,,,,,,,,,,
交易性金融负债(万元),27,205,22,,,338,,,,,,,21,,,
衍生金融负债(万元),,,,,,,,,,,,,,,,
应付票据(万元),18022,15330,,20267,,15292,13309,14749,11647,11494,12411,13123,11753,793,,
应付账款(万元),45454,41850,,48822,,60831,56883,55834,62533,57539,44683,28351,31244,26340,18251,
预收账款(万元),416,318,214,135,465,149,144,84,140,147,79,175,317,61,55,
卖出回购金融资产款(万元),,,,,,,,,,,,,,,,
应付手续费及佣金(万元),,,,,,,,,,,,,,,,
应付职工薪酬(万元),6614,6460,5617,6496,3733,3170,2524,3050,2529,2322,2318,1558,1799,1447,995,
应交税费(万元),3107,833,1017,1549,2096,1591,1124,1045,1091,546,909,1151,1042,885,1343,
应付利息(万元),,,7,7,,6,7,26,29,24,20,17,,,,
应付股利(万元),,177,,,,,,,,,,5059,5124,14082,,
其他应交款(万元),,,,,,,,,,,,,,,,
应付保证金(万元),,,,,,,,,,,,,,,,
内部应付款(万元),,,,,,,,,,,,,,,,
其他应付款(万元),,10579,,8879,8857,1566,1482,2397,1364,1197,1311,1401,1254,11090,5157,
预提费用(万元),,,,,,,,,,,,,,,,
预计流动负债(万元),,,,,,,,,,,,,,,,
应付分保账款(万元),,,,,,,,,,,,,,,,
保险合同准备金(万元),,,,,,,,,,,,,,,,
代理买卖证券款(万元),,,,,,,,,,,,,,,,
代理承销证券款(万元),,,,,,,,,,,,,,,,
国际票证结算(万元),,,,,,,,,,,,,,,,
国内票证结算(万元),,,,,,,,,,,,,,,,
递延收益(万元),,,,,,,,,,,,,,,,
应付短期债券(万元),,,,,,,,,,,,,,,,
一年内到期的非流动负债(万元),,,,,,,,9800,400,200,,,,,,
其他流动负债(万元),,,,,,,,,,,,,,,,
流动负债合计(万元),84718,75752,88139,91154,99758,92443,80472,95486,91734,89268,74683,57592,56766,54698,25801,
长期借款(万元),,,,,,,,,9600,4800,,,,,,
应付债券(万元),,,,,,,,,,,,,,,,
长期应付款(万元),,,,,,,,,,,,,,,,
专项应付款(万元),,,,,,,,,,,,,,,,
预计非流动负债(万元),,,,,,,,,,,,,,,,
长期递延收益(万元),3673,3433,3446,3433,2812,2827,1965,1702,1391,552,516,698,283,251,209,
递延所得税负债(万元),83,94,97,84,,,,,,,,,,,,
其他非流动负债(万元),,,,,,,,,,,,,,,,
非流动负债合计(万元),3755,3527,3543,3516,2812,2827,1965,1702,10991,5352,516,698,283,251,209,
负债合计(万元),88473,79279,91681,94671,102570,95269,82437,97189,102725,94621,75199,58290,57049,54949,26009,
实收资本(或股本)(万元),14798,14798,14798,14718,14718,14405,14405,14405,10804,10804,10804,10804,10804,15897,8000,
资本公积(万元),149214,148341,147114,144307,142924,136023,136023,136023,36911,36911,36911,36911,36911,10819,14463,
减:库存股(万元),8387,8387,8563,6898,6898,,,,,,,,,,3200,
专项储备(万元),,,,,,,,,,,,,,,,
盈余公积(万元),6864,6253,5963,5723,5526,5160,4920,4704,3779,3555,3147,2070,1800,3242,1286,
一般风险准备(万元),,,,,,,,,,,,,,,,
未确定的投资损失(万元),,,,,,,,,,,,,,,,
未分配利润(万元),72359,62208,64101,59555,54373,46556,45444,41151,36008,32409,25393,16070,11921,6928,11605,
拟分配现金股利(万元),,,,,,,,,,,,,,,,
外币报表折算差额(万元),,,,,,,,,,,,,,,,
归属于母公司股东权益合计(万元),234847,223214,223412,217406,210644,202145,200792,196284,87502,83679,76255,65855,61436,36886,32154,
少数股东权益(万元),,,,,,,,,,,,,,,,
所有者权益(或股东权益)合计(万元),234847,223214,223412,217406,210644,202145,200792,196284,87502,83679,76255,65855,61436,36886,32154,
负债和所有者权益(或股东权益)总计(万元),323320,302493,315093,312077,313214,297414,283230,293472,190227,178300,151454,124145,118485,91835,58164,		
