报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2017-12-31,2017-09-30,2016-12-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2011-12-31,2010-12-31,
货币资金(万元),203992,241101,154957,185918,133040,127786,154498,180990,87821,82986,58368,42296,47026,79618,65851,69201,57058,64655,54370,41426,40443,70237,38342,24334,46427,38483,
结算备付金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融资产(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
衍生金融资产(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据(万元),1588,745,1923,2200,,,,1192,,,250,1016,810,66,380,160,546,400,5,1480,,,,,,,
应收账款(万元),333022,311948,311498,343137,,,,316261,,,39134,38787,23046,34521,32819,39964,32317,31068,25062,21886,14356,13395,48566,41564,7759,2279,
预付款项(万元),24897,24838,23126,16166,14635,9245,1318,11685,3233,1035,6415,8117,14743,3760,36237,34075,19238,12639,71682,60179,47687,19277,65652,38943,8275,7482,
应收保费(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
应收利息(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
应收股利(万元),,,,,,,,,,,,,,,15,15,15,,,,,,142,351,,,
其他应收款(万元),,23905,,42636,,47889,46762,55547,41958,62462,86999,97581,114437,100183,132143,130882,127463,104118,125952,102219,79804,58528,84621,79012,55076,28711,
应收出口退税(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
存货(万元),218261,246305,189023,174823,297278,209775,188893,205874,67992,43816,81422,78165,55880,75965,38139,37726,42465,46491,18583,15704,24750,24419,5510,5094,4363,4516,
待摊费用(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,17135,,,,,,,,,,,,,,,,,,
其他流动资产(万元),38447,36421,33199,27906,27811,27587,14306,7549,1492,960,7,,-305,,505,61,190,4,44016,25811,6160,41,32353,18447,2,,
流动资产合计(万元),843048,885264,756035,792786,880575,784071,768387,779098,328281,306048,272596,265962,255636,294113,306089,312083,279292,259376,339669,268706,213200,185896,275185,207745,121902,81471,
发放贷款及垫款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
可供出售金融资产(万元),,,,2602,2602,2602,2602,1268,800,800,800,800,800,800,,,,,,,,,,,,,
持有至到期投资(万元),8064,8064,,,,,,,,,,,,,,,,,,,,,,,,,
长期应收款(万元),198752,141015,143070,140927,123202,103429,54431,33746,7070,10883,,,,,,,,,,,,,,,,,
长期股权投资(万元),9,12,20,34,54,69,98,19,67,,75,75,75,75,821,821,3268,821,732,1122,1668,903,903,903,103,103,
其他长期投资(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
投资性房地产(万元),24,26,29,33,37,41,5947,6026,6338,77,81,85,88,92,96,100,103,107,111,114,118,122,125,129,136,154,
固定资产原值(万元),,66509,,65156,,57757,48098,,,,31853,23930,20088,20287,18120,18014,18722,18744,18118,22467,21506,21495,,,19171,16739,
累计折旧(万元),,28260,,25436,,23502,21629,,,,7936,8903,8305,7960,5986,5584,6788,6366,6113,10207,9803,9512,,,8040,8779,
固定资产净值(万元),,38249,,39720,,34255,26469,,,,23917,15027,11782,12326,12134,12430,11934,12378,12004,12261,11703,11983,,,11131,7960,
固定资产减值准备(万元),,95,,95,,259,261,,,,,,,,,,,,,,,,,,,,
固定资产(万元),,38153,,39625,33053,33996,26207,18425,20115,23440,23917,15027,11782,12326,12134,12430,11944,12378,12004,12261,11703,11983,10753,10962,11131,7960,
在建工程(万元),,885,,1799,1773,1344,3295,3405,341,559,1030,5605,4522,3811,2441,756,658,298,269,120,7,7,609,189,625,959,
工程物资(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
