报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-03-31,2012-12-31,2011-12-31,2010-12-31,
货币资金(万元),2287943,1367037,1496025,1520794,1591519,1656868,1433447,1234808,1208345,1016447,968961,1050993,854176,1029088,1000291,932560,844881,1156042,1773385,2880135,688447,822146,790478,939990,706984,773107,1234633,824467,
结算备付金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融资产(万元),600000,,,,,143,,,,,976,,,,,,,,,,4594,3833,3711,5334,3759,5431,1847,3788,
衍生金融资产(万元),,132,,475,1324,,464,149,596,663,,1240,1581,1332,5291,1876,5121,2738,1843,923,,,,,,,,,
应收票据(万元),635,269,,1843,,,467,3852,3959,981,1206,1084,364,660,567,5,1354,465,392,557,538,363,522,793,,,306,,
应收账款(万元),657215,508277,,663095,,,588947,660993,657376,624267,676778,572465,301727,321052,354618,353891,294219,299308,199549,234055,233202,213402,223602,162147,162781,183319,165539,163292,
预付款项(万元),720401,575302,511372,512895,572903,541494,585325,595694,631200,633352,620055,555523,81816,74327,68037,66149,67391,53992,52298,34906,56733,65796,61494,59837,,,42872,,
应收保费(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收利息(万元),,,,38845,,,31599,28232,25838,23171,21884,19204,16416,14373,12425,10085,8632,6262,4384,3268,2174,2680,4449,4035,,,3675,,
应收股利(万元),9467,,,14602,,,18056,18056,13742,13742,15341,80143,,,57118,57118,2662,,,,,,2222,2222,,,2394,,
其他应收款(万元),,,,37310,120680,100855,127377,128136,75443,87641,85159,73532,91448,82160,61450,67873,80694,78500,49362,56529,62196,32227,30827,29162,42022,814979,320579,38617,
应收出口退税(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
存货(万元),1995197,2094076,2161984,2137226,2045090,1969356,2649099,2655804,2411168,2471787,2405684,1843882,965911,1041632,1064216,1079029,1012446,1051220,928292,933736,920366,975430,917501,869759,796244,783368,788415,784441,
待摊费用(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产(万元),110,292,269,366,125,125,,125,96,50,13,12,228,228,24,417,3373,1317,4126,1818,3555,5905,7014,6658,,,8615,,
其他流动资产(万元),274118,268142,248168,270362,181704,261784,289838,301244,246169,259398,232731,170221,99928,79949,82533,109581,84047,76242,45897,63715,72151,88463,116772,92657,,,57651,,
流动资产合计(万元),6959286,5168541,5431960,5538792,5551319,5551384,5724619,5627092,5273932,5131499,5028789,4373898,2413596,2644802,2706569,2678585,2404820,2726086,3059528,4209641,2043957,2210245,2158592,2172595,,,2626527,,
发放贷款及垫款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
可供出售金融资产(万元),,,,,,,54075,19531,19531,19531,19531,19531,11000,11000,11000,11000,11000,11000,240365,240365,,,,,,,,,
持有至到期投资(万元),,,,,,,,,,,,,,,,,,,,,,,,19,,,,,
长期应收款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期股权投资(万元),1092591,1092000,1050600,1020302,936370,909792,872779,836363,825595,806204,789681,1203710,1321407,1262418,1206501,1187701,1263793,1228930,1226332,1196848,1368044,1333289,1322786,1331288,1139000,1107400,1386552,1189300,
其他长期投资(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资性房地产(万元),19040,19682,20328,21035,21694,22331,22961,23967,23631,24607,26230,32033,29096,29847,63638,65205,64931,66502,68120,69728,71599,73116,74792,18251,,,21941,,
固定资产原值(万元),,,,,,,21406516,,21507484,21405720,21454967,,12628719,12603683,12475600,,11097114,10987525,9866297,,9891207,9878618,,,,,,,
累计折旧(万元),,,,,,,5654616,,5434762,5303382,5181519,,4766647,4653282,4489405,,4286481,4107061,4029465,,3933010,3857092,,,,,,,
固定资产净值(万元),,,,,,,15751900,,16072721,16102338,16273448,,7862072,7950401,7986195,,6810633,6880464,5836833,,5958197,6021526,,,,,,,
固定资产减值准备(万元),,,,,,,1123,,1438,1453,1467,,3103,3098,3079,,5024,4941,5540,,13528,13529,,,,,,,
固定资产(万元),,,,21085021,16710870,15618242,15750777,15914714,16071284,16100885,16271981,10479087,7858969,7947303,7983117,6814568,6805609,6875523,5831292,5884609,5944669,6007997,6066466,4353508,,,4687049,,
在建工程(万元),,,,,11444474,12302459,11886208,11529093,11111143,10676695,10164047,10866613,9529874,9155272,8771203,9723055,9332528,8871578,3644661,3464281,3145017,2915836,2670443,4310412,,,2266142,,
工程物资(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
固定资产清理(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
生产性生物资产(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
公益性生物资产(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
油气资产(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
无形资产(万元),491914,472107,575678,471980,443627,444745,450101,458135,442868,449628,454567,388384,295712,296241,285179,289210,280918,284739,191205,187664,188499,191934,195172,132565,,,83866,,
开发支出(万元),223364,213065,199258,196246,211140,175222,171266,164528,151673,141680,138381,127381,37845,30649,39221,38858,40695,35966,33735,35147,42515,40497,38733,36770,,,4244,,
商誉(万元),41924,41924,41924,41924,41924,41924,41924,41924,41924,41924,41924,,1214,1214,1214,1214,1214,1214,1214,1214,1214,1214,1214,1214,,,1919,,
长期待摊费用(万元),151147,165580,166231,173466,191057,192277,191811,193676,193608,194039,197557,169133,85231,87466,89759,92094,93063,94410,45205,47234,50104,51642,53214,54163,,,62257,,
股权分置流通权(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
递延所得税资产(万元),178903,180281,175589,177487,151489,155560,153365,153296,140949,140145,137454,166463,16577,15588,16322,13386,15410,13511,10971,10007,11165,9069,9454,9235,,,7389,,
其他非流动资产(万元),632213,615411,647180,624493,678368,679838,779741,799217,765137,774959,779876,701538,552967,604028,597166,586372,617993,627328,1026703,339769,317332,330428,319868,323934,,,189015,,
非流动资产合计(万元),32668057,31806286,31541196,31316775,30877248,30587664,30375009,30134445,29787345,29370298,29021230,24153873,19739892,19441026,19064320,18822662,18527154,18110702,12319803,11476864,11140157,10955020,10752142,10571360,,,8710375,,
资产总计(万元),39627343,36974827,36973156,36855567,36428567,36139048,36099628,35761537,35061277,34501797,34050019,28527771,22153488,22085828,21770889,21501247,20931974,20836787,15379331,15686505,13184114,13165266,12910734,12743955,11520886,12197591,11336901,9279763,
短期借款(万元),1749926,1845486,1384713,1629624,1349497,1340270,1598560,1958282,2237823,2188798,2141137,1702133,330766,290934,409174,569830,446842,610145,251738,414858,513599,596099,979217,1075514,,,959520,,
向中央银行借款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
吸收存款及同业存放(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
拆入资金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
