报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),16843,28924,33668,26000,22177,24407,24769,24141,36014,28036,30360,28834,30616,23084,25011,23261,26288,23140,44690,19005,9539,7840,12817,8416,7950,
结算备付金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融资产(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
衍生金融资产(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据(万元),6288,2556,3153,5622,8915,11818,6874,9596,4908,2967,2117,811,670,4493,5990,3665,1560,5152,5357,3257,7998,9181,1115,144,1845,
应收账款(万元),33179,32178,31556,31385,31231,26518,32787,35171,36060,30815,30157,27539,22798,24059,22749,23690,14560,11669,14413,14186,15656,18115,11098,10248,3885,
预付款项(万元),9146,9838,10828,7505,5164,5684,11703,5455,9608,8409,6835,4614,8578,5658,5672,3497,6782,9188,11184,5388,4638,4878,1151,2502,1269,
应收保费(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
应收利息(万元),,,,,,,,,,,,,,,0,,0,,0,,,,,,,
应收股利(万元),,,,,,,,,,,,,,,0,,0,,0,,,,,,,
其他应收款(万元),,1425,,1684,1363,1215,1864,1402,1842,1491,1382,297,956,921,1373,715,928,473,850,742,831,889,971,1023,349,
应收出口退税(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
存货(万元),29336,25729,22483,20763,34228,19911,20704,12765,16173,13579,18626,12449,14252,14889,12508,11065,18753,19197,17631,12997,12684,9201,8374,9834,6111,
待摊费用(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,67,67,,,0,,0,,0,,,,,,,
其他流动资产(万元),277,13756,13161,13864,13000,13364,13000,13005,13000,13034,13000,13490,13000,13000,13000,13000,13000,13000,0,,1001,5000,,,3000,
流动资产合计(万元),96539,114405,116323,106824,116079,102917,111701,101536,117605,98331,102544,88100,90869,86105,86303,78893,81872,81818,94125,55576,52346,55104,35526,32167,24409,
发放贷款及垫款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
可供出售金融资产(万元),,,,,,,,,,,,,,,0,,0,,0,,,,,,,
持有至到期投资(万元),,,,,,,,,,,,,,,0,,0,,0,,,,,,,
长期应收款(万元),,,,,,,,,,,,,,,0,,0,,0,,,,,,,
长期股权投资(万元),65867,22860,22194,21844,21844,21037,20351,16320,850,730,,,,,0,,0,,0,,,,,,,
其他长期投资(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
投资性房地产(万元),896,915,934,953,972,991,1010,1029,1049,1068,1087,1106,1125,1144,1183,1183,0,,0,,,,,,,
固定资产原值(万元),,15498,,15142,,14356,,14148,,13224,,13159,,13148,,12965,,14165,,14123,14027,12976,12742,,,
