报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-06-30,2013-12-31,2013-06-30,2012-12-31,2012-06-30,2011-12-31,2011-06-30,2010-12-31,2010-06-30,2009-12-31,2008-12-31,
货币资金(万元),22711,28561,26400,30222,17844,28520,27976,36576,47750,14363,19953,29992,26780,32125,29776,37058,28425,47947,22394,28015,16079,26029,11963,21713,6706,8051,5273,7441,3413,7217,4427,
结算备付金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融资产(万元),1801,8761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
衍生金融资产(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据(万元),4027,13285,9574,10033,5313,11150,6030,10345,4540,58,401,2522,214,384,65,1657,264,60,763,,,449,121,,,,95,,,,,
应收账款(万元),128901,127448,125986,122260,159589,145835,128449,126078,112429,95587,75306,80895,75822,60245,52331,54685,52686,50381,38892,37183,34440,24448,23471,16468,20323,15772,14482,10697,10296,6599,3861,
预付款项(万元),4722,19765,16244,20822,16016,17982,34940,2559,2633,3107,2502,2039,989,2627,2695,1754,4018,3915,1470,1542,1002,386,821,773,322,317,291,306,246,266,190,
应收保费(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收利息(万元),,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
应收股利(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他应收款(万元),,4303,,2296,9123,8695,6251,4357,3659,3728,4693,2850,3784,4044,4213,2685,4872,2833,3619,1928,4426,2563,3777,2245,3715,2571,1909,1174,1299,682,1821,
