报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),14165,18270,16700,21442,13343,16790,12041,22984,4731,6647,6604,17737,24766,3717,2499,5298,11758,8263,3766,
结算备付金(万元),,,,,,,,,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,,,,,,,,
交易性金融资产(万元),,,,,,,,,,,,,,,,,,,,
衍生金融资产(万元),,,,,,,,,,,,,,,,,,,,
应收票据(万元),4149,5331,,8819,22892,19439,20981,19964,13894,12881,13014,15215,10469,9203,13248,2461,995,,254,
应收账款(万元),41757,42313,,43325,38474,39560,38970,38504,46147,47168,39164,38035,43107,42216,38064,27454,16752,7223,6877,
预付款项(万元),11103,13702,16203,13116,12998,7213,4984,3463,4040,2620,3238,2263,2657,2664,4371,7026,7641,8649,3047,
应收保费(万元),,,,,,,,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,,,,,,,
应收利息(万元),,,,,,,,,,,,,,,,,,,,
应收股利(万元),,,,,,,,,,,,,,,,,,,,
其他应收款(万元),,606,,296,540,702,484,436,877,865,759,1199,921,1207,1366,1377,1402,1754,992,
应收出口退税(万元),,,,,,,,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,,,,,,,,
存货(万元),9157,7248,6399,5661,6969,6829,7127,4792,4792,4550,5525,5312,5127,5843,7518,9006,11348,6039,2353,
待摊费用(万元),,,,,,,,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产(万元),104,104,104,104,86,86,86,86,,,,,,,,,,,,
其他流动资产(万元),3028,4013,4141,157,8293,5244,8265,248,10217,10219,12448,5415,660,660,660,704,1553,106,,
流动资产合计(万元),83774,91588,95825,92921,103594,95862,92937,90476,84696,84949,80753,85177,87707,65510,67727,53326,51449,32035,17289,
发放贷款及垫款(万元),,,,,,,,,,,,,,,,,,,,
可供出售金融资产(万元),,,1404,1329,1329,1329,1329,1329,1329,1329,1329,1329,1329,1329,1329,1329,1779,1779,,
持有至到期投资(万元),,,,,,,,,,,,,,,,,,,,
长期应收款(万元),119,124,118,116,107,116,111,111,71,69,,,,,,,,,,
长期股权投资(万元),,,,,,,,,,,,,,,,,,,1104,
其他长期投资(万元),,,,,,,,,,,,,,,,,,,,
投资性房地产(万元),,,,,,,,,,,,,,,,,,,,
固定资产原值(万元),,3188,,3055,,2974,,2964,,3045,,2906,,2904,2901,,,,,
累计折旧(万元),,1814,,1671,,1613,,1528,,1423,,1339,,1255,1167,,,,,
固定资产净值(万元),,1375,,1384,,1361,,1436,,1622,,1567,,1649,1734,,,,,
固定资产减值准备(万元),,,,,,,,,,,,,,,,,,,,
固定资产(万元),,1375,,1384,1335,1361,1393,1436,1579,1622,1658,1567,1606,1649,1734,1966,1879,1744,470,
在建工程(万元),,4876,,2442,853,44,38,38,30,26,26,26,,,,,,298,1,
工程物资(万元),,,,,,,,,,,,,,,,,,,,
固定资产清理(万元),,,,,,,,,,,,,,,,,,,,
生产性生物资产(万元),,,,,,,,,,,,,,,,,,,,
公益性生物资产(万元),,,,,,,,,,,,,,,,,,,,
油气资产(万元),,,,,,,,,,,,,,,,,,,,
无形资产(万元),1771,1046,1057,1002,1014,1020,1032,1043,1055,1067,1065,1076,1087,1062,1080,1116,1106,1133,18,
开发支出(万元),,,,,,,,,,,,,,,,,,,,
商誉(万元),,,,,,,,,,,,,,,,,,,,
长期待摊费用(万元),11,12,14,15,17,18,20,22,24,26,28,30,13,15,6,8,10,71,135,
股权分置流通权(万元),,,,,,,,,,,,,,,,,,,,
递延所得税资产(万元),4397,4397,4361,4361,1954,1954,1805,1805,1629,1601,1548,1548,1621,1596,1402,884,267,125,95,
其他非流动资产(万元),,,,,,,,,,,,,,,,,,,,
非流动资产合计(万元),15042,13234,11426,10649,6608,5842,5728,5784,5717,5740,5653,5575,5656,5650,5550,5304,5040,5151,1823,
资产总计(万元),98817,104822,107251,103570,110202,101704,98665,96261,90413,90690,86406,90752,93363,71160,73277,58629,56490,37186,19112,
短期借款(万元),6450,11450,11200,9200,8200,3300,3100,3100,100,,,,,7500,6000,3000,2000,,1000,
向中央银行借款(万元),,,,,,,,,,,,,,,,,,,,
吸收存款及同业存放(万元),,,,,,,,,,,,,,,,,,,,
拆入资金(万元),,,,,,,,,,,,,,,,,,,,
交易性金融负债(万元),,,,,,,,,,,,,,,,,,,,
衍生金融负债(万元),,,,,,,,,,,,,,,,,,,,
应付票据(万元),2151,1315,,3136,,1649,3970,3002,2715,1742,2317,5145,3301,4058,7868,,265,,,
应付账款(万元),13468,13160,,12997,,13528,13070,12663,14410,14285,12736,13582,17455,16288,15774,10996,7098,1177,1364,
预收账款(万元),15650,17691,19362,17632,16780,12490,11757,8694,7127,8205,6156,5668,5810,7401,9569,16079,23541,21403,9100,
卖出回购金融资产款(万元),,,,,,,,,,,,,,,,,,,,
应付手续费及佣金(万元),,,,,,,,,,,,,,,,,,,,
应付职工薪酬(万元),26,16,19,646,43,33,49,221,44,41,35,404,555,377,552,650,601,380,49,
应交税费(万元),226,406,649,747,510,669,425,724,294,1039,284,428,1245,1150,1917,2500,911,1012,1867,
应付利息(万元),,,,3,,,,,,,,,,,,,,,,
应付股利(万元),548,548,,548,,548,548,548,548,548,548,684,548,548,861,80,,600,,
其他应交款(万元),,,,,,,,,,,,,,,,,,,,
应付保证金(万元),,,,,,,,,,,,,,,,,,,,
内部应付款(万元),,,,,,,,,,,,,,,,,,,,
其他应付款(万元),,2356,,3622,3929,3160,157,1308,213,241,209,224,311,242,276,168,3083,24,11,
预提费用(万元),,,,,,,,,,,,,,,,,,,,
预计流动负债(万元),,,,,,,,,,,,,,,,,,,,
应付分保账款(万元),,,,,,,,,,,,,,,,,,,,
保险合同准备金(万元),,,,,,,,,,,,,,,,,,,,
代理买卖证券款(万元),,,,,,,,,,,,,,,,,,,,
代理承销证券款(万元),,,,,,,,,,,,,,,,,,,,
国际票证结算(万元),,,,,,,,,,,,,,,,,,,,
国内票证结算(万元),,,,,,,,,,,,,,,,,,,,
递延收益(万元),,,,,,,,,,,,,,,,,,,,
应付短期债券(万元),,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债(万元),,,,,,,,,,,,,,,,,,,,
其他流动负债(万元),,,,,,,,,,,,,,,,,,,,
流动负债合计(万元),40876,46943,51398,48530,43988,35378,33075,30259,25451,26101,22285,26135,29224,37565,42816,33473,37498,24596,13391,
长期借款(万元),,,,,,,,,,,,,,,,,,,,
应付债券(万元),,,,,,,,,,,,,,,,,,,,
长期应付款(万元),,,,,,,,,,,,,,,,,,,,
专项应付款(万元),,,,,,,,,,,,,,,,,,,,
预计非流动负债(万元),,,,,,,,,,,,,,,,,,,,
长期递延收益(万元),145,141,141,141,141,141,141,141,141,141,141,141,141,141,141,,,,,
递延所得税负债(万元),,,,,,,,,,,,,,,,,,,,
其他非流动负债(万元),,,,,,,,,,,,,,,,,,,,
非流动负债合计(万元),145,141,141,141,141,141,141,141,141,141,141,141,141,141,141,0,0,0,0,
负债合计(万元),41021,47084,51539,48671,44129,35518,33216,30400,25592,26242,22426,26276,29365,37706,42957,33473,37498,24596,13391,
实收资本(或股本)(万元),12471,12471,12471,12471,12441,12441,8000,8000,8000,8000,8000,8000,8000,6000,6000,6000,6000,6000,1000,
