报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2010-12-31,2009-12-31,
货币资金(万元),62693,75665,34604,77709,59574,65902,32562,46956,42075,42098,31584,46962,14086,11113,9950,5040,9563,5175,5037,4257,1217,3789,9709,2778,5735,4188,5950,1977,2415,2713,3370,2619,132,
结算备付金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融资产(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
衍生金融资产(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据(万元),2223,7516,1976,2054,1140,1074,482,869,804,,474,901,426,426,2060,40,600,600,,10,8,,19,,,,,,,123,123,,,
应收账款(万元),107064,86023,72866,64640,65354,52823,50516,39010,24418,25476,29281,28499,24983,24827,16777,12924,13628,10372,12439,4583,9236,4517,3903,3764,2030,1851,3141,3113,2224,1772,1723,1078,381,
预付款项(万元),14255,14636,6861,4723,6312,2832,1755,1283,2492,1071,1703,788,224,283,308,1732,398,5357,1399,5498,694,3619,195,1336,1297,290,144,193,46,26,52,55,146,
应收保费(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收利息(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收股利(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他应收款(万元),,2925,,1833,1836,1979,1403,1496,1199,1092,1474,1430,1010,672,530,296,319,196,260,1210,344,102,56,253,187,67,43,685,754,611,110,450,834,
