报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-06-30,2017-12-31,2017-06-30,2016-12-31,2016-09-30,2015-12-31,2014-12-31,
货币资金(万元),37330,46379,6370,12377,4332,6508,2541,1509,1351,2680,604,
结算备付金(万元),,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,
交易性金融资产(万元),,,,,,,,,,,,
衍生金融资产(万元),,,,,,,,,,,,
应收票据(万元),3275,4989,2318,2971,,8638,11638,,1554,477,660,
应收账款(万元),47194,43899,38126,29761,,22915,22901,,16151,9400,7476,
预付款项(万元),1051,415,425,452,375,493,595,835,432,409,434,
应收保费(万元),,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,
应收利息(万元),,,,,,,,,,,,
应收股利(万元),,,,,,,,,,,,
其他应收款(万元),,95,87,95,44,901,103,,210,338,1307,
应收出口退税(万元),,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,
存货(万元),7810,5559,7413,7098,5846,6783,6347,5912,5290,3626,3323,
待摊费用(万元),,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,
一年内到期的非流动资产(万元),88,88,108,108,88,88,,88,,,,
其他流动资产(万元),72,232,922,519,430,415,1198,358,1023,13,2,
流动资产合计(万元),96923,101656,55769,53380,49185,46740,45322,28737,26010,16944,13806,
发放贷款及垫款(万元),,,,,,,,,,,,
可供出售金融资产(万元),,,,,,,,,,,,
持有至到期投资(万元),,,,,,,,,,,,
长期应收款(万元),,,,,130,127,212,212,296,293,360,
长期股权投资(万元),,,,,,,,,,,,
其他长期投资(万元),,,,,,,,,,,,
投资性房地产(万元),,,,,,,,,,,,
固定资产原值(万元),,10284,10229,10124,,9579,,,,,,
累计折旧(万元),,5358,5166,4977,,4261,,,,,,
固定资产净值(万元),,4927,5063,5146,,5317,,,,,,
固定资产减值准备(万元),,,,,,,,,,,,
固定资产(万元),,4927,5063,5146,5341,5317,5436,,5210,4618,4996,
在建工程(万元),,351,,,,,,,227,291,675,
工程物资(万元),,,,,,,,,,,,
固定资产清理(万元),,,,,,,,,,,,
生产性生物资产(万元),,,,,,,,,,,,
公益性生物资产(万元),,,,,,,,,,,,
油气资产(万元),,,,,,,,,,,,
无形资产(万元),2382,2372,2390,2407,2354,1219,1236,1254,1262,1255,1284,
开发支出(万元),,,,,,,,,,,,
商誉(万元),,,,,,,,,,,,
