报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-06-30,2016-12-31,2015-12-31,2014-12-31,2013-12-31,
货币资金(万元),16000,7175,7361,15317,16418,18047,2639,3000,3494,1750,3444,2081,1463,
结算备付金(万元),,,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,,
交易性金融资产(万元),,,,,,,,,,,,,,
衍生金融资产(万元),,,,,,,,,,,,,,
应收票据(万元),172,72,21,103,26,,,,1,,8,,,
应收账款(万元),8580,8512,7867,8232,7235,8695,6955,6271,6262,5348,4916,4564,4286,
预付款项(万元),431,846,527,609,1005,742,528,258,352,267,119,263,331,
应收保费(万元),,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,
应收利息(万元),,,,,,,,,,,18,,,
应收股利(万元),2,2,2,2,,,,,,,,,,
其他应收款(万元),,346,,182,375,295,162,333,250,159,243,143,204,
应收出口退税(万元),,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,,
存货(万元),10503,9057,8572,7038,9853,7289,7260,5781,5269,4158,5180,4802,3958,
待摊费用(万元),,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,,,
其他流动资产(万元),721,8103,8017,1126,540,859,675,691,970,779,94,128,28,
流动资产合计(万元),36709,34114,32769,32609,35452,35927,18219,16333,16599,12462,14020,11981,10269,
发放贷款及垫款(万元),,,,,,,,,,,,,,
可供出售金融资产(万元),,,,,,,,,,,,,,
持有至到期投资(万元),,,,,,,,,,,,,,
长期应收款(万元),,,,,,,,,,,,,,
长期股权投资(万元),57,56,56,56,57,57,61,56,55,54,53,53,51,
其他长期投资(万元),,,,,,,,,,,,,,
投资性房地产(万元),,,,,,,,,,,,,,
固定资产原值(万元),,18232,,17797,,17597,,17547,,13413,,,,
累计折旧(万元),,6228,,5553,,4995,,4353,,3285,,,,
固定资产净值(万元),,12004,,12244,,12602,,13195,,10128,,,,
固定资产减值准备(万元),,,,,,,,,,,,,,
固定资产(万元),,12004,,12244,12375,12602,12808,13195,13815,10128,6833,6505,6666,
在建工程(万元),,1400,,1159,406,230,205,91,21,3761,1319,188,,
工程物资(万元),,,,,,,,,,,,,,
固定资产清理(万元),,,,,,,,,,,,,,
生产性生物资产(万元),,,,,,,,,,,,,,
公益性生物资产(万元),,,,,,,,,,,,,,
油气资产(万元),,,,,,,,,,,,,,
无形资产(万元),1668,1679,1691,1703,1704,1716,1727,1739,1763,1785,1833,873,885,
开发支出(万元),,,,,,,,,,,,,,
商誉(万元),,,,,,,,,,,,,,
长期待摊费用(万元),180,189,,,,,,,,,,,,
股权分置流通权(万元),,,,,,,,,,,,,,
递延所得税资产(万元),306,301,315,260,343,299,251,273,153,94,72,60,81,
其他非流动资产(万元),141,98,368,146,287,179,324,91,55,110,92,394,,
非流动资产合计(万元),15533,15728,15567,15568,15173,15082,15377,15445,15862,15932,10202,8072,7683,
资产总计(万元),52242,49842,48337,48177,50625,51009,33596,31777,32461,28394,24221,20054,17953,
短期借款(万元),6268,5737,3550,2250,2750,1975,4062,4349,5370,5993,8856,6333,4763,
向中央银行借款(万元),,,,,,,,,,,,,,
吸收存款及同业存放(万元),,,,,,,,,,,,,,
拆入资金(万元),,,,,,,,,,,,,,
