报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2017-12-31,2017-06-30,2016-12-31,2015-12-31,2014-12-31,
货币资金(万元),238984,105190,103239,134035,83953,40445,91684,107931,149144,
结算备付金(万元),,,,,,,,,,
拆出资金(万元),,,,,,,,,,
交易性金融资产(万元),,,,,,,,,,
衍生金融资产(万元),,,,,,,,,,
应收票据(万元),8219,9995,,20077,22831,7803,,16780,7183,
应收账款(万元),290846,253904,,193245,140723,159796,,65605,40775,
预付款项(万元),43537,17571,7766,1006,878,769,432,439,4581,
应收保费(万元),,,,,,,,,,
应收分保账款(万元),,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,
应收利息(万元),,,,,,,,,,
应收股利(万元),,,,,,,,,,
其他应收款(万元),,8500,,3111,3971,5112,,3306,2577,
应收出口退税(万元),,,,,,,,,,
应收补贴款(万元),,,,,,,,,,
应收保证金(万元),,,,,,,,,,
内部应收款(万元),,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,
存货(万元),142756,87288,63834,75697,80316,81116,89240,119270,130054,
待摊费用(万元),,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,
其他流动资产(万元),6696,4757,2425,9593,30450,2536,893,24421,20688,
流动资产合计(万元),740271,487204,430568,436764,363122,297575,305600,337752,355002,
发放贷款及垫款(万元),,,,,,,,,,
可供出售金融资产(万元),,,50,50,50,50,50,50,50,
持有至到期投资(万元),,,,,,,,,,
长期应收款(万元),133714,133472,128872,123589,129679,117285,107860,109775,33192,
长期股权投资(万元),17442,15477,15072,15072,12205,10874,9524,3870,2700,
其他长期投资(万元),,,,,,,,,,
投资性房地产(万元),,,,,,,,,,
固定资产原值(万元),,87171,,86164,81628,,80055,,,
累计折旧(万元),,32086,,29422,23174,,16999,,,
固定资产净值(万元),,55085,,56742,58454,,63055,,,
固定资产减值准备(万元),,8,,8,,,,,,
固定资产(万元),,55077,,56733,58454,60236,63055,47922,35890,
在建工程(万元),,13473,,6906,2056,585,,14720,23078,
工程物资(万元),,,,,,,,,,
固定资产清理(万元),,,,,,,,,,
生产性生物资产(万元),,,,,,,,,,
公益性生物资产(万元),,,,,,,,,,
油气资产(万元),,,,,,,,,,
无形资产(万元),3818,3867,3932,3959,4133,4145,4249,4213,4147,
开发支出(万元),,,,,,,,,,
商誉(万元),,,,,,,,,,
长期待摊费用(万元),123,134,154,154,149,,,,,
股权分置流通权(万元),,,,,,,,,,
递延所得税资产(万元),9389,9486,9662,9628,7896,7307,7152,5328,4049,
其他非流动资产(万元),4616,4608,4601,6638,3631,140,139,125,,
非流动资产合计(万元),239808,235644,226539,222729,218254,200620,192980,186003,103107,
资产总计(万元),980079,722848,657106,659493,581376,498196,498580,523755,458109,
短期借款(万元),8000,10000,16200,17500,22500,23000,19000,,,
向中央银行借款(万元),,,,,,,,,,
