报告日期,2019-09-30,2019-06-30,2018-12-31,2018-06-30,2017-12-31,2017-06-30,2016-12-31,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,
货币资金(万元),21562,19178,25741,19143,14392,11929,6458,9017,9807,6646,5668,9396,
结算备付金(万元),,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,
交易性金融资产(万元),,,,,,,,,,1000,1293,,
衍生金融资产(万元),,,,,,,,,,,,,
应收票据(万元),584,501,2641,,,276,997,464,16,824,731,593,
应收账款(万元),12765,10775,12916,,,12478,12964,11399,10474,9857,6967,5097,
预付款项(万元),2089,583,734,921,1065,1380,1241,829,194,379,465,490,
应收保费(万元),,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,
应收利息(万元),,,,,,,,,,,,,
应收股利(万元),,,,,,,,,,,,,
其他应收款(万元),,,,496,1081,745,513,705,960,2711,1804,1541,
应收出口退税(万元),,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,
存货(万元),6318,6616,6134,6335,6081,5679,5905,5006,5533,4533,4013,3355,
待摊费用(万元),,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,,
其他流动资产(万元),397,469,338,331,221,214,257,,,100,,,
流动资产合计(万元),44720,38943,49312,40549,34931,32701,28335,27420,26984,26050,20941,20472,
发放贷款及垫款(万元),,,,,,,,,,,,,
可供出售金融资产(万元),,,,,,,,,,,,,
持有至到期投资(万元),,,,,,,,,,,,,
长期应收款(万元),,,,,,,,,,,,,
长期股权投资(万元),,,,,,,,,,,,,
其他长期投资(万元),,,,,,,,,,,,,
投资性房地产(万元),,,,,,,,,,,,,
固定资产原值(万元),,43438,39719,,,,,,,,,,
累计折旧(万元),,17016,14808,,,,,,,,,,
固定资产净值(万元),,26422,24911,,,,,,,,,,
固定资产减值准备(万元),,,,,,,,,,,,,
固定资产(万元),,26422,24911,26821,27394,23365,23418,24689,16900,8305,4354,2929,
在建工程(万元),,13697,9149,8855,6414,6089,4738,138,5124,6455,1217,153,
工程物资(万元),,4120,3560,,,2557,1742,1316,454,1094,208,1,
固定资产清理(万元),,,,,,,,101,17,,,,
生产性生物资产(万元),,,,,,,,,,,,,
公益性生物资产(万元),,,,,,,,,,,,,
油气资产(万元),,,,,,,,,,,,,
无形资产(万元),6717,6786,6835,5012,4790,4900,5010,5220,5178,3426,534,525,
开发支出(万元),,,,,,,,,,,,,
商誉(万元),,,,,,,,,,,,,
长期待摊费用(万元),,,,,,42,92,192,395,459,445,55,
股权分置流通权(万元),,,,,,,,,,,,,
递延所得税资产(万元),553,505,585,538,480,458,462,669,580,584,175,131,
其他非流动资产(万元),1150,822,1844,2961,2218,1289,957,129,461,1697,2328,1124,
非流动资产合计(万元),55863,52351,46885,44186,41296,38700,36418,32453,29110,22020,9262,4919,
资产总计(万元),100583,91295,96197,84735,76226,71401,64753,59873,56094,48070,30203,25391,
短期借款(万元),,,,,,3229,30,,1000,2000,,,
向中央银行借款(万元),,,,,,,,,,,,,
吸收存款及同业存放(万元),,,,,,,,,,,,,
拆入资金(万元),,,,,,,,,,,,,
交易性金融负债(万元),,,,,,,,,,,,,
衍生金融负债(万元),,,,,,,,,,,,,
应付票据(万元),4568,1798,12742,,,10539,8963,9421,7591,5546,2050,3580,
应付账款(万元),6495,6435,6097,,,8061,8651,9560,11856,8713,4123,3412,
预收账款(万元),825,423,590,914,517,531,451,264,349,388,483,881,
卖出回购金融资产款(万元),,,,,,,,,,,,,
应付手续费及佣金(万元),,,,,,,,,,,,,
应付职工薪酬(万元),1382,1031,1803,933,1294,654,941,1116,634,1114,971,739,
应交税费(万元),1399,887,2580,1583,1410,271,463,843,319,1211,791,800,
应付利息(万元),,,,,,4,,,,,,,
应付股利(万元),,,,,,,,,,,,,
其他应交款(万元),,,,,,,,,,,,,
应付保证金(万元),,,,,,,,,,,,,
内部应付款(万元),,,,,,,,,,,,,
其他应付款(万元),,,,94,39,10,13,55,122,71,69,40,
预提费用(万元),,,,,,,,,,,,,
预计流动负债(万元),,,,,,,,,,,,,
应付分保账款(万元),,,,,,,,,,,,,
保险合同准备金(万元),,,,,,,,,,,,,
代理买卖证券款(万元),,,,,,,,,,,,,
代理承销证券款(万元),,,,,,,,,,,,,
国际票证结算(万元),,,,,,,,,,,,,
国内票证结算(万元),,,,,,,,,,,,,
递延收益(万元),,,,,,,,,,,,,
应付短期债券(万元),,,,,,,,,,,,,
一年内到期的非流动负债(万元),,,,,,,,,,,,,
其他流动负债(万元),,,,,,,,,,,,,
流动负债合计(万元),14711,10664,23875,23639,21197,23298,19510,21259,21871,19041,8486,9452,
长期借款(万元),,,,,,,,,,,,,
应付债券(万元),,,,,,,,,,,,,
长期应付款(万元),,,,,,,,,,,,,
专项应付款(万元),,,,,,,,,,,,,
预计非流动负债(万元),,,,,,,,,,,,,
长期递延收益(万元),433,452,491,529,568,584,622,698,675,691,60,60,
递延所得税负债(万元),,,,,,,,,,0,0,,
其他非流动负债(万元),,,,,,,,,,,,,
非流动负债合计(万元),433,452,491,529,568,584,622,698,675,691,60,60,
负债合计(万元),15144,11116,24366,24168,21764,23882,20132,21957,22546,19732,8546,9512,
实收资本(或股本)(万元),9000,9000,9000,9000,9000,9000,9000,9000,9000,1250,1250,1149,
资本公积(万元),25906,25906,25906,23879,23879,23879,23879,23879,19409,10750,10750,6401,
减:库存股(万元),,,,,,,,,,,,,
专项储备(万元),,,,,,,6,1,38,189,233,163,
盈余公积(万元),3539,3539,3539,1948,1948,968,968,378,,1803,1163,801,
一般风险准备(万元),,,,,,,,,,,,,
未确定的投资损失(万元),,,,,,,,,,,,,
未分配利润(万元),46968,41719,33373,25735,19638,13664,10752,4655,5101,14346,8260,7365,
拟分配现金股利(万元),,,,,,,,,,,,,
外币报表折算差额(万元),,,,,,,,,,,,,
归属于母公司股东权益合计(万元),85440,80179,71832,60567,54462,47520,44621,37916,33548,28338,21656,15879,
少数股东权益(万元),,,,,,,,,,,,,
所有者权益(或股东权益)合计(万元),85440,80179,71832,60567,54462,47520,44621,37916,33548,28338,21656,15879,
负债和所有者权益(或股东权益)总计(万元),100583,91295,96197,84735,76226,71401,64753,59873,56094,48070,30203,25391,		
