报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2014-06-30,2013-12-31,2013-06-30,2012-12-31,2012-06-30,
货币资金(万元),78371,76622,56269,66203,54568,55092,45753,39050,45315,124540,35571,59751,52667,40921,34722,47653,32804,23979,49948,52733,
结算备付金(万元),,,,,,,,,,,,,,,,,,,,,
拆出资金(万元),22999,100039,,15000,,,28000,,30000,55000,5000,,,,,30000,,18000,,,
交易性金融资产(万元),,,,,,,,,586,,2476,,,,,,,,,,
衍生金融资产(万元),,,,,,,,,,,,,,,,,,,,,
应收票据(万元),,,,128,130,60,30,130,100,282,,485,185,228,506,3165,2939,538,2398,948,
应收账款(万元),1076,839,772,1229,1293,1494,1490,2111,2707,2511,4391,3853,4838,5707,5822,22891,78818,103493,1973,1967,
预付款项(万元),,,,,,,,,,,,,,,,,,,,,
应收保费(万元),,,,,,,,,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,,,,,,,,
应收利息(万元),,,,65448,61221,52644,45228,35594,32481,29284,24771,21623,17535,18568,16140,14641,11726,11118,7467,5824,
应收股利(万元),,,,,,,,,,,,,,,,,,,,,
其他应收款(万元),,,,1235,1204,899,1259,1943,1862,8127,2224,2601,1701,21748,4505,1668,1803,859,274,334,
应收出口退税(万元),,,,,,,,,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,,,,,,,,,
存货(万元),,,,,,,,,,,,,,,,,,,,,
待摊费用(万元),,,,,,,,,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,,,,,,,,,,
其他流动资产(万元),,,,,,,,,,,,,,,,,,,,,
流动资产合计(万元),,,,,,,,,,,,,,,,,,,,,
发放贷款及垫款(万元),,,,,,,,,,-137690,,,,,,,,,,,
可供出售金融资产(万元),,,,,,,,11284,6670,6671,6640,2253,3498,,,,,,,,
持有至到期投资(万元),,,,,,,,,,,,,,,,,,,,,
长期应收款(万元),6364887,6113123,5977120,5597990,5610852,5444039,5155747,4765321,4515873,5175393,4020128,3873574,3132148,2904616,2964269,2456686,1690719,1839562,1381064,1365795,
长期股权投资(万元),,,,,,,,,,,,,,,,,,,,,
其他长期投资(万元),,,,,,,,,,,,,,,,,,,,,
投资性房地产(万元),9843,8838,8903,8986,7006,7071,6730,6793,1002,1009,1036,1064,1091,811,835,859,883,907,931,955,
固定资产原值(万元),,52065,,51940,,49345,,53047,58977,,,,,,,,4357,,4312,,
累计折旧(万元),,4985,,3932,,3237,,3345,2933,,,,,,,,1079,,891,,
固定资产净值(万元),,47079,,48008,,46108,,49701,56044,,,,,,,,3279,,3422,,
固定资产减值准备(万元),,,,,,,,,,,,,,,,,,,,,
固定资产(万元),45542,47079,47530,48008,45353,46108,49248,49701,56044,56468,3273,3401,3375,3109,3167,3210,3279,3364,3422,3522,
在建工程(万元),,,,,,,,,,,51213,50347,50587,48961,47882,28897,21003,10478,10478,10478,
工程物资(万元),,,,,,,,,,,,,,,,,,,,,
固定资产清理(万元),,,,,,,,,,,,,,,,,,,,,
生产性生物资产(万元),,,,,,,,,,,,,,,,,,,,,
公益性生物资产(万元),,,,,,,,,,,,,,,,,,,,,
油气资产(万元),,,,,,,,,,,,,,,,,,,,,
无形资产(万元),1398,1459,1431,1168,1125,1013,1010,1061,916,682,721,637,532,393,390,224,232,171,69,78,
开发支出(万元),,,,,,,,,,,,,,,,,,,,,
商誉(万元),,,,,,,,,,,,,,,,,,,,,
长期待摊费用(万元),,,,1194,1204,1214,1224,1234,1244,1254,,,,,,,,,,,
股权分置流通权(万元),,,,,,,,,,,,,,,,,,,,,
递延所得税资产(万元),47157,43350,40672,42521,36287,33162,33786,30103,25562,23350,19444,11949,7882,3008,3000,3367,3367,47,47,381,
其他非流动资产(万元),73782,67539,58574,53857,50549,34834,26662,22591,17581,6305,,,,,,,195,,195,,
非流动资产合计(万元),,,,,,,,,,,,,,,,,,,,,
资产总计(万元),6645055,6458887,6191273,5902966,5870793,5677630,5396167,4966917,4737941,4767634,4177058,3486251,3276234,3051762,2664807,2259087,1847767,1750048,1458266,1255067,
短期借款(万元),49137,61153,64270,142900,200665,300381,318277,412296,419356,262090,133000,182500,196730,171564,207965,1352311,1088639,931730,796900,573290,
向中央银行借款(万元),,,,,,,,,,,,,,,,,,,,,
吸收存款及同业存放(万元),,,,,,,,,,,,,,,,,,,,,
