报告日期,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2014-06-30,2013-12-31,2013-06-30,2012-12-31,2012-06-30,2011-12-31,2011-06-30,2010-12-31,2009-12-31,2008-12-31,
货币资金(万元),232643,276224,220121,235518,204958,219822,274412,225321,216590,228512,283498,212789,162316,213651,149124,231619,313867,307045,319782,359538,166965,110063,75782,105599,91957,173833,247497,34489,23308,
结算备付金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融资产(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
衍生金融资产(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据(万元),,,38959,45156,41304,40107,40568,,52126,51209,38612,45290,47434,48180,14383,13022,,11923,,40617,40494,,25110,7287,16534,750,,,,
应收账款(万元),431971,433912,402174,351409,351060,350816,328722,,265495,246331,249340,211068,205028,182089,145279,124948,124081,141208,140171,63242,42747,82474,54767,54640,23110,24156,18848,8480,4120,
预付款项(万元),22054,20270,306231,238639,182398,170141,149910,21380,165989,155490,147738,127462,191085,200882,113597,201484,57422,193780,45865,33406,18959,36832,72494,51287,55801,1015,1079,1334,21164,
应收保费(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收利息(万元),,,,,,,26,,12,51,241,,200,214,277,706,,820,,180,150,,191,76,308,40,220,7,,
应收股利(万元),2566,2581,2581,,2319,,3121,,,,,,,,,,,,,,,,1420,,,4533,,,,
其他应收款(万元),,2317,3907,,11214,,10412,,31140,24557,48941,5565,141242,133610,140026,95322,,73960,,79986,85229,,94339,102173,94939,64555,67443,27403,17850,
应收出口退税(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
存货(万元),5338,4403,4982,5119,4581,3540,4204,4581,5934,4116,8345,4023,4175,3433,4539,6585,4834,5278,4311,2621,4261,2745,2996,2926,2469,3924,2526,2155,1896,
待摊费用(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产(万元),,1121,1121,1121,,,,,,,,,,500,750,,,,,,,,,,,,,,,
其他流动资产(万元),75566,67655,135615,143391,121561,109522,113761,49763,115639,114533,86092,126688,,,,24848,,,,23000,15000,,20300,8000,32819,,,,,
流动资产合计(万元),834149,847885,1115691,1027544,919396,906449,925136,640701,852924,824798,862806,732887,751479,782559,567977,698533,523203,734014,533128,602589,373805,271823,347400,331988,317936,272806,337613,73867,68338,
发放贷款及垫款(万元),,,,,1121,,1121,,1121,1121,,,1121,,,,,,,750,,,,500,,,,,,
可供出售金融资产(万元),,,11521,,11521,,11521,,10340,10340,10340,10340,10340,10340,10340,10340,10340,23340,10340,,,25340,,,,,,,,
持有至到期投资(万元),,,,,,,,,,,,,,,,750,750,750,750,,,750,,,,500,500,200,,
长期应收款(万元),,,,,,,,,18294,18294,18294,18294,17910,25201,17910,14285,14285,,,,750,113056,750,,500,,,,,
长期股权投资(万元),232944,241388,238352,230224,222327,221499,218308,191768,189772,182975,178349,168731,144004,128203,122935,126968,114959,127146,98387,103202,100720,43773,66566,64206,58657,36453,35154,22621,9572,
其他长期投资(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资性房地产(万元),2741,2769,2797,2824,2852,2880,2907,2935,2962,2997,3036,3074,3112,3151,3227,3329,3262,1640,1677,,,17509,,,,,,,,
固定资产原值(万元),,2725877,2721796,,2758987,,2573456,,2317157,2206476,2197201,,1957687,,,,,1208546,,,952510,,826710,,548586,,,,,
累计折旧(万元),,693195,665221,,630687,,568935,,518198,489967,461070,,409988,,,,,245168,,,164493,,125662,,90759,,,,,
固定资产净值(万元),,2032682,2056575,,2128300,,2004521,,1798959,1716510,1736132,,1547698,,,,,963379,,,788017,,701047,,457827,,,,,
固定资产减值准备(万元),,510,1006,,,,,,,,,,2,,,,,,,,,,,,,,,,,
固定资产(万元),,2032172,2055569,,2128300,,2004521,,1798959,1716510,1736132,1704312,1547696,1568831,1386375,958143,1497057,963379,1173113,776146,788017,894370,701047,649224,457827,439020,386431,395296,194581,
