报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2010-12-31,2010-09-30,2009-12-31,2008-12-31,2007-12-31,
货币资金(万元),451848,734489,183217,143438,181248,114335,267784,191961,356208,337382,180844,221262,263054,198032,210562,201579,179366,160063,148571,231088,155817,96332,94698,117920,46715,81913,173867,43985,34514,39359,62253,72973,53301,11363,65030,18221,19660,
结算备付金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
拆出资金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
交易性金融资产(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
衍生金融资产(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
应收票据(万元),45332,13324,,15196,,,31449,44778,65568,60462,120685,121592,11777,12374,11093,10659,1552,1557,2105,822,1708,1805,2824,2995,6378,13046,8528,2390,3127,3227,3620,2037,639,1080,1030,0,301,
应收账款(万元),1669,2626,,1466,,,2504,2830,1578,2709,2971,3433,3693,2709,4303,2288,5071,5019,5093,1140,1009,1009,1010,1011,906,1478,58,25556,22649,20731,4445,7418,4881,1889,2035,902,2287,
预付款项(万元),23655,10924,5976,5699,12215,10460,11942,8426,72033,25933,21209,8522,17097,18274,26733,19410,43126,64977,80320,101823,110309,145366,160450,146059,206535,131767,117534,69010,136989,132859,79428,117287,30299,43924,21488,56869,20911,
应收保费(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
应收分保账款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
应收分保合同准备金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
应收利息(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,969,,,,,,,0,,
应收股利(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
其他应收款(万元),,2120,,,2043,1987,3390,,18027,82282,224927,,217034,220008,223628,230565,420614,372393,337832,346867,294492,297388,394726,349789,261696,209326,284085,31750,47038,75971,71335,136349,56078,79762,77391,57890,22551,
应收出口退税(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
应收补贴款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
应收保证金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
内部应收款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
买入返售金融资产(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
存货(万元),73089,53894,45420,50735,56305,54213,49240,45412,38897,35876,37127,50301,34365,34470,29375,30980,23956,30074,36706,78889,22408,29013,35501,29306,20302,29550,19233,31571,30650,41455,19786,45941,30048,33079,23519,16926,4585,
待摊费用(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
待处理流动资产损益(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
一年内到期的非流动资产(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
其他流动资产(万元),17361,15068,10579,8969,4343,4919,4533,4342,4000,3817,3555,3969,2596,2270,1849,1869,,,,,,,,,,,,,,,,,,,,0,,
流动资产合计(万元),614766,832445,279401,227573,269887,200911,370842,299433,556311,548461,591318,637894,549616,488138,507543,497350,673685,634082,610628,760628,585744,570914,689209,647080,542533,467081,603305,204261,275937,313602,240866,382004,175245,171097,190492,150808,70295,
发放贷款及垫款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
可供出售金融资产(万元),,,,,,,,,,,,,,,,74,,,,,,,,,,,,,,,,,,,,0,,
持有至到期投资(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64478,,0,,
长期应收款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
长期股权投资(万元),,,,,,,,,,,,,,,,,,,,,,,,,20700,20610,20610,27698,29698,3608,5400,3428,,64478,7800,0,,
其他长期投资(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
投资性房地产(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
固定资产原值(万元),,1886010,,1880095,,,,1879442,,,,1840400,,,,,,,,,,,,719811,,,477120,,,,,,351303,303189,259466,38379,,
累计折旧(万元),,407974,,372483,,,,304529,,,,234239,,,,,,,,,,,,95421,,,80986,,,,,,33762,24449,10326,2593,,
固定资产净值(万元),,1478036,,1507612,,,,1574914,,,,1606160,,,,,,,,,,,,624390,,,396135,,,,,,317541,278740,249139,35787,,
固定资产减值准备(万元),,979,,979,,,,979,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
