报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-06-30,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-09-30,2014-12-31,2013-12-31,2012-12-31,
货币资金(万元),1089614,1137694,1323388,807797,724473,1170518,1245004,810029,865348,755819,575717,742255,127730,91288,
结算备付金(万元),,,,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,,,
交易性金融资产(万元),113536,96000,84900,87500,90652,,6976,,,20000,,,,,
衍生金融资产(万元),,,,,,,,,,,,,,,
应收票据(万元),8075,16372,62928,73560,,,82892,,88132,,100179,72293,38723,86564,
应收账款(万元),248661,227989,236770,206854,,,148568,,128312,,130437,138875,89380,54629,
预付款项(万元),24316,15082,23832,8169,12941,7959,9096,5904,9832,4811,12625,4048,2577,4254,
应收保费(万元),,,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,,
应收利息(万元),4653,4342,3273,3246,,,5589,,2274,,1958,4070,70,627,
应收股利(万元),29289,143,297,,,,24235,,,,,1320,27407,101,
其他应收款(万元),,232103,,175030,,,115011,,81354,,95782,46542,46936,348208,
应收出口退税(万元),,,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,,,
存货(万元),19177,24514,16216,17472,11013,52539,52060,48220,44690,34812,60417,20024,37076,18219,
待摊费用(万元),,,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,,
一年内到期的非流动资产(万元),114703,41854,39591,38574,56827,33065,54850,31373,9112,6027,,1129,1129,1100,
其他流动资产(万元),198237,234815,187396,390325,423930,103616,110666,119741,106821,6525,3516,3366,2625,2099,
流动资产合计(万元),2109699,2127365,2206358,1836625,1670301,1720624,1854947,1311465,1335876,1114593,980630,1033922,373653,607089,
发放贷款及垫款(万元),,,,,,,,,,,,,,,
可供出售金融资产(万元),,,,,,18357,9221,9221,7221,7221,7221,7221,7221,11106,
持有至到期投资(万元),,,,,,,,,,,,,,,
长期应收款(万元),108877,161654,180728,160608,225530,439567,340486,348453,371833,167967,117330,9138,100,100,
长期股权投资(万元),927103,964857,920326,882526,912281,853824,811552,513904,475780,469804,454312,493979,439779,354018,
其他长期投资(万元),,,,,,,,,,,,,,,
投资性房地产(万元),18659,18639,22695,18884,19128,19330,17772,11784,11092,11977,8799,22154,22199,19862,
固定资产原值(万元),,2057478,,2103500,1964880,1937081,,1747040,,1380255,,,,,
累计折旧(万元),,726681,,699414,666185,633616,,578541,,532338,,,,,
固定资产净值(万元),,1330797,,1404086,1298695,1303466,,1168498,,847917,,,,,
固定资产减值准备(万元),,,,,,,,,,,,,,,
固定资产(万元),,1330797,,1404086,1298695,1303466,1165280,1168498,866906,847917,784325,763323,761531,1273071,
在建工程(万元),,237333,,209781,245914,216399,346633,233897,395545,349038,351641,305282,158935,285214,
工程物资(万元),,,,,,,8495,,,,,,,,
固定资产清理(万元),,,,,,,,,,,,,,,
生产性生物资产(万元),,,,,,,,,,,,,,,
公益性生物资产(万元),,,,,,,,,,,,,,,
油气资产(万元),,,,,,,,,,,,,,,
无形资产(万元),198339,200830,205413,206985,200894,92202,86947,93142,88801,85619,81255,82573,63848,22961,
开发支出(万元),,,,,,,,,,,,,,,
商誉(万元),2537,2537,2537,2537,2537,2069,2069,1884,1884,1884,1884,1884,,,
长期待摊费用(万元),6367,2623,2741,2689,2383,2425,1373,1487,1635,1386,1658,2299,2133,3643,
股权分置流通权(万元),,,,,,,,,,,,,,,
递延所得税资产(万元),88157,88606,91363,90886,89653,89677,86845,87210,87137,85729,84990,88827,93669,10194,
