报告日期,2020-09-30,2020-06-30,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-06-30,2008-12-31,2008-03-31,2007-12-31,2006-12-31,2005-12-31,
货币资金(万元),752534,782675,893489,830367,854152,890699,1011903,690924,569631,562592,374108,382069,385199,379385,398841,360584,382593,88044,89089,61543,67594,60227,61226,39969,48588,59788,89066,122089,230591,286535,195705,214196,211563,221064,272577,243742,294105,267217,375748,307015,360171,398420,328411,266189,343913,125505,189500,127007,98005,
结算备付金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,,0,0,
拆出资金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,,0,0,
交易性金融资产(万元),197,197,255,266,266,256,256,268,268,,,,,,,,,,,,,,,,,,,,,,,,,,0,48,57,258,258,,0,,0,0,0,0,,0,0,
衍生金融资产(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,,0,0,
应收票据(万元),129296,158162,162336,94866,122650,159410,201310,177609,164026,165358,91900,55225,64302,75276,91912,56162,33689,28766,22653,25805,40096,49061,29754,20290,28768,50505,73507,87870,99589,86495,85995,98967,93362,139438,151495,69787,67183,104838,150877,107147,110419,86956,74086,62179,56603,98550,53206,34459,29138,
应收账款(万元),432064,377949,312287,438962,406059,398839,319067,365457,420964,322176,235875,288135,271685,226332,219962,235217,241461,254913,251663,248680,240849,275248,301213,359450,349651,353712,368983,415220,410529,419664,356972,381161,368985,384814,370847,403111,336817,274752,260594,315476,317295,338009,289359,278675,204040,107165,91006,60566,57090,
预付款项(万元),100432,97730,94238,172630,113912,191553,150700,164741,143642,158447,23222,41914,40476,35303,25829,28987,21705,25780,26086,46174,48604,47738,30806,36430,27822,30511,19380,34952,29618,35584,32055,70952,73232,76106,66063,84322,79636,73337,54128,58419,68687,77904,74136,79002,57177,67767,29917,38954,49612,
应收保费(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,,0,0,
应收分保账款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,,0,0,
应收分保合同准备金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,,0,0,
应收利息(万元),9100,6995,3386,8279,4193,2168,2125,3242,2277,2482,4118,3541,2465,687,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,,0,0,
应收股利(万元),,,131,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,,0,0,
其他应收款(万元),,35903,31864,,20983,,17766,,13302,30551,18366,24332,20149,18274,17634,18055,16292,15921,14507,17234,17409,7827,8118,8756,11133,11787,3821,5111,3918,2529,6519,4180,4209,2986,2437,4958,3424,3420,3769,9294,6402,3138,4527,2136,4108,10726,2765,6640,11100,
应收出口退税(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,,0,0,
应收补贴款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,,0,0,
应收保证金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,,0,0,
内部应收款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,,0,0,
买入返售金融资产(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,,0,0,
存货(万元),396017,409014,364341,355926,324869,251352,274404,295977,321752,269444,192622,193091,182197,158035,131576,143669,140625,143539,170622,245975,247260,254108,248889,492192,474283,480151,445778,482628,470433,512826,530625,618745,613112,597801,533389,569486,541404,545448,504350,494941,448455,420777,404799,420926,434680,306810,290246,221930,170300,
待摊费用(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,,0,0,
待处理流动资产损益(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,,0,0,
一年内到期的非流动资产(万元),,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,,0,0,
其他流动资产(万元),31334,38008,59461,45128,42248,41865,37857,32484,39383,42046,14209,22217,19650,18304,14586,18311,18334,30193,34662,33972,35610,35600,39121,1592,1897,1897,2471,900,900,900,900,900,600,,,,,,,,0,,0,0,0,0,,0,0,
流动资产合计(万元),1911385,1906634,1921788,1963962,1889332,1956238,2015388,1753544,1675245,1553097,954420,1010524,986124,911597,901168,860986,854700,587156,609283,679382,697421,729810,719127,958679,942142,988352,1003007,1148771,1245577,1344533,1208770,1389101,1365063,1422210,1396807,1375453,1322627,1269269,1349723,1292292,1311429,1325204,1175318,1109107,1100520,716524,656640,489557,415245,
发放贷款及垫款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,,0,0,
可供出售金融资产(万元),,,,45605,45605,44723,44723,44690,42149,42561,34,34,34,881,819,819,664,909,857,769,1274,488,488,427,345,482,432,417,501,362,299,260,294,253,228,255,374,418,387,412,292,481,499,306,165,557,840,0,0,
持有至到期投资(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,,0,0,
长期应收款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,,0,0,
长期股权投资(万元),8666,8666,8584,8469,8469,8431,8431,8178,8178,8192,756,588,588,602,602,600,600,638,638,698,698,657,657,696,696,704,704,682,4606,4440,4440,662,662,677,677,39,39,77,77,76,80,77,77,72,74,5019,5019,130,134,
其他长期投资(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,,0,0,
投资性房地产(万元),15331,15716,15834,1835,1869,1902,1936,2153,,2227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,,0,0,
