报告日期,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2018-12-31,2017-12-31,
货币资金(万元),1090650,1071128,,,876524,923976,,660715,
结算备付金(万元),283823,179548,,,260758,198073,,265683,
拆出资金(万元),,,,,,,,,
交易性金融资产(万元),1612288,1515998,,,452662,253565,,236204,
衍生金融资产(万元),4174,687,,,,,,,
应收票据(万元),,,,,,,,,
应收账款(万元),2538,5989,,,3987,6154,,,
预付款项(万元),,,,,,,,,
应收保费(万元),,,,,,,,,
应收分保账款(万元),,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,
应收利息(万元),,,,,,,,,
应收股利(万元),,,,,,,,,
其他应收款(万元),,,,,,,,,
应收出口退税(万元),,,,,,,,,
应收补贴款(万元),,,,,,,,,
应收保证金(万元),13201,10563,,,6075,7455,,10629,
内部应收款(万元),,,,,,,,,
买入返售金融资产(万元),178271,243528,,,431969,681138,,605317,
存货(万元),,,,,,,,,
待摊费用(万元),,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,
其他流动资产(万元),,,,,,,,,
流动资产合计(万元),,,,,,,,,
发放贷款及垫款(万元),,,,,,,,,
可供出售金融资产(万元),,,,,,,,106032,
持有至到期投资(万元),,,,,,,,,
长期应收款(万元),,,,,,,,,
长期股权投资(万元),8991,10892,,,10408,11855,,12545,
其他长期投资(万元),,,,,,,,,
投资性房地产(万元),,,,,,,,,
固定资产原值(万元),,34851,,,,,,,
累计折旧(万元),,26249,,,,,,,
固定资产净值(万元),,8602,,,,,,,
固定资产减值准备(万元),,,,,,,,,
固定资产(万元),8895,8602,,,8668,8719,,9860,
在建工程(万元),,,,,,,,,
工程物资(万元),,,,,,,,,
固定资产清理(万元),,,,,,,,,
生产性生物资产(万元),,,,,,,,,
公益性生物资产(万元),,,,,,,,,
油气资产(万元),,,,,,,,,
无形资产(万元),4558,3776,,,4281,3327,,2658,
开发支出(万元),,,,,,,,,
商誉(万元),,,,,,,,,
长期待摊费用(万元),,,,,,,,,
股权分置流通权(万元),,,,,,,,,
递延所得税资产(万元),3861,3310,,,4636,5278,,2148,
其他非流动资产(万元),75939,26010,,,8121,9098,,33875,
非流动资产合计(万元),,,,,,,,,
资产总计(万元),4151351,3693208,3747048,2841940,2492890,2467320,2128378,2406600,
短期借款(万元),,,,,,,,,
向中央银行借款(万元),,,,,,,,,
吸收存款及同业存放(万元),,,,,,,,,
拆入资金(万元),30005,,,,,,,,
交易性金融负债(万元),115405,89075,,,119278,132122,,170712,
衍生金融负债(万元),5846,1717,,,,,,,
应付票据(万元),,,,,,,,,
应付账款(万元),37268,8988,,,16722,6234,,,
预收账款(万元),,,,,,,,,
卖出回购金融资产款(万元),821894,752845,,,86363,,,29791,
应付手续费及佣金(万元),,,,,,,,,
应付职工薪酬(万元),25304,12473,,,9969,6006,,,
应交税费(万元),7190,7189,,,566,3276,,,
应付利息(万元),,,,,,,,,
应付股利(万元),,,,,,,,,
其他应交款(万元),,,,,,,,,
应付保证金(万元),,,,,,,,,
内部应付款(万元),,,,,,,,,
其他应付款(万元),,,,,,,,,
预提费用(万元),,,,,,,,,
预计流动负债(万元),,,,,,,,,
应付分保账款(万元),,,,,,,,,
保险合同准备金(万元),,,,,,,,,
代理买卖证券款(万元),911805,1027858,,,811097,809671,,687905,
代理承销证券款(万元),,,,,,,,,
国际票证结算(万元),,,,,,,,,
国内票证结算(万元),,,,,,,,,
递延收益(万元),,,,,,,,,
应付短期债券(万元),,,,,,,,,
一年内到期的非流动负债(万元),,,,,,,,,
其他流动负债(万元),,,,,,,,,
流动负债合计(万元),,,,,,,,,
长期借款(万元),,,,,,,,,
应付债券(万元),692042,795678,,,593308,680095,,662000,
长期应付款(万元),,,,,,,,,
专项应付款(万元),,,,,,,,,
预计非流动负债(万元),187,187,,,,,,,
长期递延收益(万元),,,,,,,,,
递延所得税负债(万元),,22,,,74,132,,1395,
其他非流动负债(万元),89471,31260,,,619,13434,,35540,
非流动负债合计(万元),,,,,,,,,
负债合计(万元),3104356,2854332,2917384,2035208,1690504,1677090,1363459,1647343,
实收资本(或股本)(万元),237812,190240,,,190240,190240,,190240,
资本公积(万元),364489,216366,,,216366,216366,,217848,
减:库存股(万元),,,,,,,,,
专项储备(万元),,,,,,,,,
盈余公积(万元),54896,54896,,,50037,50037,,,
一般风险准备(万元),143021,142999,,,68079,68079,,,
未确定的投资损失(万元),,,,,,,,,
未分配利润(万元),248125,234355,,,213487,201332,,,
拟分配现金股利(万元),,,,,,,,,
外币报表折算差额(万元),,,,,,,,,
归属于母公司股东权益合计(万元),1046995,838876,829664,806733,802386,790230,764918,759257,
少数股东权益(万元),,,,,,,,,
所有者权益(或股东权益)合计(万元),1046995,838876,829664,806733,802386,790230,764918,759257,
负债和所有者权益(或股东权益)总计(万元),4151351,3693208,3747048,2841940,2492890,2467320,2128378,2406600,		
