报告日期,2020-09-30,2020-06-30,2019-12-31,2019-06-30,2018-12-31,2017-12-31,2016-12-31,
货币资金(万元),42568,45648,56045,25938,38758,34937,24836,
结算备付金(万元),,,,,,,,
拆出资金(万元),,,,,,,,
交易性金融资产(万元),69239,14072,,,,,,
衍生金融资产(万元),,,,,,,,
应收票据(万元),4296,18262,48186,,,,,
应收账款(万元),7446,7045,5469,15303,,,,
预付款项(万元),8011,5163,5638,9163,8188,10610,3073,
应收保费(万元),,,,,,,,
应收分保账款(万元),,,,,,,,
应收分保合同准备金(万元),,,,,,,,
应收利息(万元),,,,,,,,
应收股利(万元),,,,,,,,
其他应收款(万元),,771,716,,,,,
应收出口退税(万元),,,,,,,,
应收补贴款(万元),,,,,,,,
应收保证金(万元),,,,,,,,
内部应收款(万元),,,,,,,,
买入返售金融资产(万元),,,,,,,,
存货(万元),37507,55593,47995,44072,48273,36159,45362,
待摊费用(万元),,,,,,,,
待处理流动资产损益(万元),,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,
其他流动资产(万元),1171,1833,707,1338,938,6041,158057,
流动资产合计(万元),318943,273151,319844,174316,271559,326183,453783,
发放贷款及垫款(万元),,,,,,,,
可供出售金融资产(万元),,,,,,,,
持有至到期投资(万元),,,,,205,506,,
长期应收款(万元),,,,,,,,
长期股权投资(万元),,,,,,,,
其他长期投资(万元),,,,,,,,
投资性房地产(万元),,,,,,,,
固定资产原值(万元),,1194597,1189722,,,,,
累计折旧(万元),,433077,400314,,,,,
固定资产净值(万元),,761520,789408,,,,,
固定资产减值准备(万元),,9331,9331,,,,,
固定资产(万元),,752189,780077,,,,,
在建工程(万元),,30910,24469,,,,,
工程物资(万元),,,,,,,,
固定资产清理(万元),,,,,,,,
生产性生物资产(万元),,,,,,,,
公益性生物资产(万元),,,,,,,,
油气资产(万元),,,,,,,,
无形资产(万元),21612,21996,22766,23037,16175,15581,15049,
开发支出(万元),,,,,,,,
商誉(万元),,,,,,,,
长期待摊费用(万元),1663,1743,2042,2214,2406,3363,4209,
股权分置流通权(万元),,,,,,,,
递延所得税资产(万元),4230,4284,6708,6486,6747,7578,3933,
其他非流动资产(万元),15237,15799,17218,17951,19586,23543,24704,
非流动资产合计(万元),818377,826921,853279,866339,872511,863435,901883,
资产总计(万元),1137320,1100072,1173122,1040655,1144070,1189618,1355666,
短期借款(万元),30000,30000,,,10000,70000,5000,
向中央银行借款(万元),,,,,,,,
吸收存款及同业存放(万元),,,,,,,,
拆入资金(万元),,,,,,,,
交易性金融负债(万元),,,,,,,,
衍生金融负债(万元),,,,,,,,
应付票据(万元),49463,64745,68494,29357,,,,
应付账款(万元),74845,84101,105475,85383,,,,
预收账款(万元),,,17280,14835,11406,4297,17607,
卖出回购金融资产款(万元),,,,,,,,
应付手续费及佣金(万元),,,,,,,,
应付职工薪酬(万元),21527,19687,23667,19642,21777,21945,15138,
应交税费(万元),9210,10434,15192,11245,20922,39384,30406,
应付利息(万元),,51,180,,,,,
应付股利(万元),,,,,,,,
其他应交款(万元),,,,,,,,
应付保证金(万元),,,,,,,,
内部应付款(万元),,,,,,,,
其他应付款(万元),,24997,24918,,,,,
预提费用(万元),,,,,,,,
预计流动负债(万元),,,,,,,,
应付分保账款(万元),,,,,,,,
保险合同准备金(万元),,,,,,,,
代理买卖证券款(万元),,,,,,,,
代理承销证券款(万元),,,,,,,,
国际票证结算(万元),,,,,,,,
国内票证结算(万元),,,,,,,,
递延收益(万元),,,,,,,,
应付短期债券(万元),,,,,,,,
一年内到期的非流动负债(万元),5000,5000,58000,68000,15863,11000,134157,
其他流动负债(万元),3504,1598,,,,,233135,
流动负债合计(万元),245674,252902,313206,255748,308198,405852,693925,
长期借款(万元),30000,30000,65000,75000,143726,215313,225811,
应付债券(万元),,,,,,,,
长期应付款(万元),,,,,,,,
专项应付款(万元),,,,,,,,
预计非流动负债(万元),,,,,,,,
长期递延收益(万元),2443,2477,2444,2510,2427,2294,2691,
递延所得税负债(万元),2228,2234,1266,1302,768,,,
其他非流动负债(万元),,,,,,,,
非流动负债合计(万元),34671,34711,68710,78812,146921,217607,228502,
负债合计(万元),280345,287613,381917,334560,455120,623459,922427,
实收资本(或股本)(万元),325000,325000,325000,325000,325000,325000,322840,
资本公积(万元),110705,110705,108975,108975,107614,107614,161,
减:库存股(万元),,,,,,,,
专项储备(万元),21,,,112,,28,2,
盈余公积(万元),46825,46825,45570,30198,30198,14595,11994,
一般风险准备(万元),,,,,,,,
未确定的投资损失(万元),,,,,,,,
未分配利润(万元),374424,329929,311660,241809,226138,118922,98242,
拟分配现金股利(万元),,,,,,,,
外币报表折算差额(万元),,,,,,,,
归属于母公司股东权益合计(万元),856975,812459,791206,706095,688951,566159,433239,
少数股东权益(万元),,,,,,,,
所有者权益(或股东权益)合计(万元),856975,812459,791206,706095,688951,566159,433239,
负债和所有者权益(或股东权益)总计(万元),1137320,1100072,1173122,1040655,1144070,1189618,1355666,		
