报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2009-12-31,2008-12-31,
货币资金(万元),975687,1121778,1264353,1552843,1198763,1198944,1215232,809400,867691,774655,716107,729658,579054,618869,665555,644448,735555,704101,619466,628133,690179,626083,619744,637246,740057,617378,743190,628916,799448,562395,563790,571623,494693,535973,
结算备付金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融资产(万元),40014,40014,80014,40014,133008,141788,38191,,,,,,,,,,,,5042,,,,,,,,,,,527,528,528,536,41,
衍生金融资产(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据(万元),55189,53508,55706,55592,,58143,74594,46113,45191,35062,34079,37266,31394,30753,28256,27881,23003,26454,29815,29308,29328,25057,24062,26426,24228,,21813,20906,19061,18895,20003,21862,13567,9066,
应收账款(万元),1247511,1180750,1241259,1041757,,1202191,1055233,859876,745489,786404,760804,718947,776995,771275,735644,736626,774299,733620,718250,693352,750980,748588,723269,723362,773285,,639894,588300,682922,637985,612145,559924,491509,411232,
预付款项(万元),242077,228051,217874,209085,194622,219702,186403,140281,143096,118115,87839,92947,83256,113951,101279,116337,124629,101173,63946,91677,88683,95789,111951,99287,114706,135119,120983,129120,89760,93864,98093,99208,65372,58809,
应收保费(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收利息(万元),385,486,1172,1136,,2186,2751,2617,1626,1571,1782,1083,1339,2943,2935,2771,2719,2888,2580,2405,2031,2663,2224,1693,1748,,4283,5129,7071,5907,3929,2756,491,815,
应收股利(万元),4597,6972,6725,6383,,4177,3787,4380,4283,4287,6102,6900,34266,4413,4387,3798,5203,6475,3605,3327,2834,69367,1719,3749,1451,,449,626,316,5776,530,566,8101,452,
其他应收款(万元),,136041,,134639,165989,126160,144346,111052,97479,111848,127445,92760,113166,98229,91118,81269,113713,88694,72774,58166,76159,57109,66813,46714,72922,809906,73245,55856,77523,56479,80458,57017,35233,36534,
应收出口退税(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
存货(万元),13032,13777,17642,26660,33450,25610,31463,21023,15363,15178,12940,14871,9914,16292,29369,15411,18463,15581,6720,6028,6120,10491,6207,5344,5367,4478,11864,8318,6440,6861,4106,3607,3095,3060,
待摊费用(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产(万元),4720,4591,7493,7493,271,200,242,,,6288,6288,12648,3252,3252,6474,12936,,,,,,,,,,,,,,,,,,,
其他流动资产(万元),54952,53923,68068,55914,82108,56638,254967,214790,140276,229793,247748,117528,218138,163367,9297,26048,30000,1694,,22206,,30000,8000,8000,8000,,10000,20000,,10000,,,1213,,
流动资产合计(万元),2789521,2845265,3111717,3136892,3201813,3035739,3007209,2209531,2060492,2083201,2001133,1827294,1850774,1823345,1674313,1667525,1827583,1794441,1522198,1534602,1646316,1665148,1563989,1551821,1741764,1672736,1625721,1457172,1682541,1398689,1383582,1317091,1113809,1055982,
发放贷款及垫款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
可供出售金融资产(万元),,,,,,,55326,99912,107142,140580,161243,180964,176932,296804,200635,173106,82921,68365,71559,76970,78648,78203,97494,101908,87695,143109,95341,100405,124436,148694,167330,190012,128905,32800,
持有至到期投资(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,13400,,10000,,,,
长期应收款(万元),12028,11475,14069,14201,15378,15017,15360,14952,10504,,,,12648,12648,12678,12678,25584,36335,,,,,104,104,104,,104,79,74,74,74,74,585,683,
