报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2010-12-31,2009-12-31,2008-12-31,
货币资金(万元),591537,495350,398145,331263,195553,285924,198988,282649,210714,314552,146055,90241,144093,167048,94128,107558,227101,179231,98175,83868,79938,63426,104490,66344,132740,121445,92527,221247,128671,82231,179554,91023,10866,
结算备付金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融资产(万元),,,,,,,,,,,,,,,29,29,,29,,,,,,,,,,,,65,,,,
衍生金融资产(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据(万元),32548,26428,50558,42291,,,37444,,17543,,12781,11950,6013,,16901,4356,28413,22670,5379,9877,22471,16798,23686,3224,13625,7431,7922,55785,74143,10619,4400,4789,200,
应收账款(万元),648120,664543,605413,548940,,,353125,,488952,,604002,644288,517962,,508468,454316,451663,479103,488134,466707,464198,447912,407787,461181,439697,496323,467907,400314,420986,480211,323684,196042,38349,
预付款项(万元),55313,23166,28369,23318,31501,14316,22763,12608,17847,10374,26441,20718,19789,10856,17899,13139,14855,8424,5927,14578,22147,3097,13055,37056,38686,29336,22885,15825,18217,23427,35196,16970,14149,
应收保费(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收利息(万元),,,,,,,868,,336,,1207,1126,1046,,885,804,706,885,524,476,380,53,51,62,46,43,27,,6,,,,,
应收股利(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他应收款(万元),,32113,,24806,23183,,21699,,26162,,94555,91771,49049,,39791,32427,24301,57558,53881,46548,40512,52656,29618,35006,34239,39278,29010,50643,28122,27834,7517,9962,4251,
应收出口退税(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
存货(万元),243361,226560,163261,144469,137334,152140,171222,171708,192940,224432,247865,229868,249467,307086,264758,233395,200356,185372,186955,154562,153213,135535,163267,177981,189519,167045,177791,182985,184859,190895,144582,26226,27243,
待摊费用(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产(万元),21911,9350,12077,10164,12486,15914,29501,16593,13135,8001,4462,4465,4378,37686,,,,,,,,,,,,,,,,,,,,
其他流动资产(万元),42892,35495,37443,33373,32542,40749,44506,38247,33046,23689,,,,17798,,,509,,,375,142,3859,2958,1099,1784,1776,2186,524,235,564,9,8,,
流动资产合计(万元),1668287,1514630,1328363,1166280,1003690,973592,880116,979173,1000675,1186608,1137368,1094427,991797,1065100,942860,846024,947903,933271,838974,776991,783001,723335,744913,781955,850335,862677,800255,927322,855238,815846,694942,345020,95057,
发放贷款及垫款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
可供出售金融资产(万元),,,,7000,7000,7000,44643,7000,43953,3000,3000,3000,3000,3000,3000,3000,3000,,,,,,,,,,,,,,,,,
持有至到期投资(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应收款(万元),254138,246985,230295,220366,206842,194661,184847,194954,187043,174545,109230,92390,120117,126099,,,10000,10000,10000,15000,15000,15000,10000,10000,10000,,,,,,,,,
长期股权投资(万元),42643,41180,40556,40357,81588,91129,51285,89457,47176,64264,115423,113149,111502,63732,105190,99839,93778,95159,88833,87108,85353,83509,79663,80915,70700,43744,43301,28947,29025,3981,3890,2900,2000,
其他长期投资(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资性房地产(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
固定资产原值(万元),,627583,,630254,,525187,,424123,,195600,,,,184127,,,101053,,,,95005,,,,90489,,,,52165,,22402,9112,3497,
累计折旧(万元),,124154,,111019,,98815,,87611,,58604,,,,46125,,,27747,,,,21459,,,,14947,,,,7568,,3807,1343,233,
固定资产净值(万元),,503430,,519236,,426372,,336512,,136995,,,,138002,,,73306,,,,73547,,,,75542,,,,44596,,18595,7770,3264,
固定资产减值准备(万元),,706,,706,,720,,720,,654,,,,,,,,,,,,,,,,,,,,,,,,
固定资产(万元),,502723,,518530,467354,425652,378764,335791,301490,136342,65956,67144,68727,138002,71223,71439,73306,70567,70000,74159,73547,76161,77457,76846,75542,46895,46380,52940,44596,40650,18595,7770,3264,
在建工程(万元),,124127,,103722,134918,137971,152141,176686,138986,76850,30618,25048,19236,16729,9465,7438,3416,4171,4323,4705,4137,8678,799,1229,6766,9025,8139,,3761,785,9344,4235,4378,
工程物资(万元),,,,,,,27,,198,,,,,,,,,,,,,,,,,,,,,500,,,,
固定资产清理(万元),,,,,,,,,,,1,2,2,,,,,,,,,0,14,283,283,3,3,,56,35,,,,
生产性生物资产(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
公益性生物资产(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
油气资产(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
无形资产(万元),94202,88520,82071,83650,86353,87985,69153,64684,63731,61408,41741,42197,41587,62401,41352,39885,42968,46675,48191,48474,47535,49406,48913,43233,42929,28428,26076,27718,28468,15963,5821,861,1557,
开发支出(万元),9574,5704,10467,8575,6475,5692,5313,4051,1307,1239,48572,45393,44288,5123,36431,36729,32586,20571,18428,18428,23557,10260,5496,7355,4861,4399,3740,,3652,4328,,1082,,
商誉(万元),14659,11842,11842,11842,11512,11510,12919,11470,12849,3738,3,3,3,3738,3,2423,3,1283,1283,1283,1283,1050,1050,1050,1050,973,973,,3,,,,,
长期待摊费用(万元),6263,6555,8744,8598,12805,8077,3374,5432,2860,638,2486,2421,953,370,536,382,527,127,118,216,190,37,8,12,44,,,,213,325,643,657,735,
股权分置流通权(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
递延所得税资产(万元),39335,40485,37400,36114,37339,35989,31325,30831,27977,27854,18869,22280,22501,22781,17206,18493,20389,14007,15415,15880,15989,19446,18130,17402,17378,16782,16055,13439,13347,,,,,
其他非流动资产(万元),18954,23614,25976,28150,22201,12295,11713,12826,11409,75916,,,,3788,,,,,,,,,,,,,,,,,,,,
非流动资产合计(万元),1193583,1099815,1097262,1066904,1074387,1017962,945504,933183,838979,625793,435898,413028,431917,445762,284406,279628,279973,262560,256590,265252,266590,263548,241530,238325,229553,150250,144669,123043,123121,66566,38293,17504,11935,
资产总计(万元),2861871,2614444,2425625,2233184,2078077,1991554,1825620,1912356,1839654,1812401,1573266,1507455,1423714,1510862,1227266,1125652,1227876,1195831,1095564,1042242,1049591,986884,986443,1020280,1079888,1012926,944924,1050366,978359,882413,733235,362525,106992,
短期借款(万元),158932,130628,126392,128526,143397,147314,133205,144674,184327,140391,102648,79648,69213,105636,85871,87353,82337,82530,82560,95542,97277,83728,82590,81174,81074,111659,84168,105300,108200,30900,48000,11000,6500,
向中央银行借款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
吸收存款及同业存放(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
拆入资金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
衍生金融负债(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付票据(万元),251194,209021,,152905,,,157051,,210310,,196646,177367,216934,,175345,164710,152079,118047,134676,133354,126710,117070,156685,148386,183369,110026,114906,182058,205318,167084,194462,90299,17450,
应付账款(万元),564530,511241,,407028,,,366396,,368360,,461806,452768,455832,,389605,342770,298487,282113,228704,228701,221420,174906,146503,167559,186457,179515,169072,158614,196637,214981,145801,59516,15984,
预收账款(万元),305662,241645,174293,186364,137883,104265,67306,64445,66036,82675,107111,117797,96577,122245,86904,55753,138172,164677,128043,69115,81082,87879,83616,67128,79582,111167,89649,84451,71398,80151,13746,52220,21295,
卖出回购金融资产款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付手续费及佣金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付职工薪酬(万元),7114,5435,4409,7392,5104,4285,3230,5345,4138,5087,5594,4931,4288,4935,4259,4748,5400,4798,4279,4020,4658,4377,4045,3382,4283,4065,3959,3731,4398,2993,1907,1036,305,
应交税费(万元),30900,34453,34437,28888,23584,14599,6978,17186,9992,5812,16666,16591,11579,5007,8031,7204,10605,1558,2116,1695,3692,3286,3751,5005,6575,4402,1107,1697,6195,2058,1446,7885,-3405,
应付利息(万元),1860,1127,3412,2591,,,732,,605,,3548,2793,1654,,651,546,8878,6196,4067,2532,8904,6206,4109,11373,9092,6777,4361,183,153,639,64,13,,
应付股利(万元),72,8074,72,72,,,72,,72,,,,,,,,,,,,,,,,,,,,,,,,,
其他应交款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付保证金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
内部应付款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他应付款(万元),,52767,,49942,60371,,22211,,43525,,56954,67787,69987,,40593,47595,34713,35732,23806,18534,20659,27547,20792,53959,49365,14188,10625,47850,13770,9214,8792,16863,13752,
预提费用(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
预计流动负债(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付分保账款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
保险合同准备金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
代理买卖证券款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
代理承销证券款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
国际票证结算(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
国内票证结算(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
递延收益(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付短期债券(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债(万元),57505,54716,47619,46221,39820,34019,43140,44943,44841,23446,,,,20895,,,,11164,11164,11264,11264,,,,,,,,,,,,,
其他流动负债(万元),,,,,,,,,,,60000,60000,60000,59767,,,,,,,,,,,,,,,,3987,,,,
流动负债合计(万元),1425377,1249108,1034038,1009928,923263,870559,800321,935843,932205,1164375,1010972,979682,986063,1037478,791259,710679,730670,706815,619416,564759,575665,505000,502091,537965,599797,541798,477848,583885,606069,512008,414218,238831,71882,
长期借款(万元),344069,333471,314184,310584,316313,314816,318531,276709,262425,82114,52106,38006,,,,,,,,,,11164,11164,11264,11464,,,,,,,,,
应付债券(万元),48907,48749,48594,48442,48293,48146,,,,,,,,,,,99975,99792,99612,99437,99266,99099,98936,98776,98621,98468,98319,100021,,,,,,
长期应付款(万元),,191185,,232750,183668,173700,160887,148737,95050,78440,,,,54198,,,,,,,,,,,,,,79,685,889,,,,
专项应付款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8940,,,
预计非流动负债(万元),72424,71901,67358,63967,60049,58168,45738,54692,47561,50999,61827,60327,59621,37066,57111,55678,48832,47268,44091,45140,42535,39018,41816,40543,39042,38284,36990,37240,36354,31400,23659,8122,1059,
长期递延收益(万元),90823,87073,79321,77993,71938,70733,67946,70402,70198,66238,15064,12876,12478,55878,,,36128,,,,,,,,,28660,27860,22106,11943,,,,,
递延所得税负债(万元),489,454,698,700,269,270,462,271,154,47,,,,49,835,835,835,1296,1583,1118,1530,1444,1321,1015,1498,209,213,221,56,,,,,
其他非流动负债(万元),,,,,,,,,,,,,,,47059,36128,,32977,30087,29240,28942,29695,30154,31294,31530,,,,10017,,,,,
非流动负债合计(万元),782838,732833,775802,734436,680530,665832,593564,550810,475387,277838,128997,111210,72099,147192,105004,92640,185769,181333,175374,174934,172274,180420,183391,182892,182154,165621,163382,159666,59055,32289,32599,8122,1059,
负债合计(万元),2208215,1981940,1809840,1744364,1603793,1536391,1393885,1486653,1407592,1442214,1139969,1090892,1058162,1184670,896263,803319,916439,888148,794790,739693,747939,685420,685482,720858,781951,707419,641230,743551,665124,544297,446817,246953,72940,
实收资本(或股本)(万元),137972,137972,137972,110382,110382,110382,110382,110382,110382,43186,105258,95258,54837,54837,54837,54837,54837,54837,54837,54837,54837,54837,54837,54837,54837,54837,54837,54837,54837,54837,54837,46248,38409,
资本公积(万元),358271,358271,357405,261457,261372,261372,257231,261372,258576,298185,199269,199774,199323,292518,197015,197015,197015,197421,197028,196636,196306,194818,194976,194562,193650,193893,192546,191070,189356,188161,174661,45228,4702,
