报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-06-30,2017-12-31,2016-12-31,2015-12-31,2014-12-31,
货币资金(万元),53226,75073,89489,68302,107209,108479,77653,97397,17671,
结算备付金(万元),,,,,,,,,,
拆出资金(万元),,,,,,,,,,
交易性金融资产(万元),,,,,,,,,,
衍生金融资产(万元),153,291,29,617,344,,2075,,,
应收票据(万元),166359,118073,112816,91129,,,,,79601,
应收账款(万元),108811,117661,71345,82120,,,,,49177,
预付款项(万元),6625,6797,6843,6547,3625,7175,3332,5191,2555,
应收保费(万元),,,,,,,,,,
应收分保账款(万元),,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,
应收利息(万元),,,,,,,,,,
应收股利(万元),,,,,,,,,,
其他应收款(万元),,148,,130,,,,,616,
应收出口退税(万元),,,,,,,,,,
应收补贴款(万元),,,,,,,,,,
应收保证金(万元),,,,,,,,,,
内部应收款(万元),,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,
存货(万元),48033,47194,46753,37712,37675,26759,25768,20966,30859,
待摊费用(万元),,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,
其他流动资产(万元),14441,19112,19937,18167,13182,7565,1494,1486,1679,
流动资产合计(万元),397856,384350,347325,304724,308803,294140,222892,246841,182157,
发放贷款及垫款(万元),,,,,,,,,,
可供出售金融资产(万元),,,,,,400,400,400,400,
持有至到期投资(万元),,,,,,,,,,
长期应收款(万元),,,,,,,,,,
长期股权投资(万元),,,,,,,,,,
其他长期投资(万元),,,,,,,,,,
投资性房地产(万元),2202,2238,2274,2310,2381,2453,,,,
固定资产原值(万元),,384583,,342823,319503,281162,269142,257404,,
累计折旧(万元),,130406,,124676,122023,128192,108866,87965,,
固定资产净值(万元),,254177,,218146,197479,152969,160275,169439,,
固定资产减值准备(万元),,384,,1519,1523,6048,6162,1162,,
固定资产(万元),,253793,,216628,195956,146922,154113,168278,174953,
在建工程(万元),,95197,,96109,71220,70124,9272,5760,1048,
工程物资(万元),,386,,148,,,,,42,
固定资产清理(万元),,,,,,,,,,
生产性生物资产(万元),,,,,,,,,,
公益性生物资产(万元),,,,,,,,,,
油气资产(万元),,,,,,,,,,
无形资产(万元),60025,55880,56636,53681,51353,53545,52440,39269,41109,
开发支出(万元),,,,,,,,,,
商誉(万元),,,,,,,,,,
