报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-06-30,2016-03-31,2015-12-31,2015-06-30,2014-12-31,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-03-31,2012-12-31,
货币资金(万元),1922006,1926465,2074142,1398611,1307489,1309853,1403082,1260474,1310667,1762090,1683107,1867032,2041917,2182381,2510013,4008891,1227347,728212,715556,655195,692356,737640,763615,
结算备付金(万元),532559,446777,535046,309766,261132,420009,323906,307687,319704,420329,381902,571066,343679,240680,465638,663221,480160,163395,181105,160320,,108651,90323,
拆出资金(万元),,,,,,,,,,,,,,,,,,,,,,,,
交易性金融资产(万元),2567881,2496106,2424343,1642552,1576893,1499472,1252082,1256869,1327054,1209558,1067238,806413,696099,602863,368122,435744,204474,170524,149199,110103,93058,135131,142815,
衍生金融资产(万元),,,,417,20,2,1,459,,12,,37,,754,229,,,27,,,,,,
应收票据(万元),,,,,,,,,,,,,,,,,,,,,,,,
应收账款(万元),12048,20263,11968,29545,9182,9663,9364,10516,10121,9601,13913,15494,71520,7490,7600,45462,5321,12691,,3264,,,1414,
预付款项(万元),,,,,,,,,,,,,,,,,,,,,,,,
应收保费(万元),,,,,,,,,,,,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,,,,,,,,,,,
应收利息(万元),,,,53128,49348,46607,51876,44985,35704,33980,35812,29250,22993,34647,26286,26372,15381,10926,12792,11260,,6662,7050,
应收股利(万元),,,,,,,,,,,,,,,,,,,,,,,,
其他应收款(万元),,,,,,,,,,,,,,,,,,,,,,,,
应收出口退税(万元),,,,,,,,,,,,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,,,,,,,,,,,
应收保证金(万元),310909,278805,266047,219985,235483,257700,209174,203062,207956,250098,270693,213736,164631,195782,190691,223916,237107,226742,166048,158191,,102528,132274,
内部应收款(万元),,,,,,,,,,,,,,,,,,,,,,,,
买入返售金融资产(万元),768603,1033385,761395,820739,891448,891527,753063,979349,709669,693165,839372,396533,798756,729937,495915,99982,272460,113060,88055,87425,126782,42007,28007,
存货(万元),,,,,,,,,,,,,,,,,,,,,,,,
待摊费用(万元),,,,,,,,,,,,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,,,,,,,,,,,,,
其他流动资产(万元),,,,,,,,,,,,,,,,,,,,,,,,
流动资产合计(万元),,,,,,,,,,,,,,,,,,,,,,,,
发放贷款及垫款(万元),,,,,,,,,,,,,,,,,,,,,,,,
可供出售金融资产(万元),,,,476284,390111,381819,384464,251462,226159,200838,182541,313430,289642,283178,264901,97462,67945,51930,27501,31842,31530,24531,17352,
持有至到期投资(万元),,,,,,,,,,,,,,,,,,,,,,,,
长期应收款(万元),,,,,,,,,,,,,,,,,,,,,,,,
长期股权投资(万元),10232,11271,11223,11169,11551,12792,12931,13012,13510,13332,10952,10940,10842,5560,4231,2831,3182,5862,4985,5128,5618,5618,5745,
其他长期投资(万元),,,,,,,,,,,,,,,,,,,,,,,,
投资性房地产(万元),,,,,,,,,,,,,,,,,,,,,,,,
固定资产原值(万元),,145858,,146504,,145859,,145651,,142079,,141783,,,139421,,68199,,,63297,,,62419,
累计折旧(万元),,55955,,54424,,52474,,49965,,48407,,45985,,,41041,,37066,,,35054,,,31243,
固定资产净值(万元),,89903,,92081,,93385,,95687,,93672,,95798,,,98380,,31133,,,28244,,,31176,
固定资产减值准备(万元),,,,,,,,,,,,,,,,,,,,,,,,
固定资产(万元),88793,89903,90916,92081,92620,93385,94576,95687,92831,93672,94560,95798,96174,97280,98380,,31133,,27532,28244,,29999,31176,
在建工程(万元),,,,,,,,,,,5824,4417,2,,,65545,65545,,,,,,,
工程物资(万元),,,,,,,,,,,,,,,,,,,,,,,,
固定资产清理(万元),,,,,,,,,,,,,,,,,,,,,,,,
生产性生物资产(万元),,,,,,,,,,,,,,,,,,,,,,,,
公益性生物资产(万元),,,,,,,,,,,,,,,,,,,,,,,,
油气资产(万元),,,,,,,,,,,,,,,,,,,,,,,,
无形资产(万元),7513,7801,7933,8177,6845,6610,6547,6034,5588,5443,5351,5286,4472,4866,5161,4538,4561,3303,3527,3812,,3204,3267,
开发支出(万元),,,,,,,,,,,,,,,,,,,,,,,,
商誉(万元),1985,1985,1985,1985,1985,1985,1985,1985,1985,1985,1985,1985,1985,1985,1985,1985,1985,1985,1985,1985,,1985,1985,
长期待摊费用(万元),,,,4687,3766,3904,4185,4353,7568,7968,,,2364,,,2535,,4011,,,,,,
股权分置流通权(万元),,,,,,,,,,,,,,,,,,,,,,,,
递延所得税资产(万元),27069,30105,16982,18888,20919,21597,23482,23431,27246,27066,27484,26742,24997,24646,24473,12814,12796,6591,6452,5704,,2050,1904,
其他非流动资产(万元),48880,46213,101634,33444,57699,57199,54679,47511,72186,76874,68290,224563,21147,99871,30318,22107,31137,10122,36583,31459,,165394,21242,
非流动资产合计(万元),,,,,,,,,,,,,,,,,,,,,,,,
资产总计(万元),7123465,7165839,7103786,5697497,5521735,5695548,5326692,5292037,5144893,5516942,5465799,5373725,5357050,5303171,5549002,7377893,3515123,1862256,1741945,1588621,1476100,1365399,1320580,
短期借款(万元),426,,,,,,,,,,,,,,,,,,5850,,,,,
向中央银行借款(万元),,,,,,,,,,,,,,,,,,,,,,,,
吸收存款及同业存放(万元),,,,,,,,,,,,,,,,,,,,,,,,
拆入资金(万元),45000,,110479,40000,,,,,,40000,40000,70000,,,20000,147000,194000,66000,41000,31000,71000,15000,,
交易性金融负债(万元),164615,14900,35330,36384,12420,13057,29619,37343,10719,208977,236301,29366,,,,,,,,,,,,
衍生金融负债(万元),,,,382,4,41,42,394,2,12,2,84,771,130,426,,,,,,,,,
应付票据(万元),,,,,,,,,,,,,,,,,,,,,,,,
应付账款(万元),14143,4757,2105,1558,596,1346,93,11048,1711,11155,9628,2540,66028,1281,6892,55127,314,11353,,92,,,183,
预收账款(万元),,,,,,,,,,,,,,,,,,,,,,,,
卖出回购金融资产款(万元),1159391,1366383,1360315,1107275,1040631,987786,874492,1052341,1108199,1003683,896171,748674,951252,787980,538538,864297,629906,63053,61676,,24718,,1910,
应付手续费及佣金(万元),,,,,,,,,,,,,,,,,,,,,,,,
应付职工薪酬(万元),79441,68053,60401,71641,74839,75468,75571,103284,108140,109026,102623,129459,133256,112981,130483,99457,60678,39059,30154,32677,,20807,21528,
应交税费(万元),20505,23270,11313,9325,3303,9157,10121,20042,20421,12830,20097,20078,19015,25017,35729,30670,24449,6518,13683,11775,,7211,3603,
应付利息(万元),,,,28201,39388,33213,19340,23375,29037,27976,20769,26126,15850,27806,34794,24392,8187,2196,1529,1442,,42,6,
应付股利(万元),,,,,,33333,,,,,,,,,,,,,,,,,,
其他应交款(万元),,,,,,,,,,,,,,,,,,,,,,,,
应付保证金(万元),,,,,,,,,,,,,,,,,,,,,,,,
内部应付款(万元),,,,,,,,,,,,,,,,,,,,,,,,
其他应付款(万元),,,,,,,,,,,,,,,,,,,,,,,,
预提费用(万元),,,,,,,,,,,,,,,,,,,,,,,,
预计流动负债(万元),,,,,,,,,,,,,,,,,,,,,,,,
应付分保账款(万元),,,,,,,,,,,,,,,,,,,,,,,,
保险合同准备金(万元),,,,,,,,,,,,,,,,,,,,,,,,
代理买卖证券款(万元),1353673,1446055,1655209,864891,857474,991865,1052503,936824,1051447,1148624,1291561,1481731,1772940,1926352,2035065,3645120,1123199,541966,485225,478179,429889,504563,489502,
代理承销证券款(万元),,,,,,,,,,,75300,,,,235000,100,,17118,,,,,,
国际票证结算(万元),,,,,,,,,,,,,,,,,,,,,,,,
国内票证结算(万元),,,,,,,,,,,,,,,,,,,,,,,,
递延收益(万元),,,,,,,,,,,,,,,,,,,,,,,,
应付短期债券(万元),,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债(万元),,,,,,,,,,,,,,,,,,,,,,,,
其他流动负债(万元),,,,,,,,,,,,,,,,,,,,,,,,
流动负债合计(万元),,,,,,,,,,,,,,,,,,,,,,,,
长期借款(万元),,,,,,,,,,,,,,,,,,,,,,,,
应付债券(万元),1702618,1729598,1620568,1295000,935000,935000,775010,1015000,720000,720000,820000,970000,1030000,800000,990000,1109000,150000,100000,100000,,,,,
长期应付款(万元),,,,,,,,,,,,,,,,,,,,,,,,
专项应付款(万元),,,,,,,,,,,,,,,,,,,,,,,,
预计非流动负债(万元),,,,,,,,,,,,,,,,,,,,,,,,
长期递延收益(万元),,,,,,,,,,,,,,,,,,,,,,,,
递延所得税负债(万元),9138,6084,7519,5131,5418,5568,8811,9582,9316,8834,7966,6457,5882,5739,5839,4275,3260,1610,535,169,,705,515,
其他非流动负债(万元),709930,693604,647102,594556,673953,624174,603913,571677,611738,640824,687717,599825,482905,530642,509715,643075,577219,415768,387614,357902,,272914,268598,
非流动负债合计(万元),,,,,,,,,,,,,,,,,,,,,,,,
负债合计(万元),5655628,5720786,5655979,4331080,4161808,4348890,3958096,3940648,3830731,4232037,4483135,4417175,4477900,4437927,4704090,6622514,2859568,1264640,1155571,1013236,912899,821242,785845,
实收资本(或股本)(万元),333335,333333,333333,333333,333333,333333,333333,333333,333333,333333,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,,300000,300000,
资本公积(万元),398092,398078,398078,398078,398078,398078,398078,398078,398078,398078,155731,155731,165190,155731,155731,162773,155731,155842,155912,156006,,155777,155680,
减:库存股(万元),,,,,,,,,,,,,,,,,,,,,,,,
专项储备(万元),,,,,,,,,,,,,,,,,,,,,,,,
盈余公积(万元),45544,45544,45544,45544,39897,39897,39897,39897,32358,32358,32358,32358,23755,23755,23755,8525,8525,3138,3138,3138,,195,195,
一般风险准备(万元),161366,161366,161366,161366,148685,148685,148685,148685,130111,130111,130111,130111,55547,106994,106994,32400,71054,27013,27013,54353,,48466,48466,
