报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2014-06-30,2013-12-31,2013-06-30,2012-12-31,2012-06-30,
货币资金(万元),7031189,8367185,7687997,5141363,5394694,5885481,6060058,5974170,6388824,6356936,7061214,6906403,9108199,10258160,19043851,5181160,3924812,3308370,4852704,3660701,3787426,
结算备付金(万元),1457815,1301073,1386819,1268654,1274792,1424154,1406871,1253849,1242412,1438814,1594325,2536343,2024115,2325955,3424470,3126037,574004,437392,387059,454148,482717,
拆出资金(万元),,,133291,,,,,,,,,,30000,,,,,,,,,
交易性金融资产(万元),7186305,7138785,7387483,6033828,5282216,4671736,4977111,2901030,2743615,2755773,2710983,2936332,3925826,3892382,1592698,732210,514818,596983,499872,545306,537873,
衍生金融资产(万元),8014,7247,2188,7629,6153,13823,,2294,1604,1431,25,848,15623,2354,572,,401,228,284,,,
应收票据(万元),,,,,,,,,,,,,,,,,,,,,,
应收账款(万元),783415,938687,122814,64311,116790,152115,95791,100284,86513,93550,87614,77465,71238,76403,95973,45826,36783,30092,27842,,,
预付款项(万元),,,,,,,,,,,,,,,,,,,32047,,,
应收保费(万元),,,,,,,,,,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,,,,,,,,,
应收利息(万元),,,,,339932,335603,369267,400308,443780,404963,381864,355368,284875,216717,163432,88999,76616,63899,,30036,24703,
应收股利(万元),,,,,,,,,,,,,,,,,,,,,,
其他应收款(万元),,,,,,,,,,,,,,,,,,,88530,,,
应收出口退税(万元),,,,,,,,,,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,,,,,,,,,
应收保证金(万元),725341,690417,759452,527583,735012,634640,624354,583655,608084,560015,747495,707006,542778,438896,615410,605002,382074,284074,283381,261432,252452,
内部应收款(万元),,,,,,,,,,,,,,,,,,,,,,
买入返售金融资产(万元),3481617,3313951,3898247,3996707,4239971,4382897,4286293,3825613,2832900,2173931,1672000,1300620,474116,2179069,576314,740482,81803,128384,166589,80952,32367,
存货(万元),,,,,,,,,,,,,,,,,,,,,,
待摊费用(万元),,,,,,,,,,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,,,,,,,,,,,
其他流动资产(万元),,,,,,,,,,,,,,,,,,,,,,
流动资产合计(万元),,,,,,,,,,,,,,,,,,,,,,
发放贷款及垫款(万元),,,,,,,,,,,,,,,,,,,,,,
可供出售金融资产(万元),,,,,,,,3406084,3481359,3438049,3361018,3652414,3416117,3212519,1456894,1158353,999438,979013,825949,620853,370931,
持有至到期投资(万元),123969,145829,467534,506178,550534,520811,2051680,354517,232030,,,,,,,,,,,,,
长期应收款(万元),,,,,,,,,,,,,,,,,,,,,,
长期股权投资(万元),131473,106966,86786,87682,79447,80294,78647,,2201,2200,,,,,1961,2001,2056,1986,,44245,39245,
其他长期投资(万元),,,,,,,,,,,,,,,,,,,,,,
投资性房地产(万元),808,813,818,823,,,,,,,,,,,,,,,,,,
固定资产原值(万元),,142897,,123497,,122362,,120650,,120518,,120324,122315,120431,,114215,114249,113905,,114450,115076,
累计折旧(万元),,117730,,99344,,97745,,94542,,93680,,90403,90419,86403,,87630,88064,85384,,78782,76074,
固定资产净值(万元),,25167,,24153,,24616,,26108,,26838,,29921,31896,34028,,26585,26185,28522,,35667,39002,
固定资产减值准备(万元),,,,,,,,,,,,,,,,,,,,,,
固定资产(万元),27053,25167,22564,24153,25037,24616,25018,26108,26962,26838,28554,29921,31896,34028,28804,26585,26185,28522,43625,35667,39002,
在建工程(万元),,,,,,,,,,,,,,,,,,,,,,
工程物资(万元),,,,,,,,,,,,,,,,,,,,,,
固定资产清理(万元),,,,,,,,,,,,,,,,,,,,,,
生产性生物资产(万元),,,,,,,,,,,,,,,,,,,,,,
公益性生物资产(万元),,,,,,,,,,,,,,,,,,,,,,
油气资产(万元),,,,,,,,,,,,,,,,,,,,,,
无形资产(万元),49170,51368,39039,39167,37037,37453,37983,38580,35471,35276,35702,35424,35622,36336,35139,35516,35305,34925,35146,36281,34662,
开发支出(万元),,,,,,,,,,,,,,,,,,,,,,
商誉(万元),44104,43565,22328,22328,22328,22328,22328,22328,22328,22328,22328,22328,22328,22328,22328,22328,22328,22328,22328,22328,22328,
长期待摊费用(万元),,,,,,,,,,,,,,,,,,,,,,
股权分置流通权(万元),,,,,,,,,,,,,,,,,,,,,,
递延所得税资产(万元),10188,16951,11001,47745,16903,28137,14766,16805,6864,7624,8903,23963,46915,13102,11338,34765,22906,30820,7494,17438,19731,
其他非流动资产(万元),337976,345503,391144,197316,198561,94808,90795,106083,127500,129623,112093,111676,95865,31579,29643,34041,43510,33144,,76305,64220,
非流动资产合计(万元),,,,,,,,,,,,,,,,,,,,,,
资产总计(万元),30413383,31064607,30498028,25136329,25625367,26317262,27108430,25481497,24398523,22944593,23491816,24588052,25628967,30065555,40683965,18002571,9032765,7828437,8471574,6429558,6148681,
短期借款(万元),550808,526301,284388,301078,278382,320252,234877,255033,184130,180870,181992,178542,175513,119051,156099,81212,106045,30269,,1886,,
向中央银行借款(万元),,,,,,,,,,,,,,,,,,,,,,
吸收存款及同业存放(万元),,,,,,,,,,,,,,,,,,,,,,
拆入资金(万元),290256,30242,230771,200189,210000,70000,165000,50000,,,,,20000,,100000,100000,36000,29000,,30000,,
