报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),112048,167038,128045,134131,106372,136332,76164,183916,83990,198062,108374,146496,225013,173313,225189,189751,113178,180764,141043,138837,139523,145007,
结算备付金(万元),,,,,,,,,,,,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,,,,,,,,,,,
交易性金融资产(万元),29914,9957,38413,5,6,7,9,7,,,,,,,,,,,,,,,
衍生金融资产(万元),,,,,,,,,,,,,,,,,,,,,,,
应收票据(万元),137,408,537,2672,2287,2751,2511,1711,1566,1423,1300,835,1647,1635,1380,1422,6,144,873,2251,3674,108,
应收账款(万元),190218,90145,110454,97669,124379,74221,141408,92864,116450,57549,90853,82748,102163,59157,117531,73641,115252,69663,66258,67770,45535,44111,
预付款项(万元),8893,7719,8058,8288,20855,9219,7043,5660,11014,11407,7890,11286,90117,92810,8448,7256,12392,10729,8921,12322,7189,4009,
应收保费(万元),,,,,,,,,,,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,,,,,,,,,,
应收利息(万元),,,,,,,,50,,419,,229,356,429,0,83,82,,49,41,28,9,
应收股利(万元),,,,,,3,3,3,3,3,3,3,,611,,,,,,,,,
其他应收款(万元),,8319,,6964,10637,11709,9484,5731,8612,8111,9504,6417,9273,7161,38401,6950,7667,7650,7318,8300,8573,7688,
应收出口退税(万元),,,,,,,,,,,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,,,,,,,,,,,
存货(万元),133223,105515,113269,104363,125436,91665,99873,94743,107145,80899,85926,93801,88990,76062,72863,73998,81302,65912,68197,68770,58998,53800,
待摊费用(万元),,,,,,,,,,,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,,,,,,,,,,,,
其他流动资产(万元),18840,9106,13683,16321,76412,65452,75836,41984,186694,108639,144706,112368,95143,138332,98831,93592,147417,104365,94188,47501,14278,31501,
流动资产合计(万元),502131,398207,419016,370413,466383,391360,412332,426669,515475,466512,448556,454182,612701,549509,562642,446692,477298,439226,386848,345791,277799,286233,
发放贷款及垫款(万元),,,,,,,,,,,,,,,,,,,,,,,
可供出售金融资产(万元),,,,75221,54212,54212,54212,12556,12514,12514,12484,12484,12484,12469,12469,12469,12434,8129,8129,8129,406,,
持有至到期投资(万元),,,,,,,,,,,,,,,,,,,,,,,
长期应收款(万元),,,,,,,,,,,,,,,,,,,,,,,
长期股权投资(万元),6075,5940,5889,5857,6032,5845,5827,5859,1013,1017,1683,1623,1311,1333,1145,1161,1213,1230,1094,1315,1195,1777,
其他长期投资(万元),,,,,,,,,,,,,,,,,,,,,,,
投资性房地产(万元),48552,48923,49295,49331,49623,49995,50377,50736,41205,41229,40228,40513,41090,41387,41683,41912,42198,42507,43102,7710,5232,5455,
固定资产原值(万元),,125644,,121478,,118606,,117278,,111564,,105644,,104771,,108992,107525,107035,106465,,,,
累计折旧(万元),,59236,,56946,,55436,,53170,,51099,,49125,,47327,,45534,44102,42918,40713,,,,
固定资产净值(万元),,66408,,64532,,63170,,64108,,60465,,56520,,57444,,63457,63423,64116,65752,,,,
固定资产减值准备(万元),,17,,17,,17,,17,,17,,17,,17,,17,17,17,17,,,,
固定资产(万元),,66391,,64515,62913,63153,63273,64091,59652,60449,58089,56503,58748,57427,62379,63441,63406,64099,65735,59725,55409,40142,
在建工程(万元),,48256,,38759,36067,30935,27843,22672,28682,23676,22357,19857,21876,13901,13454,11494,10373,9471,6766,30913,26190,30254,
工程物资(万元),,,,,,,,,,,,,,,,,,,,,,,
固定资产清理(万元),,,,,,,,,,,0,,0,0,-0,,,,,,,,
生产性生物资产(万元),,,,,,,,,,,,,,,,,,,,,,,
公益性生物资产(万元),,,,,,,,,,,,,,,,,,,,,,,
油气资产(万元),,,,,,,,,,,,,,,,,,,,,,,
无形资产(万元),310013,312100,314208,314810,315295,315640,317640,319537,265179,267066,268598,270014,112724,114762,110832,111645,108188,109043,106567,110462,42112,9181,
开发支出(万元),193,120,149,,867,109,,,,,,,,,,,,,,,,,
商誉(万元),1481,1481,1481,1481,1481,1481,1481,1481,1481,1481,434,434,434,434,434,434,434,434,434,456,186,21,
长期待摊费用(万元),10755,9950,10106,10048,4273,4331,4451,4355,4021,3621,3711,3994,3469,3534,3281,3260,3038,3146,2715,2024,1112,1134,
股权分置流通权(万元),,,,,,,,,,,,,,,,,,,,,,,
递延所得税资产(万元),146,91,160,112,139,145,214,124,108,47,17,17,19,19,19,19,61,9,22,47,33,23,
其他非流动资产(万元),1389,1600,1457,1349,1453,2161,2283,2053,698,792,1076,1279,649,649,649,649,773,773,773,,40143,,
非流动资产合计(万元),589026,586629,576817,561484,532356,528009,527602,483464,414553,411892,408677,406718,252803,245915,246345,246484,242119,238841,235337,220782,172018,87986,
资产总计(万元),1091157,984836,995833,931897,998739,919369,939934,910133,930028,878404,857232,860900,865504,795424,808987,693175,719417,678067,622185,566572,449818,374219,
短期借款(万元),,,300,300,35600,35600,35900,36100,1900,1900,1900,1700,2600,2800,2300,2100,2630,2720,2720,2000,11900,22230,
向中央银行借款(万元),,,,,,,,,,,,,,,,,,,,,,,
吸收存款及同业存放(万元),,,,,,,,,,,,,,,,,,,,,,,
拆入资金(万元),,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债(万元),,,,,,,,,,,,,,,,,,,,,,,
衍生金融负债(万元),,,,,,,,,,,,,,,,,,,,,,,
应付票据(万元),6666,6945,,18324,,13025,16321,25085,23225,20135,33828,34571,31727,28479,31191,33178,30439,19642,23286,32885,22167,7616,
应付账款(万元),290327,204936,,194160,,191643,215000,192731,221852,162533,169440,175922,199477,150977,165142,152480,182004,141558,142625,138204,111628,102479,
预收账款(万元),44519,38746,40727,38171,48845,34294,31447,31380,33731,67276,30013,30960,24460,21183,21128,21452,34315,70563,34417,21861,12128,8843,
卖出回购金融资产款(万元),,,,,,,,,,,,,,,,,,,,,,,
应付手续费及佣金(万元),,,,,,,,,,,,,,,,,,,,,,,
应付职工薪酬(万元),23402,20245,19094,21330,24133,21779,21150,25508,24027,21186,20854,23341,19726,16531,17572,19316,15609,12579,13500,10793,8754,7980,
应交税费(万元),2100,2677,2566,7386,2130,2354,3690,6400,7090,3828,2934,4958,-664,2001,1477,2510,3478,2137,4005,6634,6563,6348,
应付利息(万元),,,0,0,1,1,17,18,2,2,2,3,4,4,3,4,4,4,72,73,72,27,
应付股利(万元),5066,24769,6160,6160,6514,24861,6157,6157,19705,19880,19530,23625,19534,30688,23581,23581,23581,23795,25581,23968,19504,19471,
其他应交款(万元),,,,,,,,,,,,,,,,,,,,,,,
应付保证金(万元),,,,,,,,,,,,,,,,,,,,,,,
内部应付款(万元),,,,,,,,,,,,,,,,,,,,,,,
其他应付款(万元),,37984,,37940,,35594,35389,36201,64334,63401,65226,65346,71850,66862,68362,71900,71741,70265,72946,77094,61256,53717,
预提费用(万元),,,,,,,,,,,,,,,,,,,,,,,
预计流动负债(万元),,,,,,,,,,,,,,,,,,,,,,,
应付分保账款(万元),,,,,,,,,,,,,,,,,,,,,,,
保险合同准备金(万元),,,,,,,,,,,,,,,,,,,,,,,
代理买卖证券款(万元),,,,,,,,,,,,,,,,,,,,,,,
代理承销证券款(万元),,,,,,,,,,,,,,,,,,,,,,,
国际票证结算(万元),,,,,,,,,,,,,,,,,,,,,,,
国内票证结算(万元),,,,,,,,,,,,,,,,,,,,,,,
递延收益(万元),,,,,,,,,,,,,,,,,,,,,,,
应付短期债券(万元),,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债(万元),,,,,,,,,,,,,,,,,,,160,,300,314,
其他流动负债(万元),13287,3058,8386,1682,13197,2453,8548,1203,1,0,,,,,,,,,,,,,
流动负债合计(万元),423476,339360,353054,325455,416786,361605,373620,360784,395868,360142,343728,360426,368714,319526,330757,326521,363800,343263,319313,313512,254272,229025,
长期借款(万元),20033,20033,10033,33,33,33,33,33,88,143,198,253,298,343,388,433,513,513,400,,,,
应付债券(万元),,,,,,,,,,,,,,,,,,,,,,,
长期应付款(万元),,,,,,,,,,,,,,,,,,,,,342,584,
专项应付款(万元),,,,,,,,,,,,,5,,,,,,,,,,
预计非流动负债(万元),,,,,,,,,,,,,,,,,,,,,,,
长期递延收益(万元),44338,43875,43651,44738,48194,46945,45453,45308,47446,48183,48586,48871,,,,,,,,,,,
递延所得税负债(万元),9436,9439,8922,8946,10440,10441,10444,10448,10325,10328,10184,10184,10666,10666,10666,10666,9794,9794,8957,6754,3473,321,
其他非流动负债(万元),,,,,,,,,,,,,48960,47501,46708,47081,41855,40902,32616,23502,13974,6521,
非流动负债合计(万元),73807,73346,62607,53717,58668,57419,55930,55790,57859,58654,58969,59308,59929,58510,57762,58180,52163,51209,41974,30256,17788,7426,
负债合计(万元),497283,412706,415661,379172,475453,419023,429550,416574,453727,418796,402696,419734,428643,378036,388519,384701,415963,394472,361287,343768,272060,236451,
实收资本(或股本)(万元),89588,89588,89588,89588,89588,89588,89588,89588,81910,81910,81910,81910,81910,81910,81910,65000,65000,65000,65000,65000,65000,65000,
资本公积(万元),178232,178232,178232,178232,178243,178243,178243,178243,185945,108321,108321,108321,108320,108321,108386,26401,26342,26342,25637,26213,24485,19618,
减:库存股(万元),55,55,,,,,,,,,,,,,,,,,,,,,
专项储备(万元),,,,,,,,,,,,,,,,,,,,,,,
盈余公积(万元),16345,16345,16345,16345,13156,13156,13156,13156,10566,10566,10566,10566,8211,8211,8211,8211,5630,5630,5630,4235,3326,2086,
一般风险准备(万元),,,,,,,,,,,,,,,,,,,,,,,
未确定的投资损失(万元),,,,,,,,,,,,,,,,,,,,,,,
