报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2017-12-31,2017-06-30,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2011-06-30,2010-12-31,2010-06-30,2009-12-31,2009-06-30,2008-12-31,2008-06-30,2007-12-31,
货币资金(万元),848970,1048532,962652,567945,631655,690911,623435,785565,883013,831928,1102264,1170096,497891,442640,566313,629878,762519,867464,994788,1084368,797066,652663,472141,685194,
结算备付金(万元),236604,188229,233970,216211,173554,187859,190249,180524,230472,167415,216731,512591,456783,89519,79933,74955,51891,104981,81864,215624,59468,48698,225955,434884,
拆出资金(万元),,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融资产(万元),195009,156895,231174,142712,108791,233553,195769,206878,220361,449607,418659,402633,310473,111727,92659,73056,72655,22867,27029,26660,32963,17376,2062,49290,
衍生金融资产(万元),,14,,,,9,,1,,,98,,,,,,,,,,,,,,
应收票据(万元),,,,,,,,,,,,,,,,,,,,,,,,,
应收账款(万元),1014,1140,998,755,1189,2206,548,3227,677,1583,998,283,433,170,,,,,,,,,,,
预付款项(万元),,,,,,,,,,,,,,,,,,,,,,,,,
应收保费(万元),,,,,,,,,,,,,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,,,,,,,,,,,,
应收利息(万元),,,,20689,25712,24859,17361,16977,17577,32821,31402,28009,14611,5961,4894,370,,520,,545,,204,,,
应收股利(万元),,,,,,,,,,,,,,,,,,,,,,,,,
其他应收款(万元),,,,,,,,,,,,,,,,,,,,,,,,,
应收出口退税(万元),,,,,,,,,,,,,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,,,,,,,,,,,,
应收保证金(万元),28198,33236,34739,35252,27853,30026,32632,32004,39066,51382,39335,23116,87297,46105,47288,32099,424,22978,389,12725,317,4344,282,61741,
内部应收款(万元),,,,,,,,,,,,,,,,,,,,,,,,,
买入返售金融资产(万元),282913,330567,304574,302404,257236,329695,348933,225681,373351,281114,379518,576218,253184,95776,117937,18780,8550,,2000,,,,,7916,
存货(万元),,,,,,,,,,,,,,,,,,,,,,,,,
待摊费用(万元),,,,,,,,,,,,,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,,,,,,,,,,,,,,
其他流动资产(万元),,,,,,,,,,,,,,,,,,,,,,,,,
流动资产合计(万元),,,,,,,,,,,,,,,,,,,,,,,,,
发放贷款及垫款(万元),,,,,,,,,,,,,,,,,,,,,,,,,
