报告日期,2019-09-30,2019-06-30,2018-12-31,2017-12-31,2016-12-31,
货币资金(万元),762073,740171,657707,737234,967184,
结算备付金(万元),,,,,,
拆出资金(万元),,,,,,
交易性金融资产(万元),53754,65541,16714,8182,69706,
衍生金融资产(万元),,,,,,
应收票据(万元),,1053,,,,
应收账款(万元),515041,3517,,575,,
预付款项(万元),,20538,20524,5309,,
应收保费(万元),,,,,,
应收分保账款(万元),,,,,,
应收分保合同准备金(万元),,,,,,
应收利息(万元),,,,2264,1124,
应收股利(万元),,,,2,,
其他应收款(万元),,23854,39967,55731,10450,
应收出口退税(万元),,,,,,
应收补贴款(万元),,,,,,
应收保证金(万元),42,400976,317121,365278,520004,
内部应收款(万元),,,,,,
买入返售金融资产(万元),,,350,0,1540,
存货(万元),25468,37951,16790,16227,1447,
待摊费用(万元),,,,,,
待处理流动资产损益(万元),,,,,,
一年内到期的非流动资产(万元),,,,,,
其他流动资产(万元),,,,,,
流动资产合计(万元),,,,,,
发放贷款及垫款(万元),,2779,,1979,321,
可供出售金融资产(万元),,,13911,40757,6890,
持有至到期投资(万元),,,,,,
长期应收款(万元),,,,,,
长期股权投资(万元),1403,7,3321,2901,2610,
其他长期投资(万元),,,,,,
投资性房地产(万元),49,51,55,62,195,
固定资产原值(万元),,8517,,,,
累计折旧(万元),,5928,,,,
固定资产净值(万元),,2588,,,,
固定资产减值准备(万元),,,,,,
固定资产(万元),2565,2588,2297,2436,2364,
在建工程(万元),7885,7011,6239,4906,3387,
工程物资(万元),,,,,,
固定资产清理(万元),,,,,,
生产性生物资产(万元),,,,,,
公益性生物资产(万元),,,,,,
油气资产(万元),,,,,,
无形资产(万元),20474,18127,18303,19008,19341,
开发支出(万元),,,,,,
商誉(万元),537,522,521,496,1859,
长期待摊费用(万元),,,,,,
股权分置流通权(万元),,,,,,
递延所得税资产(万元),926,1280,266,1819,843,
其他非流动资产(万元),3857,6150,4442,4595,2943,
非流动资产合计(万元),,,,,,
资产总计(万元),1397681,1341695,1131410,1277146,1622291,
短期借款(万元),65627,76825,36150,11000,13000,
向中央银行借款(万元),,,,,,
吸收存款及同业存放(万元),,,,,,
拆入资金(万元),,,,,,
交易性金融负债(万元),5612,14426,24140,20586,24410,
衍生金融负债(万元),,,,,,
应付票据(万元),,436,,,,
应付账款(万元),965102,3189,,1715,2479,
预收账款(万元),,3345,845,5786,,
卖出回购金融资产款(万元),40,,270,100,,
应付手续费及佣金(万元),,,,,,
应付职工薪酬(万元),2474,2239,2685,7473,6020,
应交税费(万元),397,809,3837,1117,1800,
应付利息(万元),,,,910,911,
应付股利(万元),,,,,,
其他应交款(万元),,,,,,
应付保证金(万元),,854328,741792,884978,1277043,
内部应付款(万元),,,,,,
其他应付款(万元),,41595,30012,60491,53240,
预提费用(万元),,,,,,
预计流动负债(万元),,,,,,
应付分保账款(万元),,,,,,
保险合同准备金(万元),,,,,,
代理买卖证券款(万元),,,,,,
代理承销证券款(万元),,,,,,
国际票证结算(万元),,,,,,
国内票证结算(万元),,,,,,
递延收益(万元),,,,,,
应付短期债券(万元),,,,,,
一年内到期的非流动负债(万元),,,,,,
其他流动负债(万元),,,,,,
流动负债合计(万元),,,,,,
长期借款(万元),,,,,,
应付债券(万元),45000,45000,45000,44978,44945,
长期应付款(万元),,,,,,
专项应付款(万元),,,,,,
预计非流动负债(万元),1229,1200,659,,,
长期递延收益(万元),,,,,,
递延所得税负债(万元),771,1065,83,3508,69,
其他非流动负债(万元),,,,,,
非流动负债合计(万元),,,,,,
负债合计(万元),1152703,1129489,924892,1081614,1443030,
实收资本(或股本)(万元),58000,51000,51000,51000,51000,
资本公积(万元),86146,64914,64914,64913,64913,
减:库存股(万元),,,,,,
专项储备(万元),,,,,,
盈余公积(万元),6658,6658,6667,5943,4574,
一般风险准备(万元),8726,8654,8505,7688,6315,
未确定的投资损失(万元),,,,,,
未分配利润(万元),79770,76999,71917,64811,47973,
拟分配现金股利(万元),,,,,,
外币报表折算差额(万元),,,,,,
归属于母公司股东权益合计(万元),243701,210913,205207,194215,177871,
少数股东权益(万元),1278,1293,1310,1317,1391,
所有者权益(或股东权益)合计(万元),244979,212206,206517,195532,179262,
负债和所有者权益(或股东权益)总计(万元),1397681,1341695,1131410,1277146,1622291,		
