报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),19569,25133,25121,42864,36563,22824,13109,31918,25147,24880,18802,67129,7449,9916,9830,6960,5594,6957,
结算备付金(万元),,,,,,,,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,,,,,,,
交易性金融资产(万元),,,,,,,9054,9098,,,,,,,,,,,
衍生金融资产(万元),,,,,,,,,,,,,,,,,,,
应收票据(万元),2959,4393,5691,3986,3926,3398,6506,5735,2140,3637,3625,1769,1719,1767,1629,425,1853,1612,
应收账款(万元),142597,152960,126339,126311,83964,79222,71490,67370,53083,45234,45393,61798,43351,42189,32226,21974,17545,13564,
预付款项(万元),6559,3536,12353,4228,10335,6651,10243,3332,6243,2759,5188,2415,3114,1971,705,1323,1487,2663,
应收保费(万元),,,,,,,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,,,,,,
应收利息(万元),,,,,,,,,,,,,,,,,,,
应收股利(万元),,,,,,,,,,,,,,,,,,,
其他应收款(万元),,4139,,2811,3361,2988,2471,2630,2479,2793,3675,3172,2911,2270,1950,2662,1747,1182,
应收出口退税(万元),,,,,,,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,,,,,,,
存货(万元),127718,115993,119464,126848,141896,134349,111397,123713,101800,95068,70806,75235,71540,69261,70076,54092,30873,23197,
待摊费用(万元),,,,,,,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,,,3,,,3,,
其他流动资产(万元),3708,3455,771,3089,2267,3720,1110,2212,11230,12161,24650,977,1313,653,1300,1231,914,308,
流动资产合计(万元),307664,309609,293743,310136,282313,253152,225380,246007,202122,186531,172139,212496,131396,128031,117717,88667,60016,49483,
发放贷款及垫款(万元),,,,,,,,,,,,,,,,,,,
可供出售金融资产(万元),,,,,,,,,,,,,,,,,,,
持有至到期投资(万元),,,,,,,,,,,,,,,,,,,
长期应收款(万元),,,,,,,,,,,,,,,,,,,
长期股权投资(万元),1428,1447,1214,838,840,858,1458,1480,1475,1515,1559,1568,1520,466,390,370,308,281,
其他长期投资(万元),,,,,,,,,,,,,,,,,,,
投资性房地产(万元),,,,,,,,,,,,,,,,,,,
固定资产原值(万元),,35413,,36105,,29718,,26291,,25707,,22168,9245,8720,,,,,
累计折旧(万元),,12796,,10891,,9038,,7844,,6660,,5626,4883,4427,,,,,
固定资产净值(万元),,22617,,25214,,20681,,18446,,19047,,16541,4362,4293,,,,,
固定资产减值准备(万元),,,,,,,,,,,,,,,,,,,
固定资产(万元),,22617,,25214,22819,20681,18058,18446,18657,19047,17471,16541,4362,4293,4474,4372,4466,3964,
在建工程(万元),,14698,,8881,4207,2608,4268,445,191,191,201,1392,12622,10749,5681,207,12,,
工程物资(万元),,,,,,,,,,,,,,30,,,,,
固定资产清理(万元),,,,,,,,,,,,,,,,,,,
生产性生物资产(万元),,,,,,,,,,,,,,,,,,,
公益性生物资产(万元),,,,,,,,,,,,,,,,,,,
油气资产(万元),,,,,,,,,,,,,,,,,,,
无形资产(万元),10577,10745,10881,10629,9872,9949,10005,10088,10134,9839,9910,9972,10107,8036,8368,7971,70,50,
开发支出(万元),,,,,,,,,,,,,,,,,,,
商誉(万元),,,,,,,,,,,,,,,,,,,
长期待摊费用(万元),50,56,62,69,71,33,18,21,23,26,29,31,36,,17,,,47,
股权分置流通权(万元),,,,,,,,,,,,,,,,,,,
递延所得税资产(万元),3046,3159,2476,2457,1575,1633,1495,1529,1245,1212,1312,1313,929,856,855,569,385,309,
其他非流动资产(万元),2376,1941,3308,2206,1516,886,126,385,258,262,2027,2170,2858,3059,135,70,1700,,
非流动资产合计(万元),58560,54662,51178,50293,40901,36647,35429,32393,31983,32092,32509,32987,32435,27489,19919,13559,6941,4650,
资产总计(万元),366224,364272,344921,360429,323213,289799,260809,278400,234105,218623,204647,245484,163831,155521,137636,102226,66958,54133,
短期借款(万元),50920,59000,67811,73450,66367,64250,46478,48228,30873,19250,10166,25740,23922,22994,23444,18324,6000,3000,
向中央银行借款(万元),,,,,,,,,,,,,,,,,,,
吸收存款及同业存放(万元),,,,,,,,,,,,,,,,,,,
拆入资金(万元),,,,,,,,,,,,,,,,,,,
交易性金融负债(万元),,,,,,,,,,,,,,,,,,,
衍生金融负债(万元),,,,,,,,,,,,,,,,,,,
应付票据(万元),23851,21277,,7939,,595,1341,1837,130,124,1082,3549,1912,,,,,1956,
应付账款(万元),63806,66003,,66043,,42600,31783,47706,24694,26105,15555,29593,20452,19817,16752,10857,6167,10008,
预收账款(万元),11024,5653,24686,17783,19555,4337,5457,6180,2212,2560,2171,2302,3127,4040,3507,9030,13393,14788,
卖出回购金融资产款(万元),,,,,,,,,,,,,,,,,,,
应付手续费及佣金(万元),,,,,,,,,,,,,,,,,,,
应付职工薪酬(万元),2212,2199,1594,2787,2088,1757,1379,2380,1222,1552,978,2041,1329,1695,1447,1203,777,374,
应交税费(万元),1664,1769,1174,1109,1267,1382,723,1651,1310,727,1021,1125,739,2063,4551,2719,2380,1861,
应付利息(万元),78,73,106,126,102,93,74,87,257,115,226,145,49,53,163,89,12,,
应付股利(万元),,4800,,,,,,,,,,,7590,,4786,,,,
其他应交款(万元),,,,,,,,,,,,,,,,,,,
应付保证金(万元),,,,,,,,,,,,,,,,,,,
内部应付款(万元),,,,,,,,,,,,,,,,,,,
