报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31,
货币资金(万元),14457,18285,22851,30779,40461,19496,19402,30914,19558,34558,51718,41693,2588,621,
结算备付金(万元),,,,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,,,
交易性金融资产(万元),1333,1329,3873,2759,,,,,,,,,,,
衍生金融资产(万元),,,,,,,,,,,,,,,
应收票据(万元),368,267,,2746,2072,1339,5871,8155,11428,11927,14409,24086,3602,336,
应收账款(万元),19702,18201,,16834,19785,21740,13528,12200,35821,22885,21392,12081,9349,1895,
预付款项(万元),398,235,498,427,1508,1724,2216,2329,1525,4302,4658,1613,5067,2605,
应收保费(万元),,,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,,
应收利息(万元),,,,,,,,,,,,,,,
应收股利(万元),,12,,,,,,,,,,,,,
其他应收款(万元),,2420,,2476,1680,1677,1657,1633,1583,1489,1372,1343,403,440,
应收出口退税(万元),,,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,,,
存货(万元),11406,12609,12360,13649,21800,18387,25072,26060,19185,20721,14416,20188,16680,5298,
待摊费用(万元),,,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,,,,
其他流动资产(万元),20021,20456,19370,18495,18036,16593,16108,14122,8337,6114,1541,4598,1965,4200,
流动资产合计(万元),70164,73816,79569,88165,105343,80957,83855,95414,97436,101996,109506,105602,39654,15395,
发放贷款及垫款(万元),,,,,,,,,,,,,,,
可供出售金融资产(万元),,,,,,,,,,,,,,,
持有至到期投资(万元),,,,,,,,,,,,,,,
