报告日期,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-06-30,2018-12-31,2018-06-30,2017-12-31,2016-12-31,2015-12-31,
货币资金(万元),5403,21024,39245,9389,2960,8085,4516,2739,5387,2596,
结算备付金(万元),,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,
交易性金融资产(万元),18071,13896,951,,5796,,,,,,
衍生金融资产(万元),,,,,,,,,,,
应收票据(万元),,,,,,8168,,,,,
应收账款(万元),23098,22926,18124,21724,18957,13201,,,,,
预付款项(万元),211,332,349,165,191,203,264,190,283,193,
应收保费(万元),,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,
应收利息(万元),,,,,,,,,,,
应收股利(万元),,,,,,,,,,,
其他应收款(万元),,40,,46,,,91,88,47,37,
应收出口退税(万元),,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,
存货(万元),24457,21806,23080,19740,18760,14449,11938,11687,7585,9933,
待摊费用(万元),,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,
其他流动资产(万元),487,280,717,458,1123,829,1285,1931,2451,2078,
流动资产合计(万元),101801,97049,96902,56064,53279,45028,45710,36424,33770,29804,
发放贷款及垫款(万元),,,,,,,,,,,
可供出售金融资产(万元),,,,,,,,,3,3,
持有至到期投资(万元),,,,,,,,,,,
长期应收款(万元),,,,,,,,,,,
长期股权投资(万元),,,,,,,,,,,
其他长期投资(万元),,,,,,,,,,,
投资性房地产(万元),231,234,237,240,986,1011,1035,1060,,,
固定资产原值(万元),,40927,,39054,,,,,,,
累计折旧(万元),,16066,,14588,,,,,,,
固定资产净值(万元),,24860,,24467,,,,,,,
固定资产减值准备(万元),,,,,,,,,,,
固定资产(万元),,24860,,24467,,,19197,16331,12763,13442,
在建工程(万元),,2530,,1817,,,1720,4142,4319,8731,
工程物资(万元),,,,,,,,,,,
固定资产清理(万元),,,,,,,,,,,
生产性生物资产(万元),,,,,,,,,,,
公益性生物资产(万元),,,,,,,,,,,
油气资产(万元),,,,,,,,,,,
无形资产(万元),2643,2674,2633,2675,2656,2507,2530,2539,2603,5200,
开发支出(万元),,,,,,,,,,,
商誉(万元),,,,,,,,,,,
长期待摊费用(万元),,,,,,,,,,,
股权分置流通权(万元),,,,,,,,,,,
递延所得税资产(万元),579,511,472,504,335,235,212,181,185,159,
其他非流动资产(万元),1050,1356,399,282,912,355,848,234,56,47,
非流动资产合计(万元),34878,32166,29726,29985,29588,27375,25542,24486,19928,27582,
资产总计(万元),136679,129214,126627,86049,82867,72403,71252,60910,53699,57385,
短期借款(万元),1350,1269,369,8513,11800,9261,14500,9979,10780,16774,
向中央银行借款(万元),,,,,,,,,,,
吸收存款及同业存放(万元),,,,,,,,,,,
拆入资金(万元),,,,,,,,,,,
交易性金融负债(万元),,,,,,,,,,,
衍生金融负债(万元),,,,,,,,,,,
应付票据(万元),,,,,,,,,,,
应付账款(万元),11630,10683,10437,9519,9432,5834,,,,,
预收账款(万元),,,,152,128,289,214,228,132,27,
卖出回购金融资产款(万元),,,,,,,,,,,
应付手续费及佣金(万元),,,,,,,,,,,
应付职工薪酬(万元),667,639,532,1275,536,1119,489,839,422,433,
应交税费(万元),1969,763,512,433,920,2148,1157,292,312,226,
应付利息(万元),,,,,,,,,,,
应付股利(万元),,,,,,,,,,,
其他应交款(万元),,,,,,,,,,,
应付保证金(万元),,,,,,,,,,,
内部应付款(万元),,,,,,,,,,,
其他应付款(万元),,390,,363,,,661,471,245,1418,
预提费用(万元),,,,,,,,,,,
预计流动负债(万元),,,,,,,,,,,
应付分保账款(万元),,,,,,,,,,,
保险合同准备金(万元),,,,,,,,,,,
代理买卖证券款(万元),,,,,,,,,,,
代理承销证券款(万元),,,,,,,,,,,
国际票证结算(万元),,,,,,,,,,,
国内票证结算(万元),,,,,,,,,,,
递延收益(万元),,,,,,,,,,,
应付短期债券(万元),,,,,,,,,,,
一年内到期的非流动负债(万元),,,,,,,,,,,
其他流动负债(万元),,,,,,,,,,,
流动负债合计(万元),16217,14009,12671,20256,24236,19326,23352,17635,15716,22860,
长期借款(万元),,,,,,,,,,,
应付债券(万元),,,,,,,,,,,
长期应付款(万元),,,,,,,,,,,
专项应付款(万元),,,,,,,,,,,
预计非流动负债(万元),,,,,,,,,,,
长期递延收益(万元),9439,9528,9699,10157,10100,10034,9825,9320,9237,5549,
递延所得税负债(万元),16,15,0,,,,,,,,
其他非流动负债(万元),,,,,,,,,,2000,
非流动负债合计(万元),9455,9543,9699,10157,10100,10034,9825,9320,9237,7549,
负债合计(万元),25672,23552,22370,30413,34336,29360,33177,26955,24953,30409,
实收资本(或股本)(万元),16000,16000,16000,12000,12000,12000,12000,12000,12000,12000,
资本公积(万元),46344,46344,46344,4394,4394,4338,4338,4338,4030,4030,
减:库存股(万元),,,,,,,,,,,
专项储备(万元),,,,,,,,,,,
盈余公积(万元),3927,3927,3927,3927,3204,3204,2247,2247,1736,1382,
一般风险准备(万元),,,,,,,,,,,
未确定的投资损失(万元),,,,,,,,,,,
未分配利润(万元),45071,39725,38429,35722,29355,23916,19841,15711,11201,9619,
拟分配现金股利(万元),,,,,,,,,,,
外币报表折算差额(万元),,,,,,,,,,,
归属于母公司股东权益合计(万元),111240,105891,104599,55967,48897,43413,38421,34286,28939,27017,
少数股东权益(万元),-233,-228,-342,-332,-366,-371,-346,-331,-193,-40,
所有者权益(或股东权益)合计(万元),111007,105662,104257,55635,48531,43042,38075,33955,28746,26976,
负债和所有者权益(或股东权益)总计(万元),136679,129214,126627,86049,82867,72403,71252,60910,53699,57385,		
