报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
货币资金(万元),22009,23251,15501,11909,12776,16773,21438,21114,20259,23008,1656,1530,3728,8497,2598,778,
结算备付金(万元),,,,,,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,,,,,
交易性金融资产(万元),,,159,,,,,,,,,,,50,1364,175,
衍生金融资产(万元),,,,,,,,,,,,,,,,,
应收票据(万元),,,,,,,,,,,,,,,,,
应收账款(万元),5950,6418,7259,6092,6298,6504,7609,6063,5830,6890,8002,5196,4303,4761,4502,15245,
预付款项(万元),499,638,474,271,735,793,1311,391,283,342,151,36,110,160,207,100,
应收保费(万元),,,,,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,,,,
应收利息(万元),,,,,,,,,,,,,,,,,
应收股利(万元),,,,,,,,,,,,,,,,,
其他应收款(万元),,447,,661,1174,521,743,572,305,276,298,151,87,220,534,536,
应收出口退税(万元),,,,,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,,,,,
存货(万元),29885,29442,33470,35545,35570,37075,36990,37668,35579,34760,38014,38181,29981,30992,30066,10356,
待摊费用(万元),,,,,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,,,,,,
其他流动资产(万元),209,135,764,683,3541,1602,649,469,627,833,479,445,431,2930,491,704,
流动资产合计(万元),59067,60330,58295,55161,60095,63268,68740,66277,62882,66110,48600,45539,38640,47610,39761,27895,
发放贷款及垫款(万元),,,,,,,,,,,,,,,,,
可供出售金融资产(万元),,,,,,,,,,,,,,,,,
持有至到期投资(万元),,,,,,,,,,,,,,,,,
长期应收款(万元),,,,,,,,,,,,,,,,,
长期股权投资(万元),1774,1714,1660,1660,1726,1696,1251,1233,1231,1066,1105,1085,,,,1625,
其他长期投资(万元),,,,,,,,,,,,,,,,,
投资性房地产(万元),,,,,,,,,699,,,,,,,,
固定资产原值(万元),,26807,,26393,,26142,,25615,,23996,24087,24095,22992,,,,
累计折旧(万元),,16186,,15342,,14409,,13513,,12808,12538,12117,10324,,,,
固定资产净值(万元),,10621,,11050,,11734,,12102,,11188,11550,11978,12667,,,,
固定资产减值准备(万元),,361,,361,,361,,362,,374,374,374,374,,,,
固定资产(万元),,10260,,10689,11109,11372,11467,11740,10548,10815,11176,11604,12294,10714,11475,11719,
在建工程(万元),,1577,,885,894,896,941,944,1615,1367,1416,931,1034,3420,1045,1019,
工程物资(万元),,,,,,,,,,,,,,,,,
固定资产清理(万元),,,,,,,,,,,,,,,,,
生产性生物资产(万元),,,,,,,,,,,,,,,,,
公益性生物资产(万元),,,,,,,,,,,,,,,,,
油气资产(万元),,,,,,,,,,,,,,,,,
无形资产(万元),6317,6360,6406,6463,2974,2989,3020,3066,2868,2899,2923,2921,2961,2882,2947,3682,
开发支出(万元),,,,,,,,,,,,,,,,,
商誉(万元),439,436,435,436,436,433,430,432,434,435,437,437,432,424,416,,
长期待摊费用(万元),994,1074,1155,1285,1340,1511,1249,1489,1320,1332,1218,1276,1419,2211,1964,1337,
股权分置流通权(万元),,,,,,,,,,,,,,,,,
递延所得税资产(万元),3432,3309,3424,3408,3129,2947,2929,3069,3976,4306,5257,5274,4018,3631,3042,569,
其他非流动资产(万元),,,,,,,1,,16,16,25,44,227,6,224,303,
非流动资产合计(万元),24885,24730,25030,24826,21608,21844,21287,21972,22708,22236,23556,23573,22386,23288,21112,20255,
资产总计(万元),83952,85060,83325,79987,81702,85112,90027,88249,85590,88346,72156,69112,61026,70899,60873,48150,
短期借款(万元),8990,12340,8700,5280,11563,15101,19590,16148,13448,15902,17844,17969,16846,23107,16554,11500,
向中央银行借款(万元),,,,,,,,,,,,,,,,,
吸收存款及同业存放(万元),,,,,,,,,,,,,,,,,
拆入资金(万元),,,,,,,,,,,,,,,,,
交易性金融负债(万元),347,157,,,,,,,,,,,1242,389,,,
衍生金融负债(万元),,,,,,,,,,,,,,,,,
应付票据(万元),,,,,,,,,,,,,,,,,
应付账款(万元),7041,5756,,7121,,7464,7315,8632,8005,6378,10267,8197,7215,13137,11828,8892,
预收账款(万元),439,529,268,401,111,142,255,204,116,179,283,127,283,318,373,153,
卖出回购金融资产款(万元),,,,,,,,,,,,,,,,,
应付手续费及佣金(万元),,,,,,,,,,,,,,,,,
应付职工薪酬(万元),456,415,570,631,434,604,590,600,540,547,706,678,528,469,375,305,
应交税费(万元),375,350,432,697,612,544,781,1036,810,699,472,1218,641,930,734,241,
应付利息(万元),16,23,15,20,13,14,24,20,16,20,39,23,18,2,0,,
应付股利(万元),9,9,9,9,9,9,,,,,,,,59,,,
其他应交款(万元),,,,,,,,,,,,,,,,,
应付保证金(万元),,,,,,,,,,,,,,,,,
内部应付款(万元),,,,,,,,,,,,,,,,,
其他应付款(万元),,354,,469,,868,435,533,376,1387,484,505,365,4201,3076,159,
预提费用(万元),,,,,,,,,,,,,,,,,
预计流动负债(万元),,,,,,,,,,,,,,,,,
应付分保账款(万元),,,,,,,,,,,,,,,,,
保险合同准备金(万元),,,,,,,,,,,,,,,,,
代理买卖证券款(万元),,,,,,,,,,,,,,,,,
代理承销证券款(万元),,,,,,,,,,,,,,,,,
国际票证结算(万元),,,,,,,,,,,,,,,,,
