报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
货币资金(万元),62159,83406,76959,120220,61287,90225,94326,80824,103677,100752,137471,39042,40451,37991,52259,34412,
结算备付金(万元),,,,,,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,,,,,
交易性金融资产(万元),2862,245,508,858,,,,,,,,,,,196,210,
衍生金融资产(万元),,,,,223,,,,,,,,,,,,
应收票据(万元),3277,3110,2165,1409,3219,2749,2011,1860,3359,2341,1427,764,125,698,706,285,
应收账款(万元),33624,34420,33050,30487,35648,28967,23396,27504,29910,27880,27095,27155,21051,19878,17160,17268,
预付款项(万元),792,5425,644,908,2298,1933,1107,684,1549,2550,1307,533,827,586,804,702,
应收保费(万元),,,,,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,,,,
应收利息(万元),,,0,0,,,,,,,,,,,,,
应收股利(万元),,,0,0,,,,,,,,,,,,,
其他应收款(万元),,919,,1687,2509,1216,1074,1765,1399,1522,1631,1474,546,1542,888,889,
应收出口退税(万元),,,,,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,,,,,
存货(万元),30131,27089,25405,28942,26586,25392,31039,25407,26001,26113,25556,23251,19023,24581,21617,19151,
待摊费用(万元),,,,,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,,,,,,
其他流动资产(万元),30857,9797,43494,7566,57153,21264,43305,51283,14000,29700,,,,,,,
流动资产合计(万元),165545,164412,183274,192076,188923,171746,196258,189324,179895,190858,194489,92220,82023,85275,93630,72916,
发放贷款及垫款(万元),,,,,,,,,,,,,,,,,
可供出售金融资产(万元),,,,,,,,,,,,,,,,,
持有至到期投资(万元),,,,,,,,,,,,,,,,,
长期应收款(万元),,,,,,,,,,,,,,,,,
长期股权投资(万元),,,,,,,,,,,,,,,,,
其他长期投资(万元),,,,,,,,,,,,,,,,,
投资性房地产(万元),620,629,637,646,655,663,672,681,689,698,706,715,749,,,,
固定资产原值(万元),,134837,,132455,,125072,,123993,,115650,,113024,108636,103472,,,
累计折旧(万元),,68290,,63659,,59240,,55121,,50833,,46659,39056,31908,,,
固定资产净值(万元),,66547,,68796,,65833,,68871,,64818,,66366,69580,71564,,,
固定资产减值准备(万元),,,,,,,,,,,,,,,,,
固定资产(万元),,66547,,68796,64525,65833,67318,68871,67281,64818,65344,66366,69580,71564,39892,40783,
在建工程(万元),,10158,,5216,7633,7503,6206,5830,2507,987,1178,1784,3838,4321,22965,3401,
工程物资(万元),,,,,,,,,,,,,,,,,
固定资产清理(万元),,,,,,,,,,,,,,,,,
生产性生物资产(万元),,,,,,,,,,,,,,,,,
公益性生物资产(万元),,,,,,,,,,,,,,,,,
油气资产(万元),,,,,,,,,,,,,,,,,
无形资产(万元),13519,13622,13713,13822,13870,13779,13846,13914,13497,13765,13786,13862,14125,14822,10573,8855,
开发支出(万元),,,,,,,,,,,,,,,,,
商誉(万元),,,,,,,,,,,,,,,,,
长期待摊费用(万元),,,,,,,,,,,,,,,,,
股权分置流通权(万元),,,,,,,,,,,,,,,,,
递延所得税资产(万元),1350,1290,1342,1370,1261,1364,1187,1267,1116,1078,1384,1406,910,759,471,299,
其他非流动资产(万元),7988,5736,6077,4741,3156,2453,2100,1684,6463,4400,3461,3045,97,2065,1831,4983,
非流动资产合计(万元),108029,105484,96700,94592,91100,91595,91330,92247,91553,85744,85859,87178,89299,93530,75733,58322,
资产总计(万元),273574,269895,279974,286667,280023,263341,287588,281571,271448,276602,280348,179398,171322,178805,169363,131238,
短期借款(万元),16975,16000,23467,22356,15608,5000,19026,18835,21980,23250,27000,20650,27600,39000,34360,26360,
向中央银行借款(万元),,,,,,,,,,,,,,,,,
吸收存款及同业存放(万元),,,,,,,,,,,,,,,,,
拆入资金(万元),,,,,,,,,,,,,,,,,
交易性金融负债(万元),,,,,,,,,,,,,,,,,
衍生金融负债(万元),,,,,,,,,,,,,,,,,
应付票据(万元),225,,,,,,0,38,38,135,516,625,305,876,2936,451,
应付账款(万元),15552,17562,,15097,,16285,17126,17797,15181,13757,12516,14735,12167,16168,11207,7951,
预收账款(万元),1628,1145,738,1161,1243,1319,795,989,1061,630,1008,1298,1028,552,611,486,
卖出回购金融资产款(万元),,,,,,,,,,,,,,,,,
应付手续费及佣金(万元),,,,,,,,,,,,,,,,,
应付职工薪酬(万元),3180,3018,2971,2826,2903,2696,2799,3073,3347,3054,2762,3340,2605,2384,2600,1874,
