报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2017-12-31,2017-06-30,2016-12-31,2015-12-31,2014-12-31,
货币资金(万元),5690,16445,9488,14937,9097,6442,11980,5339,4334,6399,6082,
结算备付金(万元),,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,
交易性金融资产(万元),58500,55525,,,,,,,,,,
衍生金融资产(万元),,,,,,,,,,,,
应收票据(万元),15,156,661,663,70,416,20,47,90,,,
应收账款(万元),4307,4301,4604,4380,5985,8057,5696,7147,5456,4610,1429,
预付款项(万元),416,292,1133,103,1115,529,270,306,49,267,29,
应收保费(万元),,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,
应收利息(万元),,,,,,,,,,,,
应收股利(万元),,,,,,,,,,,,
其他应收款(万元),,7149,,6607,9029,8798,1311,4537,2619,1374,4205,
应收出口退税(万元),,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,
存货(万元),2565,2129,2197,3019,4036,3127,2524,2653,2082,1390,2446,
待摊费用(万元),,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,
其他流动资产(万元),1320,805,63672,58783,56159,9018,7209,5333,12987,12508,6049,
流动资产合计(万元),90428,86802,88947,88492,85491,36388,29009,25362,27616,26548,20239,
发放贷款及垫款(万元),,,,,,,,,,,,
可供出售金融资产(万元),,,,,,,,,,,,
持有至到期投资(万元),,,,,,,,,,,,
长期应收款(万元),,,,,,,,,,,,
长期股权投资(万元),1738,1590,1550,1533,1477,1566,1547,1731,1765,764,857,
其他长期投资(万元),,,,,,,,,,,,
投资性房地产(万元),1350,1379,1407,1436,1465,1493,1550,1607,1665,1779,1893,
固定资产原值(万元),,45348,,44669,,42504,48539,,43201,25807,,
累计折旧(万元),,17309,,16110,,14617,14329,,11627,9964,,
固定资产净值(万元),,28040,,44669,,27887,34209,,31574,15842,,
固定资产减值准备(万元),,,,,,,,,,,,
固定资产(万元),,28040,,28559,27298,27887,34209,30418,31574,15842,16659,
在建工程(万元),,5841,,5388,3883,3881,3682,3160,3071,1658,19,
工程物资(万元),,46,,114,,,,,,,,
固定资产清理(万元),,,,,,,,,,,,
生产性生物资产(万元),,,,,,,,,,,,
公益性生物资产(万元),,,,,,,,,,,,
油气资产(万元),,,,,,,,,,,,
无形资产(万元),7358,7424,7491,7558,7457,7523,7969,7407,6684,5469,4833,
开发支出(万元),,,,,,,,,,,,
商誉(万元),,,,,,,,,,,,
长期待摊费用(万元),,,,,19,20,,,,,,
股权分置流通权(万元),,,,,,,,,,,,
递延所得税资产(万元),1244,1255,1256,1234,1194,1159,1053,841,810,339,291,
其他非流动资产(万元),,,,,4,4,4,235,,,,
非流动资产合计(万元),45064,45573,45387,45821,42795,43533,50013,45399,45569,25851,24552,
资产总计(万元),135492,132376,134333,134313,128286,79920,79022,70760,73185,52399,44790,
短期借款(万元),,,,,,,,,,,4000,
向中央银行借款(万元),,,,,,,,,,,,
吸收存款及同业存放(万元),,,,,,,,,,,,
拆入资金(万元),,,,,,,,,,,,
交易性金融负债(万元),,,,,,,,,,,,
衍生金融负债(万元),,,,,,,,,,,,
应付票据(万元),,,,,,,,,,,,
应付账款(万元),3830,4496,,4862,,7435,8202,7884,10763,2520,2624,
预收账款(万元),10246,9263,9447,10235,8601,8330,8852,8139,7924,6932,7141,
卖出回购金融资产款(万元),,,,,,,,,,,,
应付手续费及佣金(万元),,,,,,,,,,,,
应付职工薪酬(万元),341,327,282,949,325,265,1091,332,878,822,762,
应交税费(万元),514,922,479,1259,445,631,1257,1182,2983,1202,1585,
应付利息(万元),,,,,,,,,,,8,
