报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31,
货币资金(万元),31082,20048,53554,52813,27731,34455,56097,30995,18121,14906,34204,23508,22562,21924,38502,
结算备付金(万元),,,,,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,,,,
交易性金融资产(万元),10000,22000,,,,,,,,,,,,,,
衍生金融资产(万元),,,,,,,,,,,,,,,,
应收票据(万元),16195,21106,32313,36004,14797,22097,24315,16666,7500,13376,11412,10987,5930,6204,9998,
应收账款(万元),144369,122353,102769,116932,110152,101127,86744,101511,98213,82564,79298,64549,60356,49665,60771,
预付款项(万元),901,728,3886,516,3359,2012,1743,1027,1489,895,1213,1423,746,663,1002,
应收保费(万元),,,,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,,,
应收利息(万元),,,,,,,,,,,,,,,,
应收股利(万元),158,190,,79,,,,,,,,158,158,131,,
其他应收款(万元),,3998,,7167,1204,983,1168,844,943,933,982,1039,2003,6364,1287,
应收出口退税(万元),,,,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,,,,
存货(万元),244823,231162,214246,189539,169035,145414,140727,139025,149754,146068,144743,141824,124553,96242,88413,
待摊费用(万元),,,,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,,,,,
其他流动资产(万元),947,3837,3437,1402,19089,5228,2347,790,1373,2654,157,5873,8558,2431,821,
流动资产合计(万元),449585,425422,417682,404451,345367,311316,313141,290858,277393,261395,272009,249361,224866,183625,200794,
发放贷款及垫款(万元),,,,,,,,,,,,,,,,
可供出售金融资产(万元),,,,,,,,,,,,,,,,
持有至到期投资(万元),,,,,,,,,,,,,,,,
长期应收款(万元),,,,,,,,,,,,,,,,
长期股权投资(万元),4712,4768,4605,4255,3910,3863,3720,3733,3512,3483,3395,3339,3150,2575,2079,
其他长期投资(万元),,,,,,,,,,,,,,,,
投资性房地产(万元),342,345,,,,,,,,1480,1502,1525,2132,2114,1915,
固定资产原值(万元),,81093,,80201,,79414,,79288,78769,76544,76171,,67807,66786,,
累计折旧(万元),,27657,,25819,,24019,,22165,21136,19752,17749,,15009,12232,,
固定资产净值(万元),,53436,,54382,,55395,,57123,57633,56792,58422,,52798,54554,,
固定资产减值准备(万元),,,,,,,,,,,,,,,,
固定资产(万元),,53436,,54382,54526,55395,56179,57123,57633,56792,58422,52340,52798,54554,55518,
在建工程(万元),,1774,,1088,935,907,652,632,179,179,179,,,183,7,
工程物资(万元),,,,,,,,,,,,,,,,
固定资产清理(万元),,,,,,,,,,,,,,,,
生产性生物资产(万元),,,,,,,,,,,,,,,,
公益性生物资产(万元),,,,,,,,,,,,,,,,
油气资产(万元),,,,,,,,,,,,,,,,
无形资产(万元),5293,5341,5381,5386,5238,5309,5380,5451,5427,5496,5078,4686,4766,4525,4538,
开发支出(万元),,,,,,,,,,,,,,,,
商誉(万元),,,,,,,,,,,,,,,,
长期待摊费用(万元),1217,1338,1456,1573,1419,1510,1410,1487,1567,1590,187,193,,,,
股权分置流通权(万元),,,,,,,,,,,,,,,,
递延所得税资产(万元),1244,1218,1155,1098,1173,915,810,915,1056,681,681,824,782,555,443,
其他非流动资产(万元),2552,1968,769,841,949,818,823,830,1249,1025,1158,1049,477,734,640,
非流动资产合计(万元),70452,70188,68311,68625,68151,68718,68975,70172,70623,70727,70602,63956,64105,65240,65140,
资产总计(万元),520037,495609,485993,473076,413517,380034,382116,361030,348015,332122,342611,313317,288972,248865,265934,
短期借款(万元),27000,27000,27000,29500,26500,22500,25500,45000,46000,44200,42000,37100,51900,48500,46800,
向中央银行借款(万元),,,,,,,,,,,,,,,,
吸收存款及同业存放(万元),,,,,,,,,,,,,,,,
拆入资金(万元),,,,,,,,,,,,,,,,
交易性金融负债(万元),,,,,,,,,,,,,,,,
衍生金融负债(万元),,,,,,,,,,,,,,,,
