报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
货币资金(万元),99220,102924,90094,109939,80762,68208,86902,99239,77945,80094,32269,52931,39565,45948,41630,32294,29386,
结算备付金(万元),,,,,,,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,,,,,,
交易性金融资产(万元),,,,,,,,,,,,,,,,,,
衍生金融资产(万元),,,,,,,,,,,,,,,,,,
应收票据(万元),11270,10631,9970,11557,11572,5580,4151,2849,1831,1014,1102,3261,3479,5455,2872,3013,1252,
应收账款(万元),110522,107535,130484,125445,135684,144390,127470,121557,135662,132497,123827,106930,113784,93291,78032,63565,60154,
预付款项(万元),62038,62894,59731,19241,1451,222,91,139,414,1003,813,803,915,1221,476,82,25,
应收保费(万元),,,,,,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,,,,,
应收利息(万元),,,,,,,,,,,,,,,,,,
应收股利(万元),,,,,,,,,,,,,,,,,,
其他应收款(万元),,2972,,3103,3605,3313,2949,3103,5210,3022,4113,2207,2137,1411,1428,1992,1965,
应收出口退税(万元),,,,,,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,,,,,,
存货(万元),70276,67323,62980,66715,68594,66401,69266,75279,71858,66566,63977,63674,53124,49622,42564,40239,39373,
待摊费用(万元),,,,,,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,4,9,13,,,5,,,
其他流动资产(万元),373,1900,239,87,671,66,2041,1528,11635,17948,,61,461,340,116,1,63,
流动资产合计(万元),356786,356180,356415,336086,302339,288181,292870,303695,304554,302150,226110,229880,213466,197288,167123,141186,132218,
发放贷款及垫款(万元),,,,,,,,,,,,,,,,,,
可供出售金融资产(万元),,,,,,,,,,,,,,,,,,
持有至到期投资(万元),,,,,,,,,,,,,,,,,,
长期应收款(万元),,,,,,,,,,,,,,,,,,
长期股权投资(万元),5441,5671,5908,6151,6586,6671,6737,3999,,,,,,,,,,
其他长期投资(万元),,,,,,,,,,,,,,,,,,
投资性房地产(万元),334,344,355,365,375,385,,,,,,,,,,,,
固定资产原值(万元),,41585,,41378,,40479,,41171,,38054,,37683,,36486,,,,
累计折旧(万元),,14202,,13213,,12430,,11854,,10889,,10020,,8808,,,,
固定资产净值(万元),,27383,,28165,,28049,,29317,,27165,,27663,,27677,,,,
固定资产减值准备(万元),,,,,,,,,,,,,,,,,,
固定资产(万元),,27383,,28165,28100,28049,28884,29317,27476,27165,27244,27663,27383,27677,28595,31057,5767,
在建工程(万元),,,,,,288,271,161,,,,,,,,,10374,
工程物资(万元),,,,,,,,,,,,,,,,,,
固定资产清理(万元),,,,,,,,,,,,,,,,,,
生产性生物资产(万元),,,,,,,,,,,,,,,,,,
公益性生物资产(万元),,,,,,,,,,,,,,,,,,
油气资产(万元),,,,,,,,,,,,,,,,,,
无形资产(万元),10973,10950,11090,11258,11332,11497,11565,11728,11874,11909,12030,11671,11844,12145,12443,12965,13452,
开发支出(万元),,,,,,,,,,,,,,,,,,
商誉(万元),,,,,,,,,,,,,,,,,,
长期待摊费用(万元),285,443,500,649,807,956,943,1070,33,29,30,31,55,66,94,63,112,
股权分置流通权(万元),,,,,,,,,,,,,,,,,,
递延所得税资产(万元),4788,4879,5647,5720,5550,5144,6697,6662,6519,5924,7056,6733,6123,5748,4367,4073,3676,
其他非流动资产(万元),108,270,251,264,139,247,247,247,,2260,,,,,,,,
