报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),27947,20945,22942,30786,25581,18055,15201,15798,10676,9751,11773,9724,7252,11924,10905,28735,10256,10038,9924,9792,7267,
结算备付金(万元),,,,,,,,,,,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,,,,,,,,,,
交易性金融资产(万元),,,,,,,,,,,,,,,,,,,,,,
衍生金融资产(万元),,,,,,,,,,,,,,,,,,,,,,
应收票据(万元),15702,21170,18799,16277,20741,25698,21878,20523,21529,19110,14374,10322,12956,10494,5727,4563,2057,744,7210,2711,2915,
应收账款(万元),75514,61255,55246,50499,42528,36365,41805,39821,35760,36407,29184,30145,26037,26997,33833,33463,27991,22865,22791,20857,14203,
预付款项(万元),593,1859,894,687,6310,242,684,193,522,308,429,989,511,450,555,391,173,343,141,13,183,
应收保费(万元),,,,,,,,,,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,,,,,,,,,
应收利息(万元),,,,,,,,,,,,,,,39,28,7,,,,,
应收股利(万元),,,,,,,,,,,,,,,,,,,,,,
其他应收款(万元),,10245,,5056,8320,4697,2143,3396,682,520,532,672,544,456,769,595,723,769,784,920,549,
应收出口退税(万元),,,,,,,,,,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,,,,,,,,,,
存货(万元),42452,34248,28335,34411,36229,30886,32547,31966,32498,26429,26352,25031,23790,21556,19797,16564,14941,15121,14645,10930,8309,
待摊费用(万元),,,,,,,,,,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,160,160,160,160,,,,,,,,,,
