报告日期,2020-09-30,2020-06-30,2019-12-31,2019-06-30,2018-12-31,2018-06-30,2017-12-31,2017-09-30,2017-06-30,2016-12-31,2015-12-31,2014-12-31,
货币资金(万元),75352,23965,29306,22379,20222,27929,22903,19417,18909,5495,4610,1531,
结算备付金(万元),,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,
交易性金融资产(万元),,,,,,,,,,,,,
衍生金融资产(万元),,,,,,,,,,,,,
应收票据(万元),21492,15487,14938,11749,12131,,8381,9424,7547,7471,4945,2311,
应收账款(万元),11950,10837,10052,8178,5339,,6543,6757,7038,9159,6674,4677,
预付款项(万元),24,49,40,44,67,9,124,506,6,5,9,9,
应收保费(万元),,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,
应收利息(万元),,,,,,,,,,,,,
应收股利(万元),,,,,,,,,,,,,
其他应收款(万元),,232,188,,,341,347,741,480,508,38,26,
应收出口退税(万元),,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,
存货(万元),11783,15280,13703,10789,11125,6939,5321,3892,4628,4404,4108,2534,
待摊费用(万元),,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,,
其他流动资产(万元),1034,1070,1105,1117,1117,80,2,1,31,573,2,240,
流动资产合计(万元),121799,66921,69333,55305,51054,49771,43620,40739,38639,27615,20386,11327,
发放贷款及垫款(万元),,,,,,,,,,,,,
可供出售金融资产(万元),,,,,,,,,,,,,
持有至到期投资(万元),,,,,,,,,,,,,
长期应收款(万元),,,,,,,,,,,,,
长期股权投资(万元),,,,,,,0,,,,,,
其他长期投资(万元),,,,,,,,,,,,,
投资性房地产(万元),,,,,,,,,,,,,
固定资产原值(万元),,11292,10514,,,,,,,,,,
累计折旧(万元),,1569,1141,,,,,,,,,,
固定资产净值(万元),,9723,9374,,,,,,,,,,
固定资产减值准备(万元),,,,,,,,,,,,,
固定资产(万元),,9723,9374,,,726,735,534,553,593,545,168,
在建工程(万元),,,,,,1058,468,241,207,207,,277,
工程物资(万元),,,,,,,,,,,,,
固定资产清理(万元),,,,,,,,,,,,,
生产性生物资产(万元),,,,,,,,,,,,,
公益性生物资产(万元),,,,,,,,,,,,,
油气资产(万元),,,,,,,,,,,,,
无形资产(万元),1264,1267,1287,1195,1200,1215,1150,1156,5,5,6,7,
开发支出(万元),,,,,,,,,,,,,
商誉(万元),3,3,3,3,3,3,3,3,3,3,3,3,
长期待摊费用(万元),43,53,73,91,,,,461,521,470,307,324,
股权分置流通权(万元),,,,,,,,,,,,,
递延所得税资产(万元),415,422,358,224,133,92,108,139,123,135,65,45,
其他非流动资产(万元),515,448,15,13,258,1436,58,,,,8,,
非流动资产合计(万元),13013,12345,11452,11076,10695,4530,2523,2535,1413,1413,934,824,
资产总计(万元),134812,79266,80786,66381,61749,54301,46142,43273,40052,29028,21320,12151,
短期借款(万元),,,,,,,,,,1000,,,
向中央银行借款(万元),,,,,,,,,,,,,
吸收存款及同业存放(万元),,,,,,,,,,,,,
拆入资金(万元),,,,,,,,,,,,,
交易性金融负债(万元),,,,,,,,,,,,,
衍生金融负债(万元),,,,,,,,,,,,,
应付票据(万元),6703,5047,8362,4777,3575,,2657,4576,2387,1653,,,
应付账款(万元),11720,9280,12936,9311,9504,,6830,5717,6923,8519,7031,5385,
预收账款(万元),,,349,222,526,538,422,434,141,122,116,211,
卖出回购金融资产款(万元),,,,,,,,,,,,,
应付手续费及佣金(万元),,,,,,,,,,,,,
应付职工薪酬(万元),409,447,696,333,718,270,293,27,170,124,146,16,
应交税费(万元),926,573,460,442,37,1204,515,527,295,358,269,187,
应付利息(万元),,,,,,,,,,,,,
应付股利(万元),,,,,,,,,,,,,
其他应交款(万元),,,,,,,,,,,,,
应付保证金(万元),,,,,,,,,,,,,
内部应付款(万元),,,,,,,,,,,,,
其他应付款(万元),,38,41,,,21,90,,221,0,0,2093,
预提费用(万元),,,,,,,,,,,,,
预计流动负债(万元),,,,,,,,,,,,,
应付分保账款(万元),,,,,,,,,,,,,
保险合同准备金(万元),,,,,,,,,,,,,
代理买卖证券款(万元),,,,,,,,,,,,,
