报告日期,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-06-30,2018-12-31,2017-12-31,2016-12-31,
货币资金(万元),25907,15104,23172,18801,12552,18675,13484,1665,
结算备付金(万元),,,,,,,,,
拆出资金(万元),,,,,,,,,
交易性金融资产(万元),,,,,,,,2907,
衍生金融资产(万元),,,,,,,,,
应收票据(万元),41,41,27,85,81,,,,
应收账款(万元),5966,6944,5063,6156,6612,,,,
预付款项(万元),405,278,292,319,96,106,146,90,
应收保费(万元),,,,,,,,,
应收分保账款(万元),,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,
应收利息(万元),,,,,,,,,
应收股利(万元),,,,,,,,,
其他应收款(万元),,,231,462,,,,,
应收出口退税(万元),,,,,,,,,
应收补贴款(万元),,,,,,,,,
应收保证金(万元),,,,,,,,,
内部应收款(万元),,,,,,,,,
买入返售金融资产(万元),,,,,,,,,
存货(万元),11200,10777,9137,8967,6748,9399,7143,6001,
待摊费用(万元),,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,
其他流动资产(万元),50053,23909,20640,22607,14364,5130,1200,569,
流动资产合计(万元),93968,57451,58561,57373,40664,40526,29121,15458,
发放贷款及垫款(万元),,,,,,,,,
可供出售金融资产(万元),,,,,,,,,
持有至到期投资(万元),,,,,,,,,
长期应收款(万元),,,,,,,,,
长期股权投资(万元),,,,,,,,,
其他长期投资(万元),,,,,,,,,
投资性房地产(万元),,,,,,,,,
固定资产原值(万元),,,22527,22442,,,,,
累计折旧(万元),,,6488,5987,,,,,
固定资产净值(万元),,,16040,16456,,,,,
固定资产减值准备(万元),,,,,,,,,
固定资产(万元),,,16040,16456,,,,,
在建工程(万元),,,1382,1290,,,,,
工程物资(万元),,,,,,,,,
固定资产清理(万元),,,,,,,,,
生产性生物资产(万元),,,,,,,,,
公益性生物资产(万元),,,,,,,,,
油气资产(万元),,,,,,,,,
无形资产(万元),3264,3304,3335,3369,797,727,189,178,
开发支出(万元),,,,,,,,,
商誉(万元),,,,,,,,,
长期待摊费用(万元),1027,1116,1221,1326,936,1049,450,534,
股权分置流通权(万元),,,,,,,,,
递延所得税资产(万元),1097,1047,961,894,831,591,186,407,
其他非流动资产(万元),989,732,1183,730,3561,1558,636,339,
非流动资产合计(万元),24199,24135,24122,24065,22726,18859,7442,6216,
资产总计(万元),118167,81585,82682,81438,63391,59385,36563,21673,
短期借款(万元),,,8300,6900,2940,4000,3430,,
向中央银行借款(万元),,,,,,,,,
吸收存款及同业存放(万元),,,,,,,,,
拆入资金(万元),,,,,,,,,
交易性金融负债(万元),,,,,,,,,
衍生金融负债(万元),,,,,,,,,
应付票据(万元),,,,,,,,,
应付账款(万元),4911,6726,4149,6608,3621,,,,
预收账款(万元),,,,417,693,959,964,526,
卖出回购金融资产款(万元),,,,,,,,,
应付手续费及佣金(万元),,,,,,,,,
应付职工薪酬(万元),645,684,541,705,539,697,579,475,
应交税费(万元),472,891,583,1135,1055,1391,921,792,
应付利息(万元),,,11,7,,,,,
应付股利(万元),,,,,,,,,
其他应交款(万元),,,,,,,,,
应付保证金(万元),,,,,,,,,
内部应付款(万元),,,,,,,,,
其他应付款(万元),,,1128,1605,,,,,
预提费用(万元),,,,,,,,,
预计流动负债(万元),,,,,,,,,
应付分保账款(万元),,,,,,,,,
保险合同准备金(万元),,,,,,,,,
代理买卖证券款(万元),,,,,,,,,
代理承销证券款(万元),,,,,,,,,
国际票证结算(万元),,,,,,,,,
国内票证结算(万元),,,,,,,,,
递延收益(万元),,,,,,,,,
应付短期债券(万元),,,,,,,,,
一年内到期的非流动负债(万元),,,,,,,,,
其他流动负债(万元),23,19,,,,,,,
流动负债合计(万元),6924,9040,15336,17377,8896,14299,12254,8214,
长期借款(万元),,,,,,,,,
应付债券(万元),,,,,,,,,
长期应付款(万元),,,,,,,,,
专项应付款(万元),,,,,,,,,
预计非流动负债(万元),,,,,,,,,
长期递延收益(万元),1098,1133,1017,1052,578,565,463,303,
递延所得税负债(万元),1220,1142,1110,1103,1022,764,149,113,
其他非流动负债(万元),,,,,,,,,
非流动负债合计(万元),2317,2275,2127,2155,1600,1328,612,416,
负债合计(万元),9241,11314,17463,19532,10496,15628,12866,8630,
实收资本(或股本)(万元),40550,36450,36450,36450,36450,24300,2200,2200,
资本公积(万元),32892,1416,1416,1416,1140,1140,1913,523,
减:库存股(万元),,,,,,,,,
专项储备(万元),,,,,,,,,
盈余公积(万元),3458,3458,3458,3458,1720,1720,1328,1328,
一般风险准备(万元),,,,,,,,,
未确定的投资损失(万元),,,,,,,,,
未分配利润(万元),31860,28771,23726,20424,13520,16417,17900,8379,
拟分配现金股利(万元),,,,,,,,,
外币报表折算差额(万元),,,,,,,,,
归属于母公司股东权益合计(万元),108714,70049,65005,61702,52785,43680,23442,12718,
少数股东权益(万元),212,222,214,205,110,77,256,325,
所有者权益(或股东权益)合计(万元),108926,70271,65219,61907,52895,43757,23697,13043,
负债和所有者权益(或股东权益)总计(万元),118167,81585,82682,81438,63391,59385,36563,21673,		
