报告日期,2020-09-30,2020-06-30,2019-12-31,2018-12-31,2017-12-31,2016-12-31,
货币资金(万元),185643,,106242,83256,53649,33113,
结算备付金(万元),,,,,,,
拆出资金(万元),,,,,,,
交易性金融资产(万元),,,,,,,
衍生金融资产(万元),,,,,,,
应收票据(万元),,,,,,,
应收账款(万元),104,,42,25,7,17,
预付款项(万元),311,,224,224,1782,1065,
应收保费(万元),,,,,,,
应收分保账款(万元),,,,,,,
应收分保合同准备金(万元),,,,,,,
应收利息(万元),,,12,61,619,281,
应收股利(万元),,,,,,,
其他应收款(万元),,,,,,,
应收出口退税(万元),,,,,,,
应收补贴款(万元),,,,,,,
应收保证金(万元),,,,,,,
内部应收款(万元),,,,,,,
买入返售金融资产(万元),,,,,,,
存货(万元),2878,,6419,5638,4695,3263,
待摊费用(万元),,,,,,,
待处理流动资产损益(万元),,,,,,,
一年内到期的非流动资产(万元),,,,,,,
其他流动资产(万元),1201,,1389,1250,2439,1934,
流动资产合计(万元),190218,99739,114391,90483,63238,39832,
发放贷款及垫款(万元),,,,,,,
可供出售金融资产(万元),,,,,,,
持有至到期投资(万元),,,,,,,
长期应收款(万元),,,,,,,
长期股权投资(万元),,,,,,,
其他长期投资(万元),,,,,,,
投资性房地产(万元),,,,,,,
固定资产原值(万元),,,,,,,
累计折旧(万元),,,,,,,
固定资产净值(万元),,,,,,,
固定资产减值准备(万元),,,,,,,
固定资产(万元),,,,,,,
在建工程(万元),,,,,,,
工程物资(万元),,,,,,,
固定资产清理(万元),,,,,,,
生产性生物资产(万元),,,,,,,
公益性生物资产(万元),,,,,,,
油气资产(万元),,,,,,,
无形资产(万元),4567,,4947,3829,4610,1610,
开发支出(万元),,,,,,,
商誉(万元),,,,,,,
长期待摊费用(万元),312,,346,359,402,,
股权分置流通权(万元),,,,,,,
递延所得税资产(万元),321,,324,298,299,343,
其他非流动资产(万元),1708,,,,,,
非流动资产合计(万元),20424,20403,20035,19447,21004,9532,
资产总计(万元),210641,120142,134426,109930,84242,49364,
短期借款(万元),,,,,,,
向中央银行借款(万元),,,,,,,
吸收存款及同业存放(万元),,,,,,,
拆入资金(万元),,,,,,,
交易性金融负债(万元),,,,,,,
衍生金融负债(万元),,,,,,,
应付票据(万元),,,,,,,
应付账款(万元),6992,,17965,,,,
预收账款(万元),,,15309,20440,17182,9498,
卖出回购金融资产款(万元),,,,,,,
应付手续费及佣金(万元),,,,,,,
应付职工薪酬(万元),793,,1726,1109,1374,967,
应交税费(万元),2897,,2547,2335,3153,3827,
应付利息(万元),,,,,,,
应付股利(万元),54,,34,15,,,
其他应交款(万元),,,,,,,
应付保证金(万元),,,,,,,
内部应付款(万元),,,,,,,
其他应付款(万元),,,,,,,
预提费用(万元),,,,,,,
预计流动负债(万元),,,,,,,
应付分保账款(万元),,,,,,,
保险合同准备金(万元),,,,,,,
代理买卖证券款(万元),,,,,,,
代理承销证券款(万元),,,,,,,
国际票证结算(万元),,,,,,,
国内票证结算(万元),,,,,,,
递延收益(万元),,,,,,,
应付短期债券(万元),,,,,,,
一年内到期的非流动负债(万元),,,,,,,
其他流动负债(万元),666,,,,,,
流动负债合计(万元),17929,20613,38960,34947,29411,48744,
长期借款(万元),,,,,,,
应付债券(万元),,,,,,,
长期应付款(万元),,,,,,,
专项应付款(万元),,,,,,,
预计非流动负债(万元),,,,,,,
长期递延收益(万元),1226,,1255,1123,1149,1176,
递延所得税负债(万元),,,,,,,
其他非流动负债(万元),,,,,,,
非流动负债合计(万元),1226,1231,1255,1123,1149,1176,
负债合计(万元),19156,21845,40215,36070,30561,49920,
实收资本(或股本)(万元),43000,,36000,36000,36000,5000,
资本公积(万元),86826,,1685,,,,
减:库存股(万元),,,,,,,
专项储备(万元),,,,,,,
盈余公积(万元),5623,,6001,3595,1059,177,
一般风险准备(万元),,,,,,,
未确定的投资损失(万元),,,,,,,
未分配利润(万元),56000,,50468,34254,16568,-5733,
拟分配现金股利(万元),,,,,,,
外币报表折算差额(万元),,,,,,,
归属于母公司股东权益合计(万元),191448,98254,94154,73849,53627,-556,
少数股东权益(万元),38,,57,11,54,,
所有者权益(或股东权益)合计(万元),191486,98297,94211,73860,53681,-556,
负债和所有者权益(或股东权益)总计(万元),210641,120142,134426,109930,84242,49364,		
