报告日期,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2018-12-31,2017-12-31,2016-12-31,
货币资金(万元),56613,9114,6952,10440,10541,5315,1203,
结算备付金(万元),,,,,,,,
拆出资金(万元),,,,,,,,
交易性金融资产(万元),7500,,,,,,,
衍生金融资产(万元),,,,,,,,
应收票据(万元),8195,6577,5503,5415,,,,
应收账款(万元),8591,8181,10202,8614,,,,
预付款项(万元),965,819,529,418,389,80,58,
应收保费(万元),,,,,,,,
应收分保账款(万元),,,,,,,,
应收分保合同准备金(万元),,,,,,,,
应收利息(万元),,,,,,,,
应收股利(万元),,,,,,,,
其他应收款(万元),,11,2,,,,,
应收出口退税(万元),,,,,,,,
应收补贴款(万元),,,,,,,,
应收保证金(万元),,,,,,,,
内部应收款(万元),,,,,,,,
买入返售金融资产(万元),,,,,,,,
存货(万元),6651,7298,7543,7360,6643,4175,3346,
待摊费用(万元),,,,,,,,
待处理流动资产损益(万元),,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,
其他流动资产(万元),435,529,398,365,295,792,761,
流动资产合计(万元),88960,32529,31129,32624,25707,16741,12813,
发放贷款及垫款(万元),,,,,,,,
可供出售金融资产(万元),,,,,,,,
持有至到期投资(万元),,,,,,,,
长期应收款(万元),,,,,,,,
长期股权投资(万元),,,,,,,,
其他长期投资(万元),,,,,,,,
投资性房地产(万元),,,,,,,,
固定资产原值(万元),,28014,27949,,,,,
累计折旧(万元),,9175,8708,,,,,
固定资产净值(万元),,18839,19241,,,,,
固定资产减值准备(万元),,,,,,,,
固定资产(万元),,18839,19241,,,,,
在建工程(万元),,5480,3478,,,,,
工程物资(万元),,377,530,,,,,
固定资产清理(万元),,,,,,,,
生产性生物资产(万元),,,,,,,,
公益性生物资产(万元),,,,,,,,
油气资产(万元),,,,,,,,
无形资产(万元),1406,1416,1427,1438,1480,1488,1523,
开发支出(万元),,,,,,,,
商誉(万元),,,,,,,,
长期待摊费用(万元),112,117,122,126,28,34,39,
股权分置流通权(万元),,,,,,,,
递延所得税资产(万元),225,245,224,228,171,142,171,
其他非流动资产(万元),465,378,120,414,347,330,132,
非流动资产合计(万元),27824,26852,25141,24753,21305,19265,18111,
资产总计(万元),116785,59380,56270,57377,47012,36006,30925,
短期借款(万元),,,990,2010,800,2000,1500,
向中央银行借款(万元),,,,,,,,
吸收存款及同业存放(万元),,,,,,,,
拆入资金(万元),,,,,,,,
交易性金融负债(万元),,,,,,,,
衍生金融负债(万元),,,,,,,,
应付票据(万元),,,,,,,,
应付账款(万元),6641,6501,5891,7365,,,,
预收账款(万元),,,623,433,421,291,306,
卖出回购金融资产款(万元),,,,,,,,
应付手续费及佣金(万元),,,,,,,,
应付职工薪酬(万元),839,657,508,1198,1397,909,817,
应交税费(万元),479,697,342,726,355,570,483,
应付利息(万元),,1,2,,,,,
应付股利(万元),,,,,,,,
其他应交款(万元),,,,,,,,
应付保证金(万元),,,,,,,,
内部应付款(万元),,,,,,,,
其他应付款(万元),,22,59,,,,,
预提费用(万元),,,,,,,,
预计流动负债(万元),,,,,,,,
应付分保账款(万元),,,,,,,,
保险合同准备金(万元),,,,,,,,
代理买卖证券款(万元),,,,,,,,
代理承销证券款(万元),,,,,,,,
国际票证结算(万元),,,,,,,,
国内票证结算(万元),,,,,,,,
递延收益(万元),,,,,,,,
应付短期债券(万元),,,,,,,,
一年内到期的非流动负债(万元),,100,100,100,,800,1820,
其他流动负债(万元),71,44,55,,,,,
流动负债合计(万元),8481,8414,8571,11874,9213,10426,15105,
长期借款(万元),,830,880,880,2330,4450,1800,
应付债券(万元),,,,,,,,
长期应付款(万元),,,,,,,,
专项应付款(万元),,,,,,,,
预计非流动负债(万元),,,,,,,,
长期递延收益(万元),,,,,,,,
递延所得税负债(万元),,,,,,,,
其他非流动负债(万元),,,,,,,,
非流动负债合计(万元),0,830,880,880,2330,4450,1800,
负债合计(万元),8481,9244,9451,12754,11543,14876,16905,
实收资本(或股本)(万元),18400,13800,13800,13800,13800,9500,4357,
资本公积(万元),58377,6964,6964,6964,6964,7514,140,
减:库存股(万元),,,,,,,,
专项储备(万元),121,100,93,32,,6,72,
盈余公积(万元),2855,2855,2855,2855,1697,391,1468,
一般风险准备(万元),,,,,,,,
未确定的投资损失(万元),,,,,,,,
未分配利润(万元),28551,26417,23106,20973,13008,3718,7984,
拟分配现金股利(万元),,,,,,,,
外币报表折算差额(万元),,,,,,,,
归属于母公司股东权益合计(万元),108304,50136,46818,44624,35469,21130,14019,
少数股东权益(万元),,,,,,,,
所有者权益(或股东权益)合计(万元),108304,50136,46818,44624,35469,21130,14019,
负债和所有者权益(或股东权益)总计(万元),116785,59380,56270,57377,47012,36006,30925,		
