stockid,name,onboard_date,type,industry
600000,浦发银行,19991110,沪市A股,银行
600004,白云机场,20030428,沪市A股,交通运输
600006,东风汽车,19990727,沪市A股,汽车
600007,中国国贸,19990312,沪市A股,房地产
600008,首创股份,20000427,沪市A股,公用事业
600009,上海机场,19980218,沪市A股,交通运输
600010,包钢股份,20010309,沪市A股,钢铁
600011,华能国际,20011206,沪市A股,公用事业
600012,皖通高速,20030107,沪市A股,交通运输
600015,华夏银行,20030912,沪市A股,银行
600016,民生银行,20001219,沪市A股,银行
600017,日照港,20061017,沪市A股,交通运输
600018,上港集团,20061026,沪市A股,交通运输
600019,宝钢股份,20001212,沪市A股,钢铁
600020,中原高速,20030808,沪市A股,交通运输
600021,上海电力,20031029,沪市A股,公用事业
600022,山东钢铁,20040629,沪市A股,钢铁
600023,浙能电力,20131219,沪市A股,公用事业
600025,华能水电,20171215,沪市A股,公用事业
600026,中远海能,20020523,沪市A股,交通运输
600027,华电国际,20050203,沪市A股,公用事业
600028,中国石化,20010808,沪市A股,化工
600029,南方航空,20030725,沪市A股,交通运输
600030,中信证券,20030106,沪市A股,非银金融
600031,三一重工,20030703,沪市A股,机械设备
600033,福建高速,20010209,沪市A股,交通运输
600035,楚天高速,20040310,沪市A股,交通运输
600036,招商银行,20020409,沪市A股,银行
600037,歌华有线,20010208,沪市A股,传媒
600038,中直股份,20001218,沪市A股,国防军工
600039,四川路桥,20030325,沪市A股,建筑装饰
600048,保利地产,20060731,沪市A股,房地产
600050,中国联通,20021009,沪市A股,通信
600051,宁波联合,19970410,沪市A股,综合
600052,浙江广厦,19970418,沪市A股,传媒
600053,九鼎投资,19970418,沪市A股,非银金融
600054,黄山旅游,19970506,沪市A股,休闲服务
600055,万东医疗,19970519,沪市A股,医药生物
600056,中国医药,19970515,沪市A股,医药生物
600057,厦门象屿,19970604,沪市A股,交通运输
600058,五矿发展,19970528,沪市A股,商业贸易
600059,古越龙山,19970516,沪市A股,食品饮料
600060,海信视像,19970422,沪市A股,家用电器
600061,国投资本,19970519,沪市A股,非银金融
600062,华润双鹤,19970522,沪市A股,医药生物
600063,皖维高新,19970528,沪市A股,化工
600064,南京高科,19970506,沪市A股,房地产
600066,宇通客车,19970508,沪市A股,汽车
600067,冠城大通,19970508,沪市A股,房地产
600068,葛洲坝,19970526,沪市A股,建筑装饰
600070,浙江富润,19970604,沪市A股,综合
600071,凤凰光学,19970528,沪市A股,电子
600072,中船科技,19970603,沪市A股,国防军工
600073,上海梅林,19970704,沪市A股,食品饮料
600075,新疆天业,19970617,沪市A股,化工
600076,康欣新材,19970526,沪市A股,轻工制造
600077,宋都股份,19970520,沪市A股,房地产
600078,澄星股份,19970627,沪市A股,化工
600079,人福医药,19970606,沪市A股,医药生物
600080,ST金花,19970612,沪市A股,医药生物
600081,东风科技,19970703,沪市A股,汽车
600082,海泰发展,19970620,沪市A股,房地产
600083,*ST博信,19970606,沪市A股,综合
600084,ST中葡,19970711,沪市A股,食品饮料
600085,同仁堂,19970625,沪市A股,医药生物
600086,*ST金钰,19970606,沪市A股,轻工制造
600088,中视传媒,19970616,沪市A股,传媒
600089,特变电工,19970618,沪市A股,电气设备
600090,*ST济堂,19970616,沪市A股,医药生物
600091,ST明科,19970704,沪市A股,化工
600093,易见股份,19970626,沪市A股,非银金融
600094,大名城,19970703,沪市A股,房地产
600095,湘财股份,19970708,沪市A股,非银金融
600096,云天化,19970709,沪市A股,化工
600097,开创国际,19970619,沪市A股,农林牧渔
600098,广州发展,19970718,沪市A股,公用事业
600099,林海股份,19970704,沪市A股,汽车
600100,同方股份,19970627,沪市A股,计算机
600101,明星电力,19970627,沪市A股,公用事业
600103,青山纸业,19970703,沪市A股,轻工制造
600104,上汽集团,19971125,沪市A股,汽车
600105,永鼎股份,19970929,沪市A股,通信
600106,重庆路桥,19970618,沪市A股,交通运输
600107,美尔雅,19971106,沪市A股,纺织服装
600108,亚盛集团,19970818,沪市A股,农林牧渔
600109,国金证券,19970807,沪市A股,非银金融
600110,诺德股份,19971007,沪市A股,电子
600111,北方稀土,19970924,沪市A股,有色金属
600112,ST天成,19971127,沪市A股,电气设备
600113,浙江东日,19971021,沪市A股,商业贸易
600114,东睦股份,20040511,沪市A股,有色金属
600115,东方航空,19971105,沪市A股,交通运输
600116,三峡水利,19970804,沪市A股,公用事业
600117,西宁特钢,19971015,沪市A股,钢铁
600118,中国卫星,19970908,沪市A股,国防军工
600119,ST长投,19980115,沪市A股,交通运输
600120,浙江东方,19971201,沪市A股,非银金融
600121,郑州煤电,19980107,沪市A股,采掘
600122,*ST宏图,19980420,沪市A股,商业贸易
600123,兰花科创,19981217,沪市A股,采掘
600125,铁龙物流,19980511,沪市A股,交通运输
600126,杭钢股份,19980311,沪市A股,钢铁
600127,金健米业,19980506,沪市A股,农林牧渔
600128,弘业股份,19970901,沪市A股,综合
600129,太极集团,19971118,沪市A股,医药生物
600130,波导股份,20000706,沪市A股,通信
600131,国网信通,19980402,沪市A股,公用事业
600132,重庆啤酒,19971030,沪市A股,食品饮料
600133,东湖高新,19980212,沪市A股,建筑装饰
600135,乐凯胶片,19980122,沪市A股,轻工制造
