CINDUSTRY2,CODE,COMPANYCODE,COMPANYNAME,EXCHANGE,ITPROFILE21,ITPROFILE26,ITPROFILE38,NAME,NO,SNAME,STYLE,STYLECODE,SYMBOL
电子,0688981,80013237,中芯国际集成电路制造有限公司,CNSESH,3080.0524,"852-25378588,021-38610000",,,1,中芯国际,464,801080,688981
计算机,0688058,80554913,北京宝兰德软件股份有限公司,CNSESH,4000,010-65936966,,,2,宝兰德,464,801750,688058
机械设备,0688215,80528925,浙江瑞晟智能科技股份有限公司,CNSESH,4004,0574-88983667,"www.neeq.com,cn.www.neeq.cc",,3,瑞晟智能,464,801890,688215
电子,1300916,80624380,深圳朗特智能控制股份有限公司,CNSESZ,4258,0755-23501350,,,4,朗特智能,464,801080,300916
计算机,0688229,80577453,北京博睿宏远数据科技股份有限公司,CNSESH,4440,010-65520517,,,5,博睿数据,464,801750,688229
计算机,1300789,80591802,成都唐源电气股份有限公司,CNSESZ,4598.2758999999996,028-85003300,,,6,唐源电气,464,801750,300789
机械设备,1300553,80456363,杭州集智机电股份有限公司,CNSESZ,4800,0571-87203495,,,7,集智股份,464,801890,300553
公用事业,1300864,80673768,南京大学环境规划设计研究院集团股份公司,CNSESZ,4800,025-83685680,,,8,南大环境,464,801160,300864
计算机,0688095,80455061,福建福昕软件开发股份有限公司,CNSESH,4814,0591-38509866,www.neeq.com.cn,,9,福昕软件,464,801750,688095
机械设备,1300836,80570272,昆山佰奥智能装备股份有限公司,CNSESZ,4925.5720000000001,0512-33326888,,,10,佰奥智能,464,801890,300836
电气设备,0605288,80577913,常州市凯迪电器股份有限公司,CNSESH,5000,"0519-67898518,0519-67898510",,,11,凯迪股份,464,801730,605288
食品饮料,1002525,80133709,湖南胜景干黄酒业股份有限公司,CNSESZ,5100,0730-8711039-8307,WWW.CNINFO.COM.CN,,12,胜景山河,464,801120,002525
计算机,0688168,80584160,北京安博通科技股份有限公司,CNSESH,5118,010-57649050,"www.neeq.com.cn,www.neeq.cc",,13,安博通,464,801750,688168
机械设备,1300813,80529976,浙江泰林生物技术股份有限公司,CNSESZ,5197,0571-86589069,,,14,泰林生物,464,801890,300813
机械设备,1300751,80645249,苏州迈为科技股份有限公司,CNSESZ,5200,0512-63920089,,,15,迈为股份,464,801890,300751
通信,0688080,80453465,北京映翰通网络技术股份有限公司,CNSESH,5242.8786,010-84170010,www.neeq.com.cn,,16,映翰通,464,801770,688080
医药生物,0605266,80403551,云南健之佳健康连锁店股份有限公司,CNSESH,5300,0871-65711920,,,17,健之佳,464,801150,605266
电子,0688019,81585851,安集微电子科技(上海)股份有限公司,CNSESH,5310.8379999999997,021-20693201,,,18,安集科技,464,801080,688019
电子,0688286,80413914,苏州敏芯微电子技术股份有限公司,CNSESH,5320,0512-62956055,,,19,敏芯股份,464,801080,688286
机械设备,0688577,80147927,浙江海德曼智能装备股份有限公司,CNSESH,5397.1719999999996,0576-87371818,"www.neeq.com.cn,www.neeq.cc",,20,浙海德曼,464,801890,688577
汽车,1300863,80625352,宁波卡倍亿电气技术股份有限公司,CNSESZ,5523,0574-65106655,,,21,卡倍亿,464,801880,300863
机械设备,1300557,80106421,武汉理工光科股份有限公司,CNSESZ,5566.8540000000003,027-87960139,,,22,理工光科,464,801890,300557
电子,1300852,81112816,四会富仕电子科技股份有限公司,CNSESZ,5662.8199999999997,0758-3106018,,,23,四会富仕,464,801080,300852
计算机,0688004,80165394,北京市博汇科技股份有限公司,CNSESH,5680,010-57682700,"www.neeq.com.cn,www.neeq.cc",,24,博汇科技,464,801750,688004
化工,1300886,80422982,安徽华业香料股份有限公司,CNSESZ,5735,0556-8927299,,,25,华业香料,464,801030,300886
有色金属,1300811,80563341,深圳市铂科新材料股份有限公司,CNSESZ,5760,0755-26654881,,,26,铂科新材,464,801050,300811
有色金属,0688357,80532776,洛阳建龙微纳新材料股份有限公司,CNSESH,5782,0379-67758531,,,27,建龙微纳,464,801050,688357
医药生物,0688399,80667165,江苏硕世生物科技股份有限公司,CNSESH,5862,0523-86201616,,,28,硕世生物,464,801150,688399
公用事业,0688069,81586679,无锡德林海环保科技股份有限公司,CNSESH,5947,0510-85505177,,,29,德林海,464,801160,688069
医药生物,1300841,80187088,成都康华生物制品股份有限公司,CNSESZ,6000,"028-84846555,028-84882755",,,30,康华生物,464,801150,300841
