CODE,ESYMBOL,EXCHANGE,GUSHU,GUSHUBIJIAO,NAME,REPORTDATE,RN,SCSTC27,SHANGQIGUSHU,SHANGQISHIZHI,SHANGQISHULIANG,SHIZHI,SHULIANG,SHULIANGBIJIAO,SNAME,stockid
1002475,002475,CNSE00,984549522,60714491,,2019-09-30,1,240.13402976,"92,384",22826745183.469999873422798,1133,26346545208.720000019778,653,-480,中邮睿利增强债券,002475
1002475,002475,CNSESZ,984549522,60714491,,2019-09-30,28,0.14071451,"92,384",22826745183.469999873422798,1133,26346545208.720000019778,653,-480,立讯精密,002475
1002223,002223,CNSE00,68094064,-138552374,,2019-09-30,2,16.60830829,"20,665",5087635303.560000032565004,326,1470831782.40000000262,46,-280,中邮尊享一年定开混合发起式,002223
1002223,002223,CNSESZ,68094064,-138552374,,2019-09-30,138,0.06792582,"20,665",5087635303.560000032565004,326,1470831782.40000000262,46,-280,鱼跃医疗,002223
1000921,000921,CNSE00,19768893,-63530348,,2019-09-30,3,4.82168122,"8,330",1039574527.6800000012792,192,214492489.049999993,9,-183,中邮现金驿站货币A,000921
1000921,000921,CNSESZ,19768893,-63530348,,2019-09-30,430,0.02190608,"8,330",1039574527.6800000012792,192,214492489.049999993,9,-183,海信家电,000921
1000966,000966,CNSE00,8089840,-90233483,,2019-09-30,4,1.97313171,"9,832",557493241.41000000525,87,37051467.200000003,3,-84,中邮核心科技创新灵活配置混合,000966
1000966,000966,CNSESZ,8089840,-90233483,,2019-09-30,681,0.00729943,"9,832",557493241.41000000525,87,37051467.200000003,3,-84,长源电力,000966
1000923,000923,CNSE00,1837400,-4142920,,2019-09-30,5,0.44814634,598,102323275.20000000002,32,27138398,2,-30,中邮现金驿站货币C,000923
1000923,000923,CNSESZ,1837400,-4142920,,2019-09-30,891,0.00292626,598,102323275.20000000002,32,27138398,2,-30,河钢资源,000923
0600760,600760,CNSESH,105495180,-24623255,,2019-09-30,6,0.26401646,"13,012",3777338168.0500000728143,382,3270350580,42,-340,中航沈飞,600760
0600529,600529,CNSESH,133241884,-16365747,,2019-09-30,7,0.22394808,"14,961",3408061834.1800000021611,227,3107200734.87999996268,99,-128,山东药玻,600529
1000860,000860,CNSESZ,159187307,-7738642,,2019-09-30,8,0.21460554,"16,693",7787095520.849999872439,429,8303209933.119999912099,160,-269,顺鑫农业,000860
1002607,002607,CNSESZ,166417486,-108682373,,2019-09-30,9,0.20286504,"27,510",3777121064.06999997995097,280,2707612497.2200000765,66,-214,中公教育,002607
0601012,601012,CNSESH,750108785,-288290685,,2019-09-30,10,0.19887905,"103,840",23997411751.719999597905198,944,19675353430.550000122211,354,-590,隆基股份,601012
0600763,600763,CNSESH,63340972,-32494787,,2019-09-30,11,0.19754545,"9,584",8490089889.8100000780346,426,6492449630,202,-224,通策医疗,600763
1300572,300572,CNSESZ,37208967,-9125009,,2019-09-30,12,0.19215426,"4,633",2149896486.39999998152,78,1942308077.400000007,25,-53,安车检测,300572
1300012,300012,CNSESZ,300761557,-272906800,,2019-09-30,13,0.18068958,"57,367",6195618255.599999981967,278,3795610849.3400000327,75,-203,华测检测,300012
1000568,000568,CNSESZ,257276804,-77544381,,2019-09-30,14,0.17564524,"33,482",27030134518.939999926724,1034,21925129236.87999964172,281,-753,泸州老窖,000568
0603882,603882,CNSESH,77496840,-26222098,,2019-09-30,15,0.16865927,"10,372",3530798573.3999999480101,178,4307685902.9399999634,78,-100,金域医学,603882
1002008,002008,CNSESZ,179637496,87092894,,2019-09-30,16,0.16834627,"9,254",3181683416.76000001174399,435,6386112982.7999998472,135,-300,大族激光,002008
1002600,002600,CNSESZ,373273183,361343499,,2019-09-30,17,0.16828518,"1,193",70743026.120000000549,52,3493836992.8800000629,65,13,领益智造,002600
1300285,300285,CNSESZ,153564519,-94148702,,2019-09-30,18,0.16300982,"24,771",4195817064.61000000028,187,3415421967.4800000144,44,-143,国瓷材料,300285
1002938,002938,CNSE00,44428268,-82159968,,2019-09-30,19,0.15981391,"12,659",3716630608.9599999885878,266,1782462112.1599999924,57,-209,中银证券健康产业混合,002938
1002938,002938,CNSESZ,44428268,-82159968,,2019-09-30,73,0.09252617,"12,659",3716630608.9599999885878,266,1782462112.1599999924,57,-209,鹏鼎控股,002938
1002127,002127,CNSESZ,380272245,-270639904,,2019-09-30,20,0.15556292,"65,091",7311683839.38000005416195,343,3920606845.9499999393,54,-289,南极电商,002127
1000661,000661,CNSESZ,50426982,-21229769,,2019-09-30,21,0.14821677,"7,166",24219981838,1120,19886384621.520000086706,549,-571,长春高新,000661
0600309,600309,CNSESH,209115885,-106663407,,2019-09-30,22,0.14687617,"31,578",13512195904.7000001739993,858,9232466322.75000000133,199,-659,万华化学,600309
1300207,300207,CNSESZ,224500042,-173106309,,2019-09-30,23,0.1466472,"39,761",4574026163.52000005058597,412,3398875636.30000006212,131,-281,欣旺达,300207
0600887,600887,CNSESH,865385298,-437102396,,2019-09-30,24,0.14592761,"130,249",43516113856.509999863449146,1695,24680788698.96000018711,791,-904,伊利股份,600887
1300413,300413,CNSESZ,135461303,-37699442,,2019-09-30,25,0.14544497,"17,316",7108248582.2499999848692,447,6180510359.46000007794,107,-340,芒果超媒,300413
0603345,603345,CNSESH,33423332,-36011457,,2019-09-30,26,0.14527674,"6,943",3568948154.599999923134,168,1595964103,41,-127,安井食品,603345
1300347,300347,CNSESZ,105757615,-11489657,,2019-09-30,27,0.14198284,"11,725",9018557703.299999974834,530,6562260010.7500001106,226,-304,泰格医药,300347
1002273,002273,CNSESZ,168546026,86085628,,2019-09-30,29,0.13841475,"8,246",954891408.83999999733119,183,2472570201.420000073601,75,-108,水晶光电,002273
1300188,300188,CNSESZ,109576599,-113185911,,2019-09-30,30,0.13702165,"22,276",3971855553.2999999961324,213,1878142906.8599999877,44,-169,美亚柏科,300188
1002916,002916,CNSESZ,21269873,-18336552,,2019-09-30,31,0.13578724,"3,961",4036686835.9999999699443,460,3211750823,112,-348,深南电路,002916
0600038,600038,CNSESH,78881221,-26576123,,2019-09-30,32,0.13381567,"10,546",4325860250.88000003935409,427,3543344447.3199999252,68,-359,中直股份,600038
0600879,600879,CNSESH,356531024,-112130359,,2019-09-30,33,0.13111271,"46,866",2886954119.27999997304006,178,2149882074.7200000523,26,-152,航天电子,600879
1002179,002179,CNSESZ,139326956,-92724842,,2019-09-30,34,0.13063514,"23,205",7764453161.07999990471825,534,5737484048.07999998742,86,-448,中航光电,002179
1002035,002035,CNSESZ,106829417,-165007283,,2019-09-30,35,0.12290116,"27,184",3310971005.9999999674634,244,1052269757.4500000514,39,-205,华帝股份,002035
1002036,002036,CNSESZ,112269604,27080761,,2019-09-30,36,0.12116,"8,519",779477913.449999972727,63,1594228376.799999977,12,-51,联创电子,002036
0601933,601933,CNSESH,1147157958,-603067752,,2019-09-30,37,0.12115838,"175,023",17869804499.1000000991599,798,10198234246.619999788,141,-657,永辉超市,601933
