date,high,close,stockid,rps50,close_year,condition1,high50,condition2,condition3,condition4,high120,condition5,reversal,reversal30,recent
20201111,9.58,9.56,600000,44.0,10.420731600000003,0,10.51,0,0,0,12.0353,0,0,0.0,0
20201112,9.53,9.43,600000,36.0,10.410082800000001,0,10.51,0,0,0,12.0353,0,0,0.0,0
20201113,9.41,9.36,600000,37.0,10.399192000000003,0,10.51,0,0,0,12.0353,0,0,0.0,0
20201116,9.46,9.45,600000,35.0,10.387864400000002,0,10.51,0,0,0,12.0353,0,0,0.0,0
20201117,9.53,9.53,600000,42.0,10.376970800000002,0,10.36,0,0,0,12.0353,0,0,0.0,0
20201118,9.77,9.7,600000,52.0,10.367364000000002,0,10.29,0,0,0,12.0353,0,0,0.0,0
20201119,9.78,9.74,600000,56.0,10.358638000000001,0,10.23,0,0,0,12.0353,0,0,0.0,0
20201120,9.72,9.67,600000,51.0,10.3506944,0,10.16,0,0,0,12.0353,0,0,0.0,0
20201123,9.92,9.9,600000,58.0,10.3438604,0,10.16,0,0,0,12.0353,0,0,0.0,0
20201124,9.97,9.85,600000,54.0,10.3368644,0,10.09,0,0,0,12.0353,0,0,0.0,0
20201125,9.99,9.81,600000,60.0,10.3300496,0,10.08,0,0,0,12.0353,0,0,0.0,0
20201126,9.99,9.98,600000,62.0,10.3238772,0,10.06,0,0,0,12.0353,0,0,0.0,0
20201127,10.2,10.2,600000,62.0,10.318243200000001,0,10.2,1,0,0,12.0353,0,0,0.0,0
20201130,10.53,10.06,600000,62.0,10.3120872,0,10.53,1,0,0,12.0353,0,0,0.0,0
20201201,10.35,10.3,600000,68.0,10.307612,0,10.53,1,0,0,12.0353,0,0,0.0,0
20201202,10.39,10.25,600000,68.0,10.3032404,0,10.53,1,0,0,12.0353,0,0,0.0,0
20201203,10.28,10.24,600000,67.0,10.298714799999999,0,10.53,1,0,0,12.0353,0,0,0.0,0
20201204,10.25,10.17,600000,65.0,10.293605600000001,0,10.53,1,0,0,12.0353,0,0,0.0,1
20201111,14.4,14.1,600004,44.0,15.22191159999999,0,15.64,0,0,0,17.2424,0,0,0.0,0
20201112,14.33,14.17,600004,43.0,15.20688999999999,0,15.63,0,0,0,17.2424,0,0,0.0,0
20201113,14.57,14.38,600004,61.0,15.19084759999999,0,15.63,0,0,0,17.2424,0,0,0.0,0
20201116,15.09,14.97,600004,67.0,15.177561199999989,0,15.63,0,0,0,17.2424,0,0,0.0,0
20201117,15.8,15.3,600004,72.0,15.16705959999999,1,15.8,1,0,0,17.2424,1,0,0.0,0
20201118,15.84,15.7,600004,81.0,15.158078799999988,1,15.84,1,0,0,17.2424,1,0,0.0,0
20201119,15.64,15.38,600004,80.0,15.147897199999989,1,15.84,1,0,1,17.2424,1,0,0.0,0
20201120,15.49,15.28,600004,76.0,15.14052279999999,1,15.84,1,0,1,17.2424,0,0,0.0,0
20201123,15.13,14.8,600004,62.0,15.131030399999991,0,15.84,1,0,1,17.2424,0,0,0.0,0
20201124,15.06,14.76,600004,58.0,15.121655199999992,0,15.84,1,0,1,17.2424,0,0,0.0,0
20201125,15.24,14.78,600004,54.0,15.112241199999993,0,15.84,1,0,1,17.2424,0,0,0.0,0
20201126,14.9,14.82,600004,53.0,15.102947599999995,0,15.84,1,0,1,17.2424,0,0,0.0,0
20201127,15.03,14.88,600004,47.0,15.092507999999995,0,15.84,1,0,1,16.8564,0,0,0.0,0
20201130,15.27,15.03,600004,70.0,15.082826799999996,0,15.84,1,0,1,16.7277,1,0,0.0,0
20201201,15.19,15.16,600004,73.0,15.073942799999996,1,15.84,1,0,1,16.7277,1,0,0.0,0
20201202,15.29,14.9,600004,63.0,15.065800399999997,0,15.84,1,0,1,16.7277,1,0,0.0,0
20201203,15.17,15.11,600004,66.0,15.060081999999996,1,15.84,1,0,1,16.599,1,0,0.0,0
20201204,15.28,14.99,600004,66.0,15.054991999999997,0,15.84,1,0,1,16.599,1,0,0.0,1
20201111,6.64,6.41,600006,98.0,4.439234799999997,1,7.57,1,1,0,7.57,0,0,1.0,0
20201112,6.5,6.32,600006,98.0,4.447032799999996,1,7.57,1,1,0,7.57,0,0,1.0,0
20201113,6.48,6.36,600006,98.0,4.454990799999996,1,7.57,1,1,0,7.57,0,0,1.0,0
20201116,6.35,6.25,600006,97.0,4.462508799999996,1,7.57,1,1,0,7.57,0,0,1.0,0
20201117,6.66,6.54,600006,98.0,4.471304799999996,1,7.57,1,1,0,7.57,0,0,1.0,0
20201118,6.6,6.49,600006,97.0,4.479743199999996,1,7.57,1,1,0,7.57,0,0,1.0,0
20201119,6.85,6.45,600006,97.0,4.487824799999997,1,7.57,1,1,0,7.57,1,0,1.0,0
20201120,7.1,6.95,600006,98.0,4.498457599999997,1,7.57,1,1,0,7.57,1,0,1.0,0
20201123,7.09,6.97,600006,98.0,4.5092887999999975,1,7.57,1,1,0,7.57,1,0,1.0,0
20201124,7.16,6.76,600006,98.0,4.519201199999998,1,7.57,1,1,0,7.57,1,0,1.0,0
20201125,7.1,7.0,600006,98.0,4.530112799999998,1,7.57,1,1,0,7.57,1,0,1.0,0
20201126,6.84,6.51,600006,97.0,4.539261199999998,1,7.57,1,1,0,7.57,1,0,1.0,0
20201127,6.75,6.57,600006,95.0,4.548689199999998,1,7.57,1,1,0,7.57,0,0,1.0,0
20201130,6.59,6.45,600006,96.0,4.557440399999998,1,7.57,1,1,0,7.57,0,0,0.0,0
20201201,6.58,6.48,600006,95.0,4.566193199999999,1,7.57,1,1,0,7.57,0,0,0.0,0
20201202,6.48,6.3,600006,94.0,4.574225999999999,1,7.57,1,1,0,7.57,0,0,0.0,0
20201203,6.47,6.34,600006,94.0,4.582497599999999,1,7.57,1,1,0,7.57,0,0,0.0,0
20201204,6.66,6.35,600006,93.0,4.590691199999998,1,7.57,1,1,0,7.57,0,0,0.0,1
20201111,12.77,12.69,600007,41.0,14.214415599999997,0,15.08,0,0,0,15.08,0,0,0.0,0
20201112,12.85,12.84,600007,49.0,14.196893599999997,0,15.08,0,0,0,15.08,0,0,0.0,0
20201113,12.84,12.78,600007,48.0,14.179170399999999,0,15.08,0,0,0,15.08,0,0,0.0,0
20201116,13.26,13.13,600007,56.0,14.163081199999999,0,15.08,0,0,0,15.08,0,0,0.0,0
