date,volume,open,high,low,close,ma5,ma10,ma20,ma30,pe,market_capital,chg,percent,turnoverrate,amount,volume_post,amount_post,timestamp
20181226,712200,4.23,4.23,4.23,4.23,2.761,2.587,2.3662,2.413,21.5988,3378479959.98,-0.22,-4.94,0.09,3012606.0,,,1545753600000
20181227,93900,4.02,4.02,4.02,4.02,3.078,2.7515,2.4605,2.458,20.5266,3210754004.52,-0.21,-4.96,0.01,377478.0,,,1545840000000
20181228,514600,3.82,3.82,3.82,3.82,3.365,2.894,2.55,2.4993,19.5053,3051014999.32,-0.2,-4.98,0.06,1965772.0,,,1545926400000
20190102,437700,3.63,3.63,3.63,3.63,3.623,3.012,2.6317,2.5348,7.4282,2899262944.38,-0.19,-4.97,0.05,1588851.0,,,1546358400000
20190103,314600,3.45,3.45,3.45,3.45,3.83,3.1145,2.6995,2.564,7.0599,2755497839.7,-0.18,-4.96,0.04,1085370.0,,,1546444800000
20190104,25822339,3.28,3.35,3.28,3.28,3.64,3.2005,2.7588,2.587,6.712,2619719685.28,-0.17,-4.93,3.21,84754624.0,,,1546531200000
20190107,12998228,3.29,3.42,3.25,3.35,3.506,3.292,2.8205,2.6128,6.8553,2675628337.1,0.07,2.13,1.62,43501695.0,,,1546790400000
20190108,8965601,3.32,3.45,3.28,3.4,3.422,3.3935,2.8798,2.6413,6.9576,2715563088.4,0.05,1.49,1.12,30241900.0,,,1546876800000
20190109,6413723,3.36,3.42,3.35,3.37,3.37,3.4965,2.936,2.673,6.8962,2691602237.62,-0.03,-0.88,0.8,21723969.0,,,1546963200000
20190110,4206800,3.38,3.43,3.36,3.39,3.358,3.594,2.9935,2.7093,6.9371,2707576138.14,0.02,0.59,0.53,14251948.0,,,1547049600000
20190111,4806466,3.38,3.42,3.33,3.35,3.372,3.506,3.0465,2.7462,6.8553,2675628337.1,-0.04,-1.18,0.6,16195182.0,,,1547136000000
20190114,6349842,3.36,3.42,3.27,3.37,3.376,3.441,3.0963,2.7873,6.8962,2691602237.62,0.02,0.6,0.79,21299688.0,,,1547395200000
20190115,3252745,3.37,3.54,3.36,3.54,3.404,3.413,3.1535,2.8377,7.2441,2827380392.04,0.17,5.04,0.4,11295555.0,,,1547481600000
20190116,8373154,3.55,3.62,3.52,3.55,3.44,3.405,3.2085,2.8895,7.2645,2835367342.3,0.01,0.28,1.03,29876995.0,,,1547568000000
20190117,4660452,3.55,3.64,3.53,3.58,3.478,3.418,3.2662,2.939,7.3259,2859328193.08,0.03,0.85,0.58,16654059.0,,,1547654400000
20190118,3572718,3.59,3.65,3.56,3.63,3.534,3.453,3.3267,2.9902,7.4282,2899262944.38,0.05,1.4,0.45,12856658.0,,,1547740800000
20190121,2857713,3.63,3.7,3.61,3.64,3.588,3.482,3.387,3.041,7.4487,2907249894.64,0.01,0.28,0.36,10383554.0,,,1548000000000
20190122,3303970,3.66,3.68,3.59,3.62,3.604,3.504,3.4487,3.0878,7.4078,2891275994.12,-0.02,-0.55,0.4,12001452.0,,,1548086400000
20190123,5611653,3.61,3.61,3.46,3.52,3.598,3.519,3.5077,3.1303,7.2031,2811406491.52,-0.1,-2.76,0.7,19769194.0,,,1548172800000
20190124,3524554,3.49,3.54,3.46,3.48,3.578,3.528,3.561,3.1717,7.1213,2779458690.48,-0.04,-1.14,0.44,12345472.0,,,1548259200000
20190125,2228748,3.49,3.53,3.46,3.51,3.554,3.544,3.525,3.2123,7.1827,2803419541.26,0.03,0.86,0.28,7798635.0,,,1548345600000
20190128,2901601,3.48,3.52,3.46,3.47,3.52,3.554,3.4975,3.2488,7.1008,2771471740.22,-0.04,-1.14,0.35,10121109.0,,,1548604800000
20190129,6291400,3.38,3.39,3.3,3.3,3.456,3.53,3.4715,3.279,6.7529,2635693585.8,-0.17,-4.9,0.79,20895776.0,,,1548691200000
20190130,2631310,3.28,3.33,3.24,3.3,3.412,3.505,3.455,3.3073,6.7529,2635693585.8,0.0,0.0,0.32,8679220.0,,,1548777600000
20190131,6121204,3.3,3.31,3.14,3.14,3.344,3.461,3.4395,3.3312,6.4255,2507902381.64,-0.16,-4.85,0.76,19474854.0,,,1548864000000
20190201,4146281,3.13,3.22,3.05,3.13,3.268,3.411,3.432,3.3548,6.4051,2499915431.38,-0.01,-0.32,0.51,12962186.0,,,1548950400000
20190211,3417851,3.17,3.18,3.13,3.18,3.21,3.365,3.4235,3.3797,6.5074,2539850182.68,0.05,1.6,0.42,10807410.0,,,1549814400000
20190212,4655734,3.16,3.29,3.16,3.25,3.2,3.328,3.416,3.4085,6.6506,2595758834.5,0.07,2.2,0.57,15067997.0,,,1549900800000
20190213,3519178,3.25,3.3,3.24,3.28,3.196,3.304,3.4115,3.4398,6.712,2619719685.28,0.03,0.92,0.44,11523103.0,,,1549987200000
20190214,3672627,3.27,3.29,3.24,3.28,3.224,3.284,3.406,3.4687,6.712,2619719685.28,0.0,0.0,0.45,11980188.0,,,1550073600000
20190215,4081343,3.28,3.34,3.27,3.31,3.26,3.264,3.404,3.438,6.7734,2643680536.06,0.03,0.91,0.51,13516714.0,,,1550160000000
20190218,5219671,3.32,3.39,3.31,3.39,3.302,3.256,3.405,3.417,6.9371,2707576138.14,0.08,2.42,0.62,17546657.0,,,1550419200000
20190219,6024600,3.4,3.43,3.36,3.41,3.334,3.267,3.3985,3.4033,6.978,2723550038.66,0.02,0.59,0.73,20431792.0,,,1550505600000
20190220,8037252,3.41,3.58,3.41,3.47,3.372,3.284,3.3945,3.398,7.1008,2771471740.22,0.06,1.76,1.0,28135102.0,,,1550592000000
20190221,6481344,3.46,3.56,3.41,3.45,3.406,3.315,3.388,3.398,7.0599,2755497839.7,-0.02,-0.58,0.79,22570823.0,,,1550678400000
20190222,5074167,3.44,3.47,3.39,3.47,3.438,3.349,3.38,3.4043,7.1008,2771471740.22,0.02,0.58,0.63,17436191.0,,,1550764800000
20190225,10000635,3.48,3.55,3.42,3.55,3.47,3.386,3.3755,3.411,7.2645,2835367342.3,0.08,2.31,1.23,35064190.0,,,1551024000000
20190226,10154678,3.54,3.61,3.49,3.54,3.496,3.415,3.3715,3.4157,7.2441,2827380392.04,-0.01,-0.28,1.26,35942499.0,,,1551110400000
20190227,9169872,3.52,3.65,3.52,3.59,3.52,3.446,3.375,3.423,7.3464,2867315143.34,0.05,1.41,1.13,32992397.0,,,1551196800000
20190228,6478101,3.59,3.68,3.57,3.66,3.562,3.484,3.384,3.432,7.4896,2923223795.16,0.07,1.95,0.78,23483893.0,,,1551283200000
20190301,10668874,3.71,3.84,3.65,3.84,3.636,3.537,3.4005,3.4483,7.858,3066988899.84,0.18,4.92,1.33,40595054.0,,,1551369600000
20190304,12753500,3.86,3.92,3.78,3.81,3.688,3.579,3.4175,3.463,7.7966,3043028049.06,-0.03,-0.78,1.59,48962137.0,,,1551628800000
20190305,8357269,3.8,3.82,3.74,3.82,3.744,3.62,3.4435,3.4723,7.817,3051014999.32,0.01,0.26,1.04,31550506.0,,,1551715200000
20190306,9399223,3.84,3.89,3.79,3.88,3.802,3.661,3.4725,3.4833,7.9398,3098936700.88,0.06,1.57,1.16,36071608.0,,,1551801600000
20190307,10838050,3.86,4.05,3.81,3.99,3.868,3.715,3.515,3.497,8.1649,3186793153.74,0.11,2.84,1.35,42628990.0,,,1551888000000
20190308,10061201,3.87,3.91,3.79,3.79,3.858,3.747,3.548,3.5023,7.7557,3027054148.54,-0.2,-5.01,1.26,38677853.0,,,1551974400000
20190311,10203350,3.69,3.8,3.65,3.77,3.85,3.769,3.5775,3.5067,7.7147,3011080248.02,-0.02,-0.53,1.27,38051620.0,,,1552233600000
20190312,6938644,3.82,3.84,3.76,3.82,3.85,3.797,3.606,3.5133,7.817,3051014999.32,0.05,1.33,0.86,26415098.0,,,1552320000000
20190313,7258591,3.8,3.89,3.74,3.81,3.836,3.819,3.6325,3.523,7.7966,3043028049.06,-0.01,-0.26,0.9,27624490.0,,,1552406400000
